WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200112502,urn:lsid:ipni.org:names:77359686-1,Avena strigosa subsp. atlantigrandiflora,Portal,Genre Avena 135. 2024 ,,,
wfo-1200112503,urn:lsid:ipni.org:names:77359687-1,Avena barbata subsp. abyssinica,(Hochst.) Portal & Ladiz.,Genre Avena 77. 2024 ,,Poaceae Avena abyssinica Hochst.,(Hochst.)
wfo-1200112556,urn:lsid:ipni.org:names:77359688-1,Avena clauda subsp. eriantha,(Durieu) Portal & Ladiz.,Genre Avena 85. 2024 ,,Poaceae Avena eriantha Durieu,(Durieu)
wfo-1200112504,urn:lsid:ipni.org:names:77359689-1,Avena sativa subsp. atherantha,(C.Presl) Portal,Genre Avena 103. 2024 ,,Poaceae Avena atherantha C.Presl,(C.Presl)
wfo-1200112505,urn:lsid:ipni.org:names:77359690-1,Avena sativa subsp. cultiformis,(Malzev) Portal,Genre Avena 109. 2024 ,,Poaceae Avena fatua L. subsp. cultiformis Malzev,(Malzev)
wfo-1200112557,urn:lsid:ipni.org:names:77359691-1,Avena sativa subsp. ludoviciana,(Durieu) Portal,Genre Avena 113. 2024 ,,Poaceae Avena ludoviciana Durieu,(Durieu)
wfo-1200112506,urn:lsid:ipni.org:names:77359692-1,Avena sativa subsp. occidentalis,(Durieu) Portal,Genre Avena 117. 2024 ,,Poaceae Avena occidentalis Durieu,(Durieu)
wfo-1200112507,urn:lsid:ipni.org:names:77359693-1,Avena sativa subsp. septentrionalis,(Malzev) Portal,Genre Avena 123. 2024 ,,Poaceae Avena septentrionalis Malzev,(Malzev)
wfo-1200112558,urn:lsid:ipni.org:names:77359694-1,Avena sativa subsp. trichophylla,(K.Koch) Portal,Genre Avena 127. 2024 ,,Poaceae Avena trichophylla K.Koch,(K.Koch)
wfo-1200112508,urn:lsid:ipni.org:names:77359695-1,Avena strigosa subsp. atlantica,(B.R.Baum & Fedak) Portal & Ladiz.,Genre Avena 133. 2024 ,,Poaceae Avena atlantica B.R.Baum & Fedak,(B.R.Baum & Fedak)
wfo-1200112509,urn:lsid:ipni.org:names:77359696-1,Avena strigosa subsp. castellana,(Romero Zarco) Portal,Genre Avena 139. 2024 ,,Poaceae Avena barbata Pott ex Link subsp. castellana Romero Zarco,(Romero Zarco)
wfo-1000080785,urn:lsid:ipni.org:names:77359697-1,Avena ser. Pseudoaequaliglumes,Portal,Genre Avena 37. 2024 ,,,
