WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200116499,urn:lsid:ipni.org:names:77366056-1,Festuca maritima subsp. montana,(Boiss. & Reut.) Mart.-Sagarra & Devesa,Fl. Vasc. Prov. Córdoba 2: 606. 2025 [16 Jul 2025] ,,Poaceae Nardurus montanus Boiss. & Reut.,(Boiss. & Reut.)
wfo-1200116500,urn:lsid:ipni.org:names:77366058-1,Festuca macilenta,(Delastre) Mart.-Sagarra & Devesa,Fl. Vasc. Prov. Córdoba 2: 605. 2025 [16 Jul 2025] ,,Poaceae Lolium macilentum Delastre,(Delastre)
wfo-1200116501,urn:lsid:ipni.org:names:77366059-1,Festuca composita,(Thuill.) Mart.-Sagarra & Devesa,Fl. Vasc. Prov. Córdoba 2: 605. 2025 [16 Jul 2025] ,,Poaceae Lolium compositum Thuill.,(Thuill.)
wfo-1000086647,urn:lsid:ipni.org:names:77372810-1,Bromus tungpushanensis,S.S.Ying,New Taxa New Names 8: 122. 2025 [30 Nov 2025] [epublished],,,
wfo-1200116417,urn:lsid:ipni.org:names:77373381-1,Agrostis minutiflora,(Link) Desf.,"Tabl. École Bot., ed. 3 (Cat. Pl. Horti Paris.) 420. 1832 ",,Poaceae Sporobolus minutiflorus Link,(Link)
wfo-1000086854,urn:lsid:ipni.org:names:77373446-1,Chusquea hystrix,"L.G.Clark, McMurchie & Baya",J. Amer. Bamboo Soc. 34: 7. 2025 [11 Dec 2025] [epublished],,,
wfo-1000086871,urn:lsid:ipni.org:names:77373656-1,Arundinella yulaoensis,S.S.Ying,New Taxa New Names 8: 187. 2025 [30 Nov 2025] [epublished],,,
wfo-1000086930,urn:lsid:ipni.org:names:77373752-1,Alopecurus taiwanensis,S.S.Ying,New Taxa New Names 8: 257. 2025 [30 Nov 2025] [epublished],,,
wfo-1000086931,urn:lsid:ipni.org:names:77373753-1,Alopecurus corrientesius,S.S.Ying,New Taxa New Names 8: 262. 2025 [30 Nov 2025] [epublished],,,
wfo-1000086980,urn:lsid:ipni.org:names:77373818-1,Chusquea giuliettiae,K.V.A.Vidal & L.G.Clark,Phytotaxa 734(1): 67. 2025 [16 Dec 2025] [epublished],,,
wfo-1000087144,urn:lsid:ipni.org:names:77374060-1,Chimonocalamus hekouensis,"Y.X.Zhang, Gui L.Zhang & D.Z.Li",J. Syst. Evol. 64(x): 12 of 20. 2025 [26 Oct 2025] [epublished],,,
wfo-1000087145,urn:lsid:ipni.org:names:77374061-1,Chimonocalamus hsuehiorum,D.Z.Li & Y.X.Zhang,J. Syst. Evol. 64(x): 13 of 20. 2025 [26 Oct 2025] [epublished],,,
wfo-1000087146,urn:lsid:ipni.org:names:77374062-1,Chimonocalamus shuangjiangensis,D.Z.Li & Y.X.Zhang,J. Syst. Evol. 64(x): 15 of 20. 2025 [26 Oct 2025] [epublished],,,
wfo-1000087281,urn:lsid:ipni.org:names:77374461-1,Melocalamus gaoligongshanensis,D.Z.Li & Z.C.Xu,Taxon 74(6): 1411. 2025 [4 Aug 2025] [epublished],,,
wfo-1000087283,urn:lsid:ipni.org:names:77374463-1,Melocalamus putaoensis,D.Z.Li & J.X.Liu,Taxon 74(6): 1412. 2025 [4 Aug 2025] [epublished],,,
wfo-1200116488,urn:lsid:ipni.org:names:77374466-1,Melica sect. Melicula,(W.Hempel) Röser & Winterf.,Taxon 74(6): 1432. 2025 [5 Oct 2025] [epublished],,Poaceae Melica subsect. Melicula W.Hempel,(W.Hempel)
wfo-1200116489,urn:lsid:ipni.org:names:77374467-1,Melica sect. Uniflorae,(W.Hempel) Röser & Winterf.,Taxon 74(6): 1432. 2025 [5 Oct 2025] [epublished],,Poaceae Melica subsect. Uniflorae W.Hempel,(W.Hempel)
