WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000078322,urn:lsid:ipni.org:names:77356325-1,Sclerochloa biflora,(Steud.) D.L.Fu,Amer. J. Agric. Forest. 12(4): 255. 2024 [4 Jul 2024] [epublished],,Poaceae Festuca biflora Steud.,(Steud.)
wfo-1000078345,urn:lsid:ipni.org:names:77356358-1,Dactylis himalayensis,(Domin) P.P.Ferrer & Rosselló,Fl. Montiber. 90: 104. 2024 [Dec 2024] [epublished],,Poaceae Dactylis glomerata L. subsp. himalayensis Domin,(Domin)
wfo-1000078346,urn:lsid:ipni.org:names:77356359-1,Dactylis judaica,(Stebbins & D.Zohary) P.P.Ferrer & Rosselló,Fl. Montiber. 90: 104. 2024 [Dec 2024] [epublished],,Poaceae Dactylis glomerata L. subsp. judaica Stebbins & D.Zohary,(Stebbins & D.Zohary)
wfo-1000078347,urn:lsid:ipni.org:names:77356360-1,Dactylis lusitanica,(Stebbins & D.Zohary) P.P.Ferrer & Rosselló,Fl. Montiber. 90: 104. 2024 [Dec 2024] [epublished],,Poaceae Dactylis glomerata L. subsp. lusitanica Stebbins & D.Zohary,(Stebbins & D.Zohary)
wfo-1000078348,urn:lsid:ipni.org:names:77356361-1,Dactylis santai,(Stebbins & D.Zohary) P.P.Ferrer & Rosselló,Fl. Montiber. 90: 104. 2024 [Dec 2024] [epublished],,Poaceae Dactylis glomerata L. subsp. santai Stebbins & D.Zohary,(Stebbins & D.Zohary)
wfo-1200110569,urn:lsid:ipni.org:names:77357317-1,Agrostis subspicata subsp. prostrata,(Hack. & Lange) Romero Zarco & L.Sáez,Acta Bot. Malac. 50-21009: 2. 2025 [13 Feb 2025] [epublished],,Poaceae Chaeturus prostratus Hack. & Lange,(Hack. & Lange)
wfo-1000078552,urn:lsid:ipni.org:names:77357318-1,Agrostis monspeliensis,(L.) Romero Zarco & L.Sáez,Acta Bot. Malac. 50-21009: 2. 2025 [13 Feb 2025] [epublished],,Poaceae Alopecurus monspeliensis L.,(L.)
wfo-1000078554,urn:lsid:ipni.org:names:77357321-1,Agrostis annua,Röser & Tkach,Schlechtendalia 41: 64. 2024 [29 May 2024] [epublished],,,
wfo-1000078555,urn:lsid:ipni.org:names:77357322-1,Agrostis austroandina,Röser & Tkach,Schlechtendalia 41: 65. 2024 [29 May 2024] [epublished],,,
wfo-1000078556,urn:lsid:ipni.org:names:77357323-1,Agrostis austroamericana,Röser & Tkach,Schlechtendalia 41: 65. 2024 [29 May 2024] [epublished],,,
