WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000077554,urn:lsid:ipni.org:names:77354512-1,Jarava robusta,(Vasey) D.L.Fu,Amer. J. Agric. Forest. 12(4): 254. 2024 [4 Jul 2024] [epublished],,Poaceae Stipa viridula Trin. var. robusta Vasey,(Vasey)
wfo-1000077555,urn:lsid:ipni.org:names:77354513-1,Jarava rosengurttii,(Chase) D.L.Fu,Amer. J. Agric. Forest. 12(4): 254. 2024 [4 Jul 2024] [epublished],,Poaceae Stipa rosengurttii Chase,(Chase)
wfo-1000077556,urn:lsid:ipni.org:names:77354514-1,Jarava rupestris,(Phil.) D.L.Fu,Amer. J. Agric. Forest. 12(4): 254. 2024 [4 Jul 2024] [epublished],,Poaceae Stipa rupestris Phil.,(Phil.)
wfo-1000077557,urn:lsid:ipni.org:names:77354515-1,Jarava sanluisensis,(Speg.) D.L.Fu,Amer. J. Agric. Forest. 12(4): 254. 2024 [4 Jul 2024] [epublished],,Poaceae Stipa sanluisensis Speg.,(Speg.)
wfo-1200110250,urn:lsid:ipni.org:names:77354516-1,Jarava scabrifolia,(Torres) D.L.Fu,Amer. J. Agric. Forest. 12(4): 254. 2024 [4 Jul 2024] [epublished],isonym,Poaceae Stipa scabrifolia Torres,(Torres)
wfo-1000077558,urn:lsid:ipni.org:names:77354517-1,Jarava scribneri,(Vasey) D.L.Fu,Amer. J. Agric. Forest. 12(4): 254. 2024 [4 Jul 2024] [epublished],,Poaceae Stipa scribneri Vasey,(Vasey)
wfo-1000077559,urn:lsid:ipni.org:names:77354518-1,Jarava sellowiana,(Nees ex Trin. & Rupr.) D.L.Fu,Amer. J. Agric. Forest. 12(4): 254. 2024 [4 Jul 2024] [epublished],,Poaceae Stipa sellowiana Nees ex Trin. & Rupr.,(Nees ex Trin. & Rupr.)
wfo-1000077560,urn:lsid:ipni.org:names:77354519-1,Jarava smithii,(Hitchc.) D.L.Fu,Amer. J. Agric. Forest. 12(4): 254. 2024 [4 Jul 2024] [epublished],,Poaceae Stipa smithii Hitchc.,(Hitchc.)
wfo-1000077561,urn:lsid:ipni.org:names:77354520-1,Jarava soukupii,(Tovar) D.L.Fu,Amer. J. Agric. Forest. 12(4): 254. 2024 [4 Jul 2024] [epublished],,Poaceae Stipa soukupii Tovar,(Tovar)
wfo-1000077562,urn:lsid:ipni.org:names:77354521-1,Jarava spegazzinii,(Arechav.) D.L.Fu,Amer. J. Agric. Forest. 12(4): 254. 2024 [4 Jul 2024] [epublished],,Poaceae Stipa spegazzinii Arechav.,(Arechav.)
