WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200113900,urn:lsid:ipni.org:names:77364887-1,Campeiostachys tsukushiensis var. transiens,(Hack.) C.Yen & J.L.Yang,Biosyst. Triticeae 5: 61. 2022 ,,Poaceae Agropyron semicostatum (Steud.) P.Candargy var. transiens Hack.,(Hack.)
wfo-1000083039,urn:lsid:ipni.org:names:77364889-1,Cephalostachyum elevatissimum,"(Hsueh & T.P.Yi) D.Z.Li, Y.X.Zhang & Y.Jin Chen",PhytoKeys 259: 187. 2025 [3 Jul 2025] [epublished],,Poaceae Melocalamus elevatissimus Hsueh & T.P.Yi,(Hsueh & T.P.Yi)
wfo-1000083040,urn:lsid:ipni.org:names:77364890-1,Melocalamus guangxiensis,D.Z.Li & J.X.Liu,PhytoKeys 259: 192. 2025 [3 Jul 2025] [epublished],,,
wfo-1000083041,urn:lsid:ipni.org:names:77364891-1,Guadua lacerata,Ruiz-Sanchez & McMurchie,"Bot. Sci. 103(2): 547, figs. 1-4, table 1. 2025 [18 Feb 2025] (epublished)",,,
wfo-1200113901,urn:lsid:ipni.org:names:77364893-1,Deschampsia cespitosa subsp. nubigena,(Hillebr.) Faccenda,Bishop Mus. Occas. Pap. 163: 114. 2025 [27 Jun 2025] [epublished],,Poaceae Deschampsia nubigena Hillebr.,(Hillebr.)
wfo-1000083093,urn:lsid:ipni.org:names:77365198-1,Phyllostachys indica,D.L.Fu & H.Fu,Amer. J. Agric. Forest. 12(2): 96. 2024 [2 Apr 2024] [epublished],,,
wfo-1000083094,urn:lsid:ipni.org:names:77365199-1,Phyllostachys jianghuana,D.L.Fu & H.Fu,Amer. J. Agric. Forest. 12(2): 96. 2024 [2 Apr 2024] [epublished],,,
wfo-1000083095,urn:lsid:ipni.org:names:77365200-1,Phyllostachys jianyangensis,D.L.Fu & H.Fu,Amer. J. Agric. Forest. 12(2): 96. 2024 [2 Apr 2024] [epublished],,,
wfo-1000083096,urn:lsid:ipni.org:names:77365201-1,Phyllostachys jiuwanshanensis,D.L.Fu & H.Fu,Amer. J. Agric. Forest. 12(2): 96. 2024 [2 Apr 2024] [epublished],,,
wfo-1000083097,urn:lsid:ipni.org:names:77365202-1,Phyllostachys jotanii,(Kenji Inoue & Tanim.) D.L.Fu,Amer. J. Agric. Forest. 12(2): 96. 2024 [2 Apr 2024] [epublished],,Poaceae Sasa kurilensis Makino & Shibata var. jotanii Kenji Inoue & Tanim.,(Kenji Inoue & Tanim.)
wfo-1000083098,urn:lsid:ipni.org:names:77365203-1,Phyllostachys laocaica,D.L.Fu & H.Fu,Amer. J. Agric. Forest. 12(2): 96. 2024 [2 Apr 2024] [epublished],,,
wfo-1000083099,urn:lsid:ipni.org:names:77365204-1,Phyllostachys leiboana,D.L.Fu & H.Fu,Amer. J. Agric. Forest. 12(2): 96. 2024 [2 Apr 2024] [epublished],,,
wfo-1000083100,urn:lsid:ipni.org:names:77365205-1,Phyllostachys lenis,D.L.Fu & H.Fu,Amer. J. Agric. Forest. 12(2): 96. 2024 [2 Apr 2024] [epublished],,,
wfo-1000083103,urn:lsid:ipni.org:names:77365208-1,Froesiochloa hopkinsiana,I.L.C.Oliveira & R.P.Oliveira,Pl. Syst. Evol. 311(3)-15: 11. 2025 [2 May 2025] [epublished],,,
wfo-1000083105,urn:lsid:ipni.org:names:77365211-1,Phyllostachys lincangensis,(T.P.Yi) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Fargesia lincangensis T.P.Yi,(T.P.Yi)
wfo-1000083106,urn:lsid:ipni.org:names:77365212-1,Phyllostachys lipoensis,(C.D.Chu & K.M.Lan) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Indosasa lipoensis C.D.Chu & K.M.Lan,(C.D.Chu & K.M.Lan)
wfo-1000083107,urn:lsid:ipni.org:names:77365213-1,Phyllostachys lingchuanensis,(C.D.Chu & C.S.Chao) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Indosasa lingchuanensis C.D.Chu & C.S.Chao,(C.D.Chu & C.S.Chao)
wfo-1000083108,urn:lsid:ipni.org:names:77365214-1,Phyllostachys longiinternoda,(T.H.Wen & S.C.Chen) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Gelidocalamus longiinternodus T.H.Wen & S.C.Chen,(T.H.Wen & S.C.Chen)
wfo-1000083109,urn:lsid:ipni.org:names:77365215-1,Phyllostachys linearis,(Hack.) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Arundinaria linearis Hack.,(Hack.)
wfo-1000083110,urn:lsid:ipni.org:names:77365216-1,Phyllostachys longiaurita,(Hand.-Mazz.) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Indocalamus longiauritus Hand.-Mazz.,(Hand.-Mazz.)
wfo-1000083111,urn:lsid:ipni.org:names:77365217-1,Phyllostachys levigata,(T.P.Yi) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Yushania levigata T.P.Yi,(T.P.Yi)
wfo-1000083112,urn:lsid:ipni.org:names:77365218-1,Phyllostachys leucorhoda,(Koidz.) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Pleioblastus leucorhodus Koidz.,(Koidz.)
wfo-1000083113,urn:lsid:ipni.org:names:77365219-1,Phyllostachys lineolata,(T.P.Yi) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Yushania lineolata T.P.Yi,(T.P.Yi)
wfo-1000083114,urn:lsid:ipni.org:names:77365220-1,Phyllostachys lunata,(W.T.Lin) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Indosasa lunata W.T.Lin,(W.T.Lin)
wfo-1000083115,urn:lsid:ipni.org:names:77365221-1,Phyllostachys magnifica,(Nakai) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Arundinaria magnifica Nakai,(Nakai)
wfo-1000083116,urn:lsid:ipni.org:names:77365222-1,Phyllostachys longispicata,(W.Y.Hsiung & C.S.Chao) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Indosasa longispicata W.Y.Hsiung & C.S.Chao,(W.Y.Hsiung & C.S.Chao)
wfo-1000083117,urn:lsid:ipni.org:names:77365223-1,Phyllostachys longiuscula,(T.P.Yi) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Yushania longiuscula T.P.Yi,(T.P.Yi)
wfo-1000083118,urn:lsid:ipni.org:names:77365224-1,Phyllostachys longispiculata,(R.B.Majumdar) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Chimonocalamus longispiculatus R.B.Majumdar,(R.B.Majumdar)
wfo-1000083119,urn:lsid:ipni.org:names:77365225-1,Phyllostachys luodianensis,(T.P.Yi & R.S.Wang) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Ampelocalamus luodianensis T.P.Yi & R.S.Wang,(T.P.Yi & R.S.Wang)
wfo-1000083120,urn:lsid:ipni.org:names:77365226-1,Phyllostachys madagascariensis,(A.Camus) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Arundinaria madagascariensis A.Camus,(A.Camus)
wfo-1000083121,urn:lsid:ipni.org:names:77365227-1,Phyllostachys longshanensis,(D.Z.Li & X.Y.Ye) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Yushania longshanensis D.Z.Li & X.Y.Ye,(D.Z.Li & X.Y.Ye)
wfo-1000083122,urn:lsid:ipni.org:names:77365228-1,Phyllostachys magninoda,(T.H.Wen & G.L.Liao) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Sasa magninoda T.H.Wen & G.L.Liao,(T.H.Wen & G.L.Liao)
wfo-1000083123,urn:lsid:ipni.org:names:77365229-1,Phyllostachys lubrica,(T.H.Wen) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Semiarundinaria lubrica T.H.Wen,(T.H.Wen)
wfo-1000083124,urn:lsid:ipni.org:names:77365230-1,Phyllostachys longiligula,(T.H.Wen) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Pseudosasa longiligula T.H.Wen,(T.H.Wen)
wfo-1000083125,urn:lsid:ipni.org:names:77365231-1,Phyllostachys lushuiensis,(Hsueh f. & T.P.Yi) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Fargesia lushuiensis Hsueh f. & T.P.Yi,(Hsueh f. & T.P.Yi)
wfo-1000083126,urn:lsid:ipni.org:names:77365232-1,Phyllostachys longissima,(K.F.Huang) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Yushania longissima K.F.Huang,(K.F.Huang)
wfo-1000083127,urn:lsid:ipni.org:names:77365233-1,Phyllostachys maculata,(McClure) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Sinobambusa maculata McClure,(McClure)
wfo-1000083128,urn:lsid:ipni.org:names:77365234-1,Phyllostachys luzhiensis,(Keng f.) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Oreocalamus luzhiensis Keng f.,(Keng f.)
wfo-1000083129,urn:lsid:ipni.org:names:77365235-1,Phyllostachys macclureana,(Bor) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Arundinaria macclureana Bor,(Bor)
wfo-1000083130,urn:lsid:ipni.org:names:77365236-1,Phyllostachys mabianensis,(T.P.Yi) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Yushania mabianensis T.P.Yi,(T.P.Yi)
wfo-1000083131,urn:lsid:ipni.org:names:77365237-1,Phyllostachys maculifera,(J.L.Lu) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Pseudosasa maculifera J.L.Lu,(J.L.Lu)
wfo-1000083132,urn:lsid:ipni.org:names:77365238-1,Phyllostachys longiligulata,(McClure) D.L.Fu,Amer. J. Agric. Forest. 12(2): 97. 2024 [2 Apr 2024] [epublished],,Poaceae Sasa longiligulata McClure,(McClure)
