WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000081448,urn:lsid:ipni.org:names:77361343-1,Macrochloa gabesensis,"(Moraldo, Raffaelli & Ricceri) F.M.Vázquez",Phytotaxa 699(1): 30. 2025 [6 May 2025] [epublished],,"Poaceae Stipa gabesensis Moraldo, Raffaelli & Ricceri","(Moraldo, Raffaelli & Ricceri)"
wfo-1200113081,urn:lsid:ipni.org:names:77361344-1,Macrochloa gabesensis subsp. kelibiae,"(Moraldo, Raffaelli & Ricceri) F.M.Vázquez",Phytotaxa 699(1): 32. 2025 [6 May 2025] [epublished],,"Poaceae Stipa kelibiae Moraldo, Raffaelli & Ricceri","(Moraldo, Raffaelli & Ricceri)"
wfo-1000081449,urn:lsid:ipni.org:names:77361345-1,Stipa ser. Africanae,F.M.Vázquez,Phytotaxa 699(1): 61. 2025 [6 May 2025] [epublished],,,
wfo-1200113141,urn:lsid:ipni.org:names:77361346-1,Stipa letourneuxii var. ignea,(F.M.Vázquez) F.M.Vázquez,Phytotaxa 699(1): 62. 2025 [6 May 2025] [epublished],,Poaceae Stipa letourneuxii Trab. subsp. ignea F.M.Vázquez,(F.M.Vázquez)
wfo-0001368259,urn:lsid:ipni.org:names:77361347-1,Stipa letourneuxii var. tunetana,(H.Scholz) F.M.Vázquez,Phytotaxa 699(1): 62. 2025 [6 May 2025] [epublished],,Poaceae Stipa tunetana H.Scholz,(H.Scholz)
wfo-1000081450,urn:lsid:ipni.org:names:77361348-1,Stipa trabutiana,F.M.Vázquez,Phytotaxa 699(1): 65. 2025 [6 May 2025] [epublished],,,
wfo-1200113082,urn:lsid:ipni.org:names:77361349-1,Stipellula parviflora var. sandwithii,(Chrtek & Martinovský) F.M.Vázquez,Phytotaxa 699(1): 82. 2025 [6 May 2025] [epublished],,Poaceae Stipa parviflora Nutt. subsp. sandwithii Chrtek & Martinovský,(Chrtek & Martinovský)
wfo-0000902570,urn:lsid:ipni.org:names:77361350-1,Stipa parviflora f. pilosa,Chrtek & Martinovský,Webbia 24: 398. 1969 ,,,
wfo-1200113083,urn:lsid:ipni.org:names:77361351-1,Stipellula parviflora var. pilosa,(Chrtek & Martinovský) F.M.Vázquez,Phytotaxa 699(1): 82. 2025 [6 May 2025] [epublished],,Poaceae Stipa parviflora Desf. f. pilosa Chrtek & Martinovský,(Chrtek & Martinovský)
wfo-1200113084,urn:lsid:ipni.org:names:77361352-1,Stipellula parviflora var. hoggarensis,(Chrtek & Martinovský) F.M.Vázquez,Phytotaxa 699(1): 84. 2025 [6 May 2025] [epublished],,Poaceae Stipa hoggarensis Chrtek & Martinovský,(Chrtek & Martinovský)
