WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200115891,urn:lsid:ipni.org:names:77371698-1,Helictotrichon alpinum subsp. adsurgens,(Schur ex Simonk.) Soó,Feddes Repert. 83(3): 171. 1972 [Aug 1972] ,,Poaceae Avena adsurgens Schur ex Simonk.,(Schur ex Simonk.)
wfo-1000080924,urn:lsid:ipni.org:names:77360579-1,Yushania rubrovaginata,"(C.H.Hu) N.H.Xia, Y.H.Tong, J.B.Ni & Xing Li",PhytoKeys 255: 193. 2025 [24 Apr 2025] [epublished],,Poaceae Sasa rubrovaginata Cheng H.Hu,(C.H.Hu)
wfo-1000082144,urn:lsid:ipni.org:names:77363204-1,Phyllostachys confertella,D.L.Fu & H.Fu,Amer. J. Agric. Forest. 12(2): 92. 2024 [2 Apr 2024] [epublished],,,
wfo-1000082403,urn:lsid:ipni.org:names:77364053-1,Phyllostachys hubeiensis,(Cheng H.Hu) D.L.Fu,Amer. J. Agric. Forest. 12(2): 95. 2024 [2 Apr 2024] [epublished],,Poaceae Sasamorpha hubeiensis Cheng H.Hu,(Cheng H.Hu)
wfo-1000082461,urn:lsid:ipni.org:names:77364136-1,Phyllostachys lancifolia,(C.H.Hu) D.L.Fu,Amer. J. Agric. Forest. 12(2): 96. 2024 [2 Apr 2024] [epublished],,Poaceae Shibataea lanceifolia Cheng H.Hu,(C.H.Hu)
wfo-1000083474,urn:lsid:ipni.org:names:77366462-1,Phyllostachys oblongula,(Cheng H.Hu) D.L.Fu,Amer. J. Agric. Forest. 12(2): 99. 2024 [2 Apr 2024] [epublished],,Poaceae Sasa oblongula Cheng H.Hu,(Cheng H.Hu)
wfo-1000084997,urn:lsid:ipni.org:names:77369872-1,Phyllostachys qingyuanensis,(Cheng H.Hu) D.L.Fu,Amer. J. Agric. Forest. 12(2): 100. 2024 [2 Apr 2024] [epublished],,Poaceae Sasamorpha qingyuanensis Cheng H.Hu,(Cheng H.Hu)
wfo-1000085379,urn:lsid:ipni.org:names:77370716-1,Phyllostachys rubrovaginata,(Cheng H.Hu) D.L.Fu,Amer. J. Agric. Forest. 12(2): 101. 2024 [2 Apr 2024] [epublished],,Poaceae Sasa rubrovaginata Cheng H.Hu,(Cheng H.Hu)
wfo-1000085690,urn:lsid:ipni.org:names:77371342-1,Indosasa fimbriligulata,"N.H.Xia, Z.Y.Niu & Y.H.Tong",PhytoKeys 265: 213. 2025 [4 Nov 2025] [epublished],,,
wfo-1000086188,urn:lsid:ipni.org:names:77371718-1,Poa barclayae,"(Davidse, Soreng & P.M.Peterson) Soreng",PhytoKeys 266: 130. 2025 [10 Nov 2025] [epublished],,"Poaceae Agrostopoa barclayae Davidse, Soreng & P.M.Peterson","(Davidse, Soreng & P.M.Peterson)"
wfo-1000086189,urn:lsid:ipni.org:names:77371719-1,Poa wallisii,(Mez) Soreng,PhytoKeys 266: 131. 2025 [10 Nov 2025] [epublished],,Poaceae Muhlenbergia wallisii Mez,(Mez)
wfo-1000086190,urn:lsid:ipni.org:names:77371720-1,Poa woodii,"(Soreng, P.M.Peterson & Davidse) Soreng",PhytoKeys 266: 131. 2025 [10 Nov 2025] [epublished],,"Poaceae Agrostopoa woodii Soreng, P.M.Peterson & Davidse","(Soreng, P.M.Peterson & Davidse)"
wfo-1000086191,urn:lsid:ipni.org:names:77371721-1,Poa ana-molinae,Soreng & L.J.Gillespie,PhytoKeys 266: 131. 2025 [10 Nov 2025] [epublished],,,
