WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000085669,urn:lsid:ipni.org:names:77370056-1,Brachypodium obtusifolium,(Boiss.) Boiss.,Voy. Bot. Espagne 2: 679. 1844 ,nom. illeg. later homonym,Poaceae Triticum obtusifolium Boiss.,(Boiss.)
wfo-1200033737,urn:lsid:ipni.org:names:77370548-1,Festuca ovina f. puberula,Hack.,"Monogr. Festuc. Eur. 95. 1882 , in obs. sub. subvar. pallens",,,
wfo-1200115020,urn:lsid:ipni.org:names:77370549-1,Festuca pallens var. stenoglauca,Borbás,Balaton Tavának Növényföldr. 318. 1900 ,,,
wfo-1200033278,urn:lsid:ipni.org:names:77370550-1,Festuca ovina subvar. hispida,Hack.,Monogr. Festuc. Eur. 105. 1882 ,,,
wfo-1200115128,urn:lsid:ipni.org:names:77370551-1,Helictotrichon pratense var. subdecurrens,(Borbás) Soó,Acta Bot. Acad. Sci. Hung. 10: 376. 1964 ,,Poaceae Avena pratensis L. subsp. subdecurrens Borbás,(Borbás)
wfo-1000085373,urn:lsid:ipni.org:names:77370710-1,Phyllostachys ramosa,(Makino) D.L.Fu,Amer. J. Agric. Forest. 12(2): 101. 2024 [2 Apr 2024] [epublished],,Poaceae Arundinaria ramosa Makino,(Makino)
wfo-1000085374,urn:lsid:ipni.org:names:77370711-1,Phyllostachys rigidula,(E.G.Camus) D.L.Fu,Amer. J. Agric. Forest. 12(2): 101. 2024 [2 Apr 2024] [epublished],,Poaceae Arundinaria rigidula E.G.Camus,(E.G.Camus)
wfo-1000085375,urn:lsid:ipni.org:names:77370712-1,Phyllostachys rimosivagina,(T.H.Wen) D.L.Fu,Amer. J. Agric. Forest. 12(2): 101. 2024 [2 Apr 2024] [epublished],,Poaceae Ferrocalamus rimosivaginus T.H.Wen,(T.H.Wen)
wfo-1000085376,urn:lsid:ipni.org:names:77370713-1,Phyllostachys robusta,(T.P.Yi) D.L.Fu,Amer. J. Agric. Forest. 12(2): 101. 2024 [2 Apr 2024] [epublished],,Poaceae Fargesia robusta T.P.Yi,(T.P.Yi)
wfo-1000085377,urn:lsid:ipni.org:names:77370714-1,Phyllostachys rolloana,(Gamble) D.L.Fu,Amer. J. Agric. Forest. 12(2): 101. 2024 [2 Apr 2024] [epublished],,Poaceae Arundinaria rolloana Gamble,(Gamble)
wfo-1000085378,urn:lsid:ipni.org:names:77370715-1,Phyllostachys rubroligula,(McClure) D.L.Fu,Amer. J. Agric. Forest. 12(2): 101. 2024 [2 Apr 2024] [epublished],,Poaceae Sinobambusa rubroligula McClure,(McClure)
wfo-1000085379,urn:lsid:ipni.org:names:77370716-1,Phyllostachys rubrovaginata,(Cheng H.Hu) D.L.Fu,Amer. J. Agric. Forest. 12(2): 101. 2024 [2 Apr 2024] [epublished],,Poaceae Sasa rubrovaginata Cheng H.Hu,(Cheng H.Hu)
wfo-1000085380,urn:lsid:ipni.org:names:77370717-1,Phyllostachys rufa,(T.P.Yi) D.L.Fu,Amer. J. Agric. Forest. 12(2): 101. 2024 [2 Apr 2024] [epublished],,Poaceae Fargesia rufa T.P.Yi,(T.P.Yi)
wfo-1000085381,urn:lsid:ipni.org:names:77370718-1,Phyllostachys rugata,(T.H.Wen & S.Y.Chen) D.L.Fu,Amer. J. Agric. Forest. 12(2): 101. 2024 [2 Apr 2024] [epublished],,Poaceae Pleioblastus rugatus T.H.Wen & S.Y.Chen,(T.H.Wen & S.Y.Chen)
wfo-1000085382,urn:lsid:ipni.org:names:77370719-1,Phyllostachys rugosa,(T.P.Yi) D.L.Fu,Amer. J. Agric. Forest. 12(2): 101. 2024 [2 Apr 2024] [epublished],,Poaceae Yushania rugosa T.P.Yi,(T.P.Yi)
