WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200114799,urn:lsid:ipni.org:names:77368636-1,Campeiostachys dahurica var. purpuraristata,"(C.P.Wang & X.L.Yang) Y.H.Zhou, H.Q.Zhang, Wei Huan Chen & L.Tan",Pl. Ecol. Evol. 158(3): 346. 2025 [12 Sep 2025] [epublished],,Poaceae Elymus purpuraristatus C.P.Wang & X.L.Yang,(C.P.Wang & X.L.Yang)
wfo-1000084796,urn:lsid:ipni.org:names:77368652-1,Chusquea robinfosteri,"Refulio, Klahs & L.G.Clark",Phytotaxa 716(4): 232. 2025 [4 Sep 2025] [epublished],,,
wfo-1000084742,urn:lsid:ipni.org:names:77368967-1,Elymus aduoensis,(S.L.Lu & Y.H.Wu) R.Kr.Singh,J. Biodivers. Conservation 9(3): 89. 2025 [10 Sep 2025] [epublished],,Poaceae Roegneria aduoensis S.L.Lu & Y.H.Wu,(S.L.Lu & Y.H.Wu)
wfo-1000084743,urn:lsid:ipni.org:names:77368968-1,Elymus fursaevii,"(Laktionov, Tzvelev & Mavrodiev) R.Kr.Singh",J. Biodivers. Conservation 9(3): 90. 2025 [10 Sep 2025] [epublished],,"Poaceae Elytrigia fursaevii Laktionov, Tzvelev & Mavrodiev","(Laktionov, Tzvelev & Mavrodiev)"
wfo-1000084744,urn:lsid:ipni.org:names:77368969-1,Elymus nuristanicus,(Ohwi) R.Kr.Singh,J. Biodivers. Conservation 9(3): 90. 2025 [10 Sep 2025] [epublished],,Poaceae Roegneria nuristanica Ohwi,(Ohwi)
wfo-1000084745,urn:lsid:ipni.org:names:77368970-1,Elymus yenchianus,(X.Fan & L.N.Sha) R.Kr.Singh,J. Biodivers. Conservation 9(3): 90. 2025 [10 Sep 2025] [epublished],,Poaceae Roegneria yenchiana X.Fan & L.N.Sha,(X.Fan & L.N.Sha)
wfo-1000084746,urn:lsid:ipni.org:names:77368971-1,Elymus zaquensis,(Y.H.Wu) R.Kr.Singh,J. Biodivers. Conservation 9(3): 90. 2025 [10 Sep 2025] [epublished],,Poaceae Roegneria zaquensis Y.H.Wu,(Y.H.Wu)
wfo-1000085052,urn:lsid:ipni.org:names:77368972-1,Setaria ankarensis,(A.Camus) R.Kr.Singh,J. Biodivers. Conservation 9(3): 90. 2025 [10 Sep 2025] [epublished],,Poaceae Paspalidium ankarense A.Camus,(A.Camus)
wfo-1000084747,urn:lsid:ipni.org:names:77368973-1,Setaria fiherenensis,(Bosser) R.Kr.Singh,J. Biodivers. Conservation 9(3): 90. 2025 [10 Sep 2025] [epublished],,Poaceae Camusiella fiherenensis Bosser,(Bosser)
wfo-1000085053,urn:lsid:ipni.org:names:77368974-1,Setaria johnsonii,(B.K.Simon) R.Kr.Singh,J. Biodivers. Conservation 9(3): 91. 2025 [10 Sep 2025] [epublished],,Poaceae Paspalidium johnsonii B.K.Simon,(B.K.Simon)
wfo-1000084748,urn:lsid:ipni.org:names:77368976-1,Urochloa antsirabensis,(A.Camus) R.Kr.Singh,J. Biodivers. Conservation 9(3): 91. 2025 [10 Sep 2025] [epublished],,Poaceae Brachiaria antsirabensis A.Camus,(A.Camus)
