WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000086659,urn:lsid:ipni.org:names:77372827-1,Zingiber edule,"H.B.Ding, Y.X.Gong & X.S.Yan",Phytotaxa 732(1): 47. 2025 [3 Dec 2025] [epublished],,,
wfo-1000086688,urn:lsid:ipni.org:names:77372975-1,Alpinia chushanensis,S.S.Ying,New Taxa New Names 8: 171. 2025 [30 Nov 2025] [epublished],,,
wfo-1000086689,urn:lsid:ipni.org:names:77372976-1,Alpinia yulaoensis,S.S.Ying,New Taxa New Names 8: 164. 2025 [30 Nov 2025] [epublished],,,
wfo-1000086690,urn:lsid:ipni.org:names:77372977-1,Alpinia ovalifolia,(Ridl.) S.S.Ying,New Taxa New Names 8: 178. 2025 [30 Nov 2025] [epublished],,Zingiberaceae Eriolopha ovalifolia Ridl.,(Ridl.)
wfo-1000086691,urn:lsid:ipni.org:names:77372978-1,Alpinia ridleya,S.S.Ying,New Taxa New Names 8: 178. 2025 [30 Nov 2025] [epublished],,,
wfo-1000086692,urn:lsid:ipni.org:names:77372979-1,Alpinia pendula,(Quisumb. & Merr.) S.S.Ying,"New Taxa New Names 8: 178. 2025 [30 Nov 2025] , as 'pendulata' [epublished]",,Zingiberaceae Languas pendula Quisumb. & Merr.,(Quisumb. & Merr.)
wfo-1000086693,urn:lsid:ipni.org:names:77372980-1,Alpinia eruciformis,(Ridl.) S.S.Ying,New Taxa New Names 8: 178. 2025 [30 Nov 2025] [epublished],,Zingiberaceae Kolowratia eruciformis Ridl.,(Ridl.)
wfo-1000086694,urn:lsid:ipni.org:names:77372981-1,Alpinia scorpoidea,(Quisumb. & Merr.) S.S.Ying,"New Taxa New Names 8: 178. 2025 [30 Nov 2025] , as 'scorpoides' [epublished]",,Zingiberaceae Languas scorpoidea Quisumb. & Merr.,(Quisumb. & Merr.)
wfo-1000086695,urn:lsid:ipni.org:names:77372982-1,Alpinia pinatubensis,(Elmer) S.S.Ying,New Taxa New Names 8: 178. 2025 [30 Nov 2025] [epublished],,Zingiberaceae Languas pinatubensis Elmer,(Elmer)
wfo-1200116443,urn:lsid:ipni.org:names:77373781-1,Amomum rubrum,Desf.,"Tabl. École Bot., ed. 3 (Cat. Pl. Horti Paris.) 427. 1832 ",nom. illeg. nom. superfl.,,
wfo-1000087071,urn:lsid:ipni.org:names:77373956-1,Boesenbergia burmanica,"Boonma, P.Saensouk & Saensouk",Taxonomy 5(4)-70: 4. 2025 [17 Dec 2025] [epublished],,,
