WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000077778,urn:lsid:ipni.org:names:77354670-1,Cornukaempferia puangpeniae,"P.Saensouk, Saensouk, Boonma & Techa",Heliyon 11(2)-e41603: 3. 2025 [31 Dec 2024 publ. 10 Jan 2025] [epublished],,,
wfo-1200110301,urn:lsid:ipni.org:names:77354671-1,Cornukaempferia aurantiiflora var. vespera,"P.Saensouk, Saensouk & Boonma",Heliyon 11(2)-e41603: 6. 2025 [31 Dec 2024 publ. 10 Jan 2025] [epublished],,,
wfo-1000077605,urn:lsid:ipni.org:names:77354787-1,Kaempferia calcicola,Noppornch.,Willdenowia 54(2-3): 136. 2024 [28 Jun 2024] [epublished],,,
wfo-1000077897,urn:lsid:ipni.org:names:77355211-1,Globba zwegabinensis,"Latt, Naing & Joongku Lee",Bangladesh J. Pl. Taxon. 31(2): 199. 2024 [29 Dec 2024] [epublished],,,
wfo-1000077926,urn:lsid:ipni.org:names:77355295-1,Alpinia buckiana,C.K.Lim,Folia Malaysiana 19(1): 23. 2024 ,,,
wfo-1000077927,urn:lsid:ipni.org:names:77355296-1,Alpinia ipohensis,C.K.Lim,Folia Malaysiana 19(1): 26. 2024 ,,,
wfo-1000077928,urn:lsid:ipni.org:names:77355297-1,Alpinia bifurcata,C.K.Lim,Folia Malaysiana 19(1): 26. 2024 ,,,
wfo-1000077930,urn:lsid:ipni.org:names:77355300-1,Tonemone nutans,(L.) C.K.Lim,Folia Malaysiana 19(1): 6. 2024 ,,Zingiberaceae Globba nutans L.,(L.)
wfo-4100004939,urn:lsid:ipni.org:names:77355628-1,Tonemone,C.K.Lim,Folia Malaysiana 19(1): 5. 2024 ,isonym nom. superfl.,,
wfo-1000078019,urn:lsid:ipni.org:names:77355905-1,Caulokaempferia odontochila,(Y.H.Tan & H.B.Ding) R.Kr.Singh,J. Biodivers. Conservation 9(1): 31. 2025 [22 Jan 2025] [epublished],,Zingiberaceae Monolophus odontochilus Y.H.Tan & H.B.Ding,(Y.H.Tan & H.B.Ding)
