WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000087405,urn:lsid:ipni.org:names:77374651-1,Strobilanthes sharavathiensis,"Sathisha, Betageri & Shreeh.",Nordic J. Bot. 2025(12)-e04888: 3. [15 Sep 2025] [epublished],,,
wfo-1200116570,urn:lsid:ipni.org:names:77375045-1,Strobilanthes aprica var. pedunculata,(Craib) Craib & Benoist,Fl. Indo-Chine 4: 666. 1935 [May 1935] ,,Acanthaceae Gutzlaffia pedunculata Craib,(Craib)
wfo-1000087649,urn:lsid:ipni.org:names:77375142-1,Barleria telanganensis,"Bharath, Karupp. & Uday",Feddes Repert. 136(3): 175. 2025 [3 Apr 2025] [epublished],,,
wfo-1000087685,urn:lsid:ipni.org:names:77375390-1,Lepidagathis konkanensis,"Mane, Jangam & A.P.Patil",Nordic J. Bot. 2026(x)-e05075: 10. [13 Jan 2026] [epublished],,,
wfo-1200030156,urn:lsid:ipni.org:names:77375547-1,Beloperone violacea,Planch. ex Decne.,"J. Hort. Prat. Belgique n.s., 2: 265, t. 23. 1858 [Dec 1858] ",,,
wfo-1000087761,urn:lsid:ipni.org:names:77375576-1,Barleria mudugensis,Defty & I.Darbysh.,"J. Pl. Taxon. & Geogr. (Webbia) 80(2), Suppl: 98. 2025 [17 Nov 2025] [epublished]",,,
wfo-1000087762,urn:lsid:ipni.org:names:77375577-1,Barleria filtuensis,Defty & I.Darbysh.,"J. Pl. Taxon. & Geogr. (Webbia) 80(2), Suppl: 101. 2025 [17 Nov 2025] [epublished]",,,
wfo-1000087763,urn:lsid:ipni.org:names:77375578-1,Barleria puberulifolia,Defty & I.Darbysh.,"J. Pl. Taxon. & Geogr. (Webbia) 80(2), Suppl: 105. 2025 [17 Nov 2025] [epublished]",,,
wfo-1200116619,urn:lsid:ipni.org:names:77375579-1,Barleria quadrispina subsp. waggana,(Rendle) Defty & I.Darbysh.,"J. Pl. Taxon. & Geogr. (Webbia) 80(2), Suppl: 112. 2025 [17 Nov 2025] [epublished]",,Acanthaceae Barleria waggana Rendle,(Rendle)
wfo-1200116620,urn:lsid:ipni.org:names:77375580-1,Barleria quadrispina subsp. glaucobracteata,(Hedrén) Defty & I.Darbysh.,"J. Pl. Taxon. & Geogr. (Webbia) 80(2), Suppl: 113. 2025 [17 Nov 2025] [epublished]",,Acanthaceae Barleria glaucobracteata Hedrén,(Hedrén)
wfo-1200116621,urn:lsid:ipni.org:names:77375581-1,Barleria quadrispina subsp. kenyana,Defty & I.Darbysh.,"J. Pl. Taxon. & Geogr. (Webbia) 80(2), Suppl: 114. 2025 [17 Nov 2025] [epublished]",,,
wfo-1000087764,urn:lsid:ipni.org:names:77375582-1,Barleria sebsebei,Defty & I.Darbysh.,"J. Pl. Taxon. & Geogr. (Webbia) 80(2), Suppl: 115. 2025 [17 Nov 2025] [epublished]",,,
wfo-1000087812,urn:lsid:ipni.org:names:77375756-1,Dyschoriste glandulifera,K.Balkwill,S. African J. Bot. 187: 295. 2025 [21 Oct 2025] [epublished],,,
wfo-1000087813,urn:lsid:ipni.org:names:77375757-1,Dyschoriste stolonifera,K.Balkwill,S. African J. Bot. 187: 300. 2025 [21 Oct 2025] [epublished],,,
wfo-1000087815,urn:lsid:ipni.org:names:77375759-1,Dyschoriste tshwanensis,K.Balkwill,S. African J. Bot. 187: 303. 2025 [21 Oct 2025] [epublished],,,
wfo-1000087816,urn:lsid:ipni.org:names:77375761-1,Asystasia sect. Glossochilus,(Nees) K.Balkwill,S. African J. Bot. 188: 193. 2025 [14 Nov 2025] [epublished],,Acanthaceae Glossochilus Nees,(Nees)
wfo-1000087817,urn:lsid:ipni.org:names:77375763-1,Asystasia burchellii,(Nees) K.Balkwill,S. African J. Bot. 188: 197. 2025 [14 Nov 2025] [epublished],,Acanthaceae Glossochilus burchellii Nees,(Nees)
