WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000088170,urn:lsid:ipni.org:names:77376426-1,Miliusa refracta,"X.L.Hou, Z.Yuan Shi & Q.N.Vu",Phytotaxa 740(2): 180. 2026 [5 Feb 2026] ,,,
wfo-0001065874,urn:lsid:ipni.org:names:77376618-1,Annona macrocarpa,Wercklé,"Tropenpflanzer 7(9): 428. 1903 , as 'Anona'",,,
wfo-0000748318,urn:lsid:ipni.org:names:77376655-1,Unona discolor var. bracteata,Blume,"Fl. Javae 23–24: 55, t. 26. 1830 [18 Mar 1830] ",,,
wfo-0000748323,urn:lsid:ipni.org:names:77376656-1,Unona discolor var. pubescens,Hook.f. & Thomson,Fl. Ind. Syst. Account 1: 133. 1855 [1-19 Jul 1855] ,,,
wfo-0000748322,urn:lsid:ipni.org:names:77376657-1,Unona discolor var. laevigata,Hook.f. & Thomson,Fl. Ind. Syst. Account 1: 133. 1855 [1-19 Jul 1855] ,,,
wfo-0000748324,urn:lsid:ipni.org:names:77376658-1,Unona discolor var. parviflora,Miq.,"Fl. Ned. Ind., Eerste Bijv. 3: 376. 1861 [Dec 1861] ",,,
wfo-0000748327,urn:lsid:ipni.org:names:77376659-1,Unona discolor var. macropetala,Teijsm. & Binn. ex Boerl.,Cat. Pl. Phan. 1: 16. 1899 [Feb-Jun 1899] ,,,
wfo-0000748326,urn:lsid:ipni.org:names:77376660-1,Unona discolor var. brevifolia,Teijsm. & Binn. ex Boerl.,Cat. Pl. Phan. 1: 17. 1899 [Feb-Jun 1899] ,,,
wfo-0000748325,urn:lsid:ipni.org:names:77376661-1,Unona discolor var. angustipetala,Boerl.,Cat. Pl. Phan. 1: 17. 1899 [Feb-Jun 1899] ,,,
wfo-0000748329,urn:lsid:ipni.org:names:77376662-1,Unona discolor var. siamensis,Scheff. ex Boerl.,Cat. Pl. Phan. 1: 17. 1899 [Feb-Jun 1899] ,,,
wfo-0000748328,urn:lsid:ipni.org:names:77376663-1,Unona discolor var. neglecta,Boerl.,Cat. Pl. Phan. 1: 17. 1899 [Feb-Jun 1899] ,,,
wfo-0000750470,urn:lsid:ipni.org:names:77376664-1,Polyalthia teysmannii var. palembanica,(Miq.) Boerl.,Icon. Bogor. [Boerlage] 1(2): 107. 1899 [20 Sep 1899] ,,Annonaceae Guatteria palembanica Miq.,(Miq.)
wfo-1200027805,urn:lsid:ipni.org:names:77376665-1,Desmos dumosus var. glabrior,Craib,Fl. Siam. 1(1): 39. 1925 [5 Mar 1925] ,,,
wfo-0000750457,urn:lsid:ipni.org:names:77376666-1,Melodorum parviflorum var. angustifolium,Boerl.,"Icon. Bogor. [Boerlage] 1(2): 134. 1899 [20 Sep 1899] , as 'angustifolia'",,,
wfo-1200027810,urn:lsid:ipni.org:names:77376668-1,Monoon biglandulosum f. latifolium,Miq.,"Ann. Mus. Bot. Lugduno-Batavi 2(1): 19. 1865 [23 May 1865] , as 'latifolia'",,,
wfo-1200027811,urn:lsid:ipni.org:names:77376669-1,Monoon biglandulosum f. angustifolium,Miq.,"Ann. Mus. Bot. Lugduno-Batavi 2(1): 19. 1865 [23 May 1865] , as 'angustifolia'",,,
wfo-0000706550,urn:lsid:ipni.org:names:77376671-1,Goniothalamus prainianus var. angustipetalus,King,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 61(1): 72. 1892 [13 Jun 1892] , as 'angustipetala'",,,
wfo-1000044658,urn:lsid:ipni.org:names:77376673-1,Goniothalamus lateritius,Becc.,"Nelle Foreste di Borneo 324, 536. 1902 ",,,
wfo-1000088144,urn:lsid:ipni.org:names:77376674-1,Uvaria cordifolia,Roxb.,"Fl. Ind., ed. 1832. 2: 662. 1832 ",,,
wfo-1200027816,urn:lsid:ipni.org:names:77376676-1,Ararocarpus velutinus var. tenuifolius,Boerl.,Cat. Pl. Phan. 1: 24. 1899 [Feb-Jun 1899] ,,,
wfo-0000750461,urn:lsid:ipni.org:names:77376678-1,Mezzettia parviflora var. floribunda,Boerl.,Cat. Pl. Phan. 1: 21. 1899 [Feb-Jun 1899] ,,,
wfo-0000750462,urn:lsid:ipni.org:names:77376679-1,Mezzettia parviflora var. subtetramera,Boerl.,Cat. Pl. Phan. 1: 21. 1899 [Feb-Jun 1899] ,,,
wfo-1000088241,urn:lsid:ipni.org:names:77376680-1,Unona sect. Meiogyne,(Miq.) Baill.,Hist. Pl. (Baillon) 1: 213. 1868 [Aug-Dec 1868] ,,Annonaceae Meiogyne Miq.,(Miq.)
wfo-1000088242,urn:lsid:ipni.org:names:77376681-1,Unona sect. Monocarpia,(Miq.) Baill.,Hist. Pl. (Baillon) 1: 213. 1868 [Aug-Dec 1868] ,,Annonaceae Monocarpia Miq.,(Miq.)
wfo-1000088243,urn:lsid:ipni.org:names:77376682-1,Unona sect. Monoon,(Miq.) Baill.,Hist. Pl. (Baillon) 1: 213. 1868 [Aug-Dec 1868] ,,Annonaceae Monoon Miq.,(Miq.)
wfo-1000088244,urn:lsid:ipni.org:names:77376683-1,Unona sect. Polyalthia,(Blume) Baill.,Hist. Pl. (Baillon) 1: 213. 1868 [Aug-Dec 1868] ,,Annonaceae Polyalthia Blume,(Blume)
wfo-1000088245,urn:lsid:ipni.org:names:77376684-1,Unona sect. Pyramidanthe,(Miq.) Baill.,Hist. Pl. (Baillon) 1: 213. 1868 [Aug-Dec 1868] ,,Annonaceae Pyramidanthe Miq.,(Miq.)
wfo-1000088246,urn:lsid:ipni.org:names:77376685-1,Polyalthia sect. Kentia,Blume,Fl. Javae fasc. 28–29: 71. 1830 [30 Apr 1830] ,,,
wfo-1000088247,urn:lsid:ipni.org:names:77376686-1,Guatteria sect. Trivalvaria,Miq.,"Fl. Ned. Ind., Eerste Bijv. 3: 381. 1861 [Dec 1861] ",,,
wfo-1000088248,urn:lsid:ipni.org:names:77376687-1,Unona sect. Dasymaschalon,Hook.f. & Thomson,Fl. Ind. Syst. Account 1: 134. 1855 [1-19 Jul 1855] ,,,
wfo-1000088466,urn:lsid:ipni.org:names:77376688-1,Unona sect. Desmos,(Lour.) DC.,"Syst. Nat. 1: 485, 493. 1817 [1-15 Nov 1817] ",,Annonaceae Desmos Lour.,(Lour.)
wfo-1000088249,urn:lsid:ipni.org:names:77376690-1,Polyalthia sect. Monoon,(Miq.) Benth. & Hook.f.,Gen. Pl. [Bentham & Hooker f.] 1(3): 956. 1867 [Sep 1867] ,,Annonaceae Monoon Miq.,(Miq.)
wfo-1200027824,urn:lsid:ipni.org:names:77376691-1,Polyalthia lateriflora var. elongata,Boerl.,Meded. Lands Plantentuin 19: 338. 1898 [19 Aug 1898] ,,,
