WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-4100006509,urn:lsid:ipni.org:names:77378440-1,Pauciflora,"Morillo, Liede & Meve",Taxon 75(2)-e70122: 42. 2026 [7 Apr 2026] ,,,
wfo-4100006510,urn:lsid:ipni.org:names:77378441-1,Portoricana,"Morillo, Liede & Meve",Taxon 75(2)-e70122: 48. 2026 [7 Apr 2026] ,,,
wfo-4100006511,urn:lsid:ipni.org:names:77378442-1,Potamoampelos,"Morillo, Liede & Meve",Taxon 75(2)-e70122: 49. 2026 [7 Apr 2026] ,,,
wfo-4100006512,urn:lsid:ipni.org:names:77378443-1,Weigendia,"Morillo, Liede & Meve",Taxon 75(2)-e70122: 60. 2026 [7 Apr 2026] ,,,
wfo-4100006513,urn:lsid:ipni.org:names:77378444-1,Yucatania,"Morillo, Liede & Meve",Taxon 75(2)-e70122: 62. 2026 [7 Apr 2026] ,,,
wfo-4100006514,urn:lsid:ipni.org:names:77378445-1,Kushengia,Liede & Z.X.Ren,Taxon 75(2)-e70131: 16. 2026 [7 Apr 2026] ,,,
wfo-1000089405,urn:lsid:ipni.org:names:77378579-1,Austrochthamalia bornmuelleri,"(Schltr. ex Malme) Morillo, Liede & H.A.Keller",Taxon 75(2)-e70122: 25. 2026 [7 Apr 2026] ,,Asclepiadaceae Gyrostelma bornmuelleri Schltr. ex Malme,(Schltr. ex Malme)
wfo-1000089408,urn:lsid:ipni.org:names:77378583-1,Microstelma inconspicuum,"(Brandegee) Morillo, Liede & Meve",Taxon 75(2)-e70122: 40. 2026 [7 Apr 2026] ,,Asclepiadaceae Gonolobus inconspicuus Brandegee,(Brandegee)
wfo-1000089411,urn:lsid:ipni.org:names:77378586-1,Pauciflora hastulata,"(A.Gray) Morillo, Liede & Meve",Taxon 75(2)-e70122: 43. 2026 [7 Apr 2026] ,,Asclepiadaceae Lachnostoma hastulatum A.Gray,(A.Gray)
wfo-1000089412,urn:lsid:ipni.org:names:77378587-1,Pauciflora parvifolia,"(Torr.) Morillo, Liede & Meve",Taxon 75(2)-e70122: 43. 2026 [7 Apr 2026] ,,Asclepiadaceae Gonolobus parvifolius Torr.,(Torr.)
wfo-1000089413,urn:lsid:ipni.org:names:77378588-1,Pauciflora sagittifolia,"(A.Gray) Morillo, Liede & Meve",Taxon 75(2)-e70122: 43. 2026 [7 Apr 2026] ,,Asclepiadaceae Gonolobus sagittifolius A.Gray,(A.Gray)
wfo-1000089415,urn:lsid:ipni.org:names:77378590-1,Portoricana sintenisii,"(Schltr.) Morillo, Liede & Meve",Taxon 75(2)-e70122: 48. 2026 [7 Apr 2026] ,,Asclepiadaceae Gonolobus sintenisii Schltr.,(Schltr.)
wfo-1000089416,urn:lsid:ipni.org:names:77378591-1,Portoricana variifolia,"(Schltr.) Morillo, Liede & Meve",Taxon 75(2)-e70122: 49. 2026 [7 Apr 2026] ,,Asclepiadaceae Gonolobus variifolius Schltr.,(Schltr.)
wfo-1000089417,urn:lsid:ipni.org:names:77378592-1,Potamoampelos delascioi,(Morillo) Morillo,Taxon 75(2)-e70122: 50. 2026 [7 Apr 2026] ,,Asclepiadaceae Matelea delascioi Morillo,(Morillo)
wfo-1000089418,urn:lsid:ipni.org:names:77378593-1,Tutunakanthus falcatus,"(Juárez-Jaimes, G.M.Hern.-Barón & W.D.Stevens) Morillo, Liede & Meve",Taxon 75(2)-e70122: 58. 2026 [7 Apr 2026] ,,"Asclepiadaceae Matelea falcata Juárez-Jaimes, G.M.Hern.-Barón & W.D.Stevens","(Juárez-Jaimes, G.M.Hern.-Barón & W.D.Stevens)"
wfo-1000089419,urn:lsid:ipni.org:names:77378594-1,Tutunakanthus gentlei,"(Lundell & Standl.) Morillo, Liede & Meve",Taxon 75(2)-e70122: 58. 2026 [7 Apr 2026] ,,Asclepiadaceae Vincetoxicum gentlei Lundell & Standl.,(Lundell & Standl.)
wfo-1000089420,urn:lsid:ipni.org:names:77378595-1,Tutunakanthus guatemalensis,"(K.Schum.) Morillo, Liede & Meve",Taxon 75(2)-e70122: 58. 2026 [7 Apr 2026] ,,Asclepiadaceae Gonolobus guatemalensis K.Schum.,(K.Schum.)
wfo-1000089421,urn:lsid:ipni.org:names:77378596-1,Tutunakanthus micranthus,"(L.O.Williams) Morillo, Liede & Meve",Taxon 75(2)-e70122: 58. 2026 [7 Apr 2026] ,,Asclepiadaceae Matelea micrantha L.O.Williams,(L.O.Williams)
wfo-1000089422,urn:lsid:ipni.org:names:77378597-1,Tutunakanthus stenosepalus,"(Lundell) Morillo, Liede & Meve",Taxon 75(2)-e70122: 58. 2026 [7 Apr 2026] ,,Asclepiadaceae Matelea stenosepala Lundell,(Lundell)
wfo-1000089423,urn:lsid:ipni.org:names:77378598-1,Tutunakanthus velutinus,"(Schltdl.) Morillo, Liede & Meve",Taxon 75(2)-e70122: 58. 2026 [7 Apr 2026] ,,Asclepiadaceae Gonolobus velutinus Schltdl.,(Schltdl.)
wfo-1000089424,urn:lsid:ipni.org:names:77378599-1,Tutunakanthus velutinoides,"(W.D.Stevens) Morillo, Liede & Meve",Taxon 75(2)-e70122: 58. 2026 [7 Apr 2026] ,,Asclepiadaceae Matelea velutinoides W.D.Stevens,(W.D.Stevens)
wfo-1000089425,urn:lsid:ipni.org:names:77378600-1,Weigendia cajamarcana,"Morillo, Liede & Meve",Taxon 75(2)-e70122: 62. 2026 [7 Apr 2026] ,,,
wfo-1000089426,urn:lsid:ipni.org:names:77378601-1,Yucatania campechiana,"(Standl.) Morillo, Liede & Meve",Taxon 75(2)-e70122: 63. 2026 [7 Apr 2026] ,,Asclepiadaceae Vincetoxicum campechianum Standl.,(Standl.)
