WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000088950,urn:lsid:ipni.org:names:77377372-1,Centaurea × michaeli,Beck,Fl. Nieder-Österreich 2(2): 1261. 1893 ,,,
wfo-1000089045,urn:lsid:ipni.org:names:77377652-1,Inula minipetala,Y.N.Lee ex H.B.Kim & D.C.Son,Korean J. Pl. Taxon. 56(1): 57. 2026 [31 Jan 2026] ,,,
wfo-1000089060,urn:lsid:ipni.org:names:77377681-1,Grindelia mutabilis,Fern.Fern. & G.Heiden,Plants 15(5): 3. 2026 [1 Mar 2026] ,,,
wfo-1000089086,urn:lsid:ipni.org:names:77377813-1,Hieracium × altomijarense,Mateo & Gómiz,Fl. Montiber. 91: 131. 2025 [Apr 2025] ,,,
wfo-1000089087,urn:lsid:ipni.org:names:77377814-1,Hieracium × aranense,Mateo & Gómiz,Fl. Montiber. 91: 132. 2025 [Apr 2025] ,,,
wfo-1000089088,urn:lsid:ipni.org:names:77377815-1,Hieracium × canfranicum,Mateo & Gómiz,Fl. Montiber. 91: 132. 2025 [Apr 2025] ,,,
wfo-1200117731,urn:lsid:ipni.org:names:77377816-1,Hieracium cerinthoides subsp. ramondii,(Griseb.) Mateo & Gómiz,Fl. Montiber. 91: 132. 2025 [Apr 2025] ,,Asteraceae Hieracium ramondii Griseb.,(Griseb.)
wfo-1000089089,urn:lsid:ipni.org:names:77377817-1,Hieracium × estosense,Mateo & Gómiz,Fl. Montiber. 91: 132. 2025 [Apr 2025] ,,,
wfo-1200117732,urn:lsid:ipni.org:names:77377818-1,Hieracium glorioanum var. guemesii,"(Mateo, Egido & Gómiz) Mateo & Gómiz",Fl. Montiber. 91: 132. 2025 [Apr 2025] ,,"Asteraceae Hieracium lusitanicum Arv.-Touv. var. guemesii Mateo, Egido & Gómiz","(Mateo, Egido & Gómiz)"
wfo-1000089103,urn:lsid:ipni.org:names:77377835-1,Curio breviscapus,(DC.) C.C.Walker,CactusWorld 44(1): 72. 2026 [Mar 2026] ,,Asteraceae Kleinia breviscapa DC.,(DC.)
wfo-1000089120,urn:lsid:ipni.org:names:77377861-1,Elekmania domingensis,(Klatt) J.Calvo,Brittonia 77(4): 406. 2025 [5 Sep 2025] ,,Asteraceae Pluchea domingensis Klatt,(Klatt)
wfo-1200117787,urn:lsid:ipni.org:names:77377865-1,Gaillardia perennis,"Feburier, Vilm. & Nois.",Bon Jard. 1818: 534. ,,,
wfo-1200117791,urn:lsid:ipni.org:names:77377878-1,Achillea elegans,"Loisel., Vilm., Nois. & Deville",Bon Jard. 1819: 420. ,,,
wfo-1000089150,urn:lsid:ipni.org:names:77377905-1,Artemisia phyllostachys,(Boiss.) Majorov,"Index Seminum (TBI, Tiflisiensis) 5. 1929 ",,Asteraceae Artemisia fragrans Willd. var. phyllostachys Boiss.,(Boiss.)
wfo-1200117749,urn:lsid:ipni.org:names:77378077-1,Hieracium collinum subsp. stenocephalum,Nägeli & Peter,Hierac. Mitt.-Eur. 1: 312. 1885 ,,,
wfo-1200117750,urn:lsid:ipni.org:names:77378078-1,Hieracium caespitosum subsp. stenocephalum,(Nägeli & Peter) Gottschl.,Froelichia 24: 3. 2026 ,,Asteraceae Hieracium collinum Gochnat subsp. stenocephalum Nägeli & Peter,(Nägeli & Peter)
wfo-1200117751,urn:lsid:ipni.org:names:77378079-1,Hieracium macranthelum subsp. silvae-pici,(Drenckh. & Gottschl.) Gottschl.,Froelichia 24: 4. 2026 ,,Asteraceae Pilosella macranthela (Nägeli & Peter) Soják subsp. silvae-pici Drenckh. & Gottschl.,(Drenckh. & Gottschl.)
wfo-1000088936,urn:lsid:ipni.org:names:77378226-1,Hieracium bronae,Szeląg,Phytotaxa 749(2): 209. 2026 [26 Mar 2026] ,,,
wfo-1000088937,urn:lsid:ipni.org:names:77378227-1,Hieracium rohacsensiforme,Szeląg,Phytotaxa 749(2): 211. 2026 [26 Mar 2026] ,,,
wfo-1000088938,urn:lsid:ipni.org:names:77378228-1,Hieracium scituliforme,Chrtek f. & Szeląg,Phytotaxa 749(2): 215. 2026 [26 Mar 2026] ,,,
wfo-1000089219,urn:lsid:ipni.org:names:77378249-1,Hieracium hugoi,Szeląg,Phytotaxa 750(1): 43. 2026 [31 Mar 2026] ,,,
wfo-1000089220,urn:lsid:ipni.org:names:77378250-1,Hieracium ladislai,Szeląg,Phytotaxa 750(1): 45. 2026 [31 Mar 2026] ,,,
wfo-1000089222,urn:lsid:ipni.org:names:77378255-1,Hieracium napaeiforme,Szeląg,Phytotaxa 750(1): 65. 2026 [31 Mar 2026] ,,,
wfo-1000089223,urn:lsid:ipni.org:names:77378256-1,Hieracium pseudorohacsense,Szeląg,Phytotaxa 750(1): 68. 2026 [31 Mar 2026] ,,,
wfo-1000089253,urn:lsid:ipni.org:names:77372517-1,Calea × malmeana,V.R.Bueno & G.Heiden,Eur. J. Taxon. 1039: 147. 2026 [6 Feb 2026] ,,,
