WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200118269,urn:lsid:ipni.org:names:77378400-1,Serratula centauroides var. isophylla,(Claus) Schmalh.,Fl. Sredn. Yuzhn. Rossii 2: 113. 1897 ,,Asteraceae Serratula isophylla Claus,(Claus)
wfo-0000091843,urn:lsid:ipni.org:names:77378428-1,Hieracium aquilonium,(Elfstr.) Norrl.,Hieracia Exsicc. 7: n. 37-39. 1906 ,,Asteraceae Hieracium praematurum Elfstr. subsp. aquilonium Elfstr.,(Elfstr.)
wfo-1200111033,urn:lsid:ipni.org:names:77378430-1,Hieracium alpinum var. fuliginosum,Laest.,Kongl. Vetensk. Acad. Handl. 1826: 170. 1827 ,,,
wfo-1000088944,urn:lsid:ipni.org:names:77378431-1,Hieracium fuliginosum,(Laest.) Andersson,Consp. Veg. Lapponiae 20. 1846 ,,Asteraceae Hieracium alpinum L. var. fuliginosum Laest.,(Laest.)
wfo-0001415480,urn:lsid:ipni.org:names:77378439-1,Solidago virgaurea var. fallit-tirones,Font Quer,Bol. Real Soc. Esp. Hist. Nat. 25: 270. 1927 ,,,
wfo-1200118285,urn:lsid:ipni.org:names:77378635-1,Hieracium laniferum subsp. devotarum,"(Mateo, Egido & Gómiz) Mateo & Gómiz",Fl. Montiber. 91: 133. 2025 [Apr 2025] ,,"Asteraceae Hieracium devotarum Mateo, Egido & Gómiz","(Mateo, Egido & Gómiz)"
wfo-1000089454,urn:lsid:ipni.org:names:77378636-1,Hieracium × leioarguisianum,Mateo & Gómiz,Fl. Montiber. 91: 133. 2025 [Apr 2025] ,,,
wfo-0000031308,urn:lsid:ipni.org:names:77378637-1,Hieracium hedypnoides,Arv.-Touv. & Gaut.,Hieracioth. Hisp. 20: No. 402. 1908 ,nom. illeg. later homonym,,
wfo-1000089455,urn:lsid:ipni.org:names:77378638-1,Hieracium × neoaragonense,Mateo & Gómiz,Fl. Montiber. 91: 133. 2025 [Apr 2025] ,,,
wfo-1000089456,urn:lsid:ipni.org:names:77378639-1,Hieracium × neolusitanicum,Mateo & Gómiz,Fl. Montiber. 91: 133. 2025 [Apr 2025] ,,,
wfo-1000089457,urn:lsid:ipni.org:names:77378640-1,Hieracium × montibericum,Mateo & Gómiz,Fl. Montiber. 91: 133. 2025 [Apr 2025] ,,,
wfo-1000089458,urn:lsid:ipni.org:names:77378641-1,Hieracium × neoscense,Mateo & Gómiz,Fl. Montiber. 91: 133. 2025 [Apr 2025] ,,,
wfo-1000089459,urn:lsid:ipni.org:names:77378642-1,Hieracium × sauense,Mateo & Gómiz,Fl. Montiber. 91: 134. 2025 [Apr 2025] ,,,
wfo-1000089588,urn:lsid:ipni.org:names:77378904-1,Senecio sect. Madaractis,(DC.) Hook.f.,Fl. Brit. India 3(8): 343. 1881 [Mar 1881] ,,Asteraceae Madaractis DC.,(DC.)
wfo-1200118296,urn:lsid:ipni.org:names:77378956-1,Madaractis polycephala var. dentata,DC.,Prodr. 6: 440. 1838 [dt. 1837; publ. early Jan 1838] ,,,
wfo-1200118298,urn:lsid:ipni.org:names:77379010-1,Solidago latifolia var. pubens,(M.A.Curtis ex Torr. & A.Gray) Alph.Wood,Class-book Bot. (ed. 1861) 431. 1861 ,,Asteraceae Solidago pubens M.A.Curtis ex Torr. & A.Gray,(M.A.Curtis ex Torr. & A.Gray)
wfo-1000089851,urn:lsid:ipni.org:names:77379205-1,Hieracium todorovskii,Teof.,Phytotaxa 752(3): 236. 2026 [23 Apr 2026] ,,,
wfo-1200118303,urn:lsid:ipni.org:names:77379206-1,Artemisia canadensis subsp. saxorum,A.Haines,Bot. Notes 21: 3. 2026 [6 Apr 2026] ,,,
wfo-1200118324,urn:lsid:ipni.org:names:77379338-1,Pertya robusta,(Maxim.) Makino,Bot. Mag. (Tokyo) 20: 29. 1906 [20 Feb 1906] ,,Asteraceae Macroclinidium robustum Maxim.,(Maxim.)
wfo-1200118306,urn:lsid:ipni.org:names:77379352-1,Solidago asperata var. molina,(Fernald) Semple,Phytoneuron 2026-02: 2. [10 Mar 2026] ,,Asteraceae Solidago lepida DC. var. molina Fernald,(Fernald)
wfo-1000089878,urn:lsid:ipni.org:names:77379355-1,Acmella disciformis,(B.L.Rob.) Carvajal & A.Vázquez,Phytoneuron 2026-04: 5. [10 Mar 2026] ,,Asteraceae Spilanthes disciformis B.L.Rob.,(B.L.Rob.)
wfo-1000089879,urn:lsid:ipni.org:names:77379356-1,Acmella phaneractis,(Greenm.) Carvajal & A.Vázquez,Phytoneuron 2026-04: 5. [10 Mar 2026] ,,Asteraceae Spilanthes disciformis B.L.Rob. var. phaneractis Greenm.,(Greenm.)
wfo-1000089880,urn:lsid:ipni.org:names:77379358-1,Grindelia mitlana,G.L.Nesom,Phytoneuron 2026-06: 1. [10 Mar 2026] ,,,
wfo-1000089881,urn:lsid:ipni.org:names:77379360-1,Grindelia coconinoa,G.L.Nesom,Phytoneuron 2026-06: 5. [10 Mar 2026] ,,,
wfo-1000089882,urn:lsid:ipni.org:names:77379361-1,Grindelia ventosa,G.L.Nesom,Phytoneuron 2026-08: 3. [27 Mar 2026] ,,,
