WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000087542,urn:lsid:ipni.org:names:77374822-1,Cynoglossum levanticum,Sutorý,"Acta Mus. Morav., Sci. Biol. 110(1-2): 17. 2025 [31 Dec 2025] ",Boraginaceae,,,
wfo-1000087543,urn:lsid:ipni.org:names:77374823-1,Cynoglossum cedrorum,Sutorý,"Acta Mus. Morav., Sci. Biol. 110(1-2): 20. 2025 [31 Dec 2025] ",Boraginaceae,,,
wfo-1000087544,urn:lsid:ipni.org:names:77374824-1,Cynoglossum abietinum,Sutorý,"Acta Mus. Morav., Sci. Biol. 110(1-2): 23. 2025 [31 Dec 2025] ",Boraginaceae,,,
wfo-1000087604,urn:lsid:ipni.org:names:77375055-1,Cryptantha stylosa,"(Phil.) Scherson, Nic.García & M.G.Simpson","PhytoKeys 269: 152, figs. 2-6, map. 2026 [13 Jan 2026] (epublished)",Boraginaceae,,Boraginaceae Heliotropium stylosum Phil.,(Phil.)
wfo-1000087616,urn:lsid:ipni.org:names:77375089-1,Onosma ligniclada,Attar & Mirtadz.,Adansonia 47(16): 302. 2025 [20 Oct 2025] [epublished],Boraginaceae,,,
wfo-1000087617,urn:lsid:ipni.org:names:77375090-1,Onosma elymaitica,Attar & Mirtadz.,Adansonia 47(16): 304. 2025 [20 Oct 2025] [epublished],Boraginaceae,,,
wfo-1000087618,urn:lsid:ipni.org:names:77375091-1,Onosma farsistanica,Attar & Mirtadz.,Adansonia 47(16): 307. 2025 [20 Oct 2025] [epublished],Boraginaceae,,,
wfo-1000087754,urn:lsid:ipni.org:names:77375539-1,Cordia verdeciae,P.A.González,Revista Jard. Bot. Nac. Univ. Habana 46: 61. 2025 [18 Dec 2025] [epublished],Boraginaceae,,,
wfo-1000087756,urn:lsid:ipni.org:names:77375544-1,Cordia taina,P.A.González,Revista Jard. Bot. Nac. Univ. Habana 46: 64. 2025 [18 Dec 2025] [epublished],Boraginaceae,,,
wfo-1000087757,urn:lsid:ipni.org:names:77375545-1,Cordia urquiolae,P.A.González & Bécquer,Revista Jard. Bot. Nac. Univ. Habana 46: 67. 2025 [18 Dec 2025] [epublished],Boraginaceae,,,
wfo-1000087759,urn:lsid:ipni.org:names:77375574-1,Myriopus subulatus,(Gardner) J.I.M.Melo,J. Pl. Taxon. & Geogr. (Webbia) 80(2): 296. 2025 [18 Jul 2025] [epublished],Boraginaceae,,Boraginaceae Messerschmidia subulata Gardner,(Gardner)
wfo-1000087855,urn:lsid:ipni.org:names:77375829-1,Lepechiniella sect. Holoptereae,Popov,Fl. URSS 19: 714. 1953 [Nov 1953] ,Boraginaceae,,,
wfo-1000087856,urn:lsid:ipni.org:names:77375830-1,Lepechiniella sect. Lophoptereae,Popov,Fl. URSS 19: 714. 1953 [Nov 1953] ,Boraginaceae,,,
wfo-1000087857,urn:lsid:ipni.org:names:77375831-1,Lindelofia sect. Brandia,Popov ex Riedl,Fl. Iranica [Rechinger] 48: 137. 1967 ,Boraginaceae,,,
wfo-1000087858,urn:lsid:ipni.org:names:77375832-1,Lindelofia sect. Pseudocynoglossum,Popov ex Riedl,Fl. Iranica [Rechinger] 48: 141. 1967 ,Boraginaceae,,,
wfo-1000087891,urn:lsid:ipni.org:names:77375876-1,Moltkia × froebelii,(Sünd.) Z.H.Feng,Plant 14(1): 5. 2026 [27 Jan 2026] [epublished],Boraginaceae,,Boraginaceae Lithospermum × froebelii Sünd.,(Sünd.)
