WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000088251,urn:lsid:ipni.org:names:77376698-1,Paronychia leucochthonicola,C.E.V.Alexander,"J. Semiarid Environm. 3: 1, figs. 1-4. 2026 [15 Feb 2026] (epublished)",,,
wfo-1200117080,urn:lsid:ipni.org:names:77376887-1,Brassica sylvestris subsp. incana,(Ten.) Onno,Oesterr. Bot. Z. 82(4): 318. 1933 [Dec 1933] ,,Brassicaceae Brassica incana Ten.,(Ten.)
wfo-1200117033,urn:lsid:ipni.org:names:77376888-1,Brassica sylvestris var. cazzae,(Ginzb. & Teyber) Onno,Oesterr. Bot. Z. 82(4): 319. 1933 [Dec 1933] ,,Brassicaceae Brassica cazzae Ginzb. & Teyber,(Ginzb. & Teyber)
wfo-1200117034,urn:lsid:ipni.org:names:77376889-1,Brassica sylvestris var. botterii,(Vis.) Onno,Oesterr. Bot. Z. 82(4): 320. 1933 [Dec 1933] ,,Brassicaceae Brassica botteri Vis.,(Vis.)
wfo-1200117035,urn:lsid:ipni.org:names:77376890-1,Brassica sylvestris var. mollis,(Vis.) Onno,Oesterr. Bot. Z. 82(4): 321. 1933 [Dec 1933] ,,Brassicaceae Brassica mollis Vis.,(Vis.)
wfo-1000088478,urn:lsid:ipni.org:names:77376892-1,Brassica villosa,Biv.,Stirp. Rar. Sicilia 4: 20. 1818 ,,,
wfo-1200117036,urn:lsid:ipni.org:names:77376893-1,Brassica sylvestris subsp. villosa,(Biv.) Onno,Oesterr. Bot. Z. 82(4): 326. 1933 [Dec 1933] ,,Brassicaceae Brassica villosa Biv.,(Biv.)
wfo-1200117037,urn:lsid:ipni.org:names:77376894-1,Brassica sylvestris subsp. rupestris,(Raf.) Onno,Oesterr. Bot. Z. 82(4): 327. 1933 [Dec 1933] ,,Brassicaceae Brassica rupestris Raf.,(Raf.)
wfo-1200117081,urn:lsid:ipni.org:names:77376895-1,Brassica cretica var. nivea,(Boiss. & Spruner) Onno,Oesterr. Bot. Z. 82(4): 313. 1933 [Dec 1933] ,,Brassicaceae Brassica nivea Boiss. & Spruner,(Boiss. & Spruner)
wfo-1200117038,urn:lsid:ipni.org:names:77376896-1,Brassica cretica var. attica,Onno,Oesterr. Bot. Z. 82(4): 315. 1933 [Dec 1933] ,,,
wfo-1200117039,urn:lsid:ipni.org:names:77376897-1,Brassica cretica subsp. insularis,(Moris) Onno,Oesterr. Bot. Z. 82(4): 316. 1933 [Dec 1933] ,,Brassicaceae Brassica insularis Moris,(Moris)
wfo-1200117082,urn:lsid:ipni.org:names:77376898-1,Brassica oleracea subvar. atlantica,Coss.,Comp. Fl. Atlant. 2: 185. 1887 [Nov 1887] ,,,
wfo-0000571042,urn:lsid:ipni.org:names:77376899-1,Brassica cretica subsp. atlantica,(Coss.) Onno,Oesterr. Bot. Z. 82(4): 315. 1933 [Dec 1933] ,,Brassicaceae Brassica oleracea L. subvar. atlantica Coss.,(Coss.)
wfo-1000088289,urn:lsid:ipni.org:names:77377014-1,Brassica vaccina,T.F.Grace,Bon Jard. 1788: 109. ,,,
wfo-0001218049,urn:lsid:ipni.org:names:77377171-1,Spryginia winkleri subsp. araneosa,Botsch.,Novosti Sist. Vyssh. Rast. 131. 1966 ,,,
wfo-0001218050,urn:lsid:ipni.org:names:77377172-1,Spryginia winkleri subsp. crassifolia,Botsch.,Novosti Sist. Vyssh. Rast. 131. 1966 ,,,
wfo-1000088388,urn:lsid:ipni.org:names:77377173-1,Spryginia sect. Platycarpae,Botsch.,Novosti Sist. Vyssh. Rast. 133. 1966 ,,,
