WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200116996,urn:lsid:ipni.org:names:77376386-1,Suaeda maritima var. abunda,Lipsky,Zap. Kievsk. Obshch. Estestvoisp. 11(2): 17. 1891 ,Chenopodiaceae,,,
wfo-1200116997,urn:lsid:ipni.org:names:77376387-1,Gypsophila paniculata var. sublandulosa,Lipsky,Zap. Kievsk. Obshch. Estestvoisp. 11(2): 41. 1891 ,Caryophyllaceae,,,
wfo-1200116999,urn:lsid:ipni.org:names:77376390-1,Rumex scutatus subsp. aetnensis,(C.Presl) Cif. & Giacom.,Nomenclator Fl. Ital. 2: 239. 1954 ,Polygonaceae,,Polygonaceae Rumex aetnensis C.Presl,(C.Presl)
wfo-1000088159,urn:lsid:ipni.org:names:77376407-1,Cucubalus giganteus,L.,Sp. Pl. 2: 1231. 1753 [1 May 1753] ,Caryophyllaceae,,,
wfo-1000088453,urn:lsid:ipni.org:names:77376408-1,Silene gigantea,(L.) L.,"Syst. Nat., ed. 10. 2: 1031. 1759 [7 Jun 1759] ",Caryophyllaceae,,Caryophyllaceae Cucubalus giganteus L.,(L.)
wfo-1000088455,urn:lsid:ipni.org:names:77376436-1,Opuntia rubrogemmia,(F.Ritter) M.Köhler,Syst. Biodivers. 23(1)-2524451: 9. 2025 [28 Jul 2025] ,Cactaceae,,Cactaceae Platyopuntia rubrogemmia F.Ritter,(F.Ritter)
wfo-1000088457,urn:lsid:ipni.org:names:77376439-1,Cistanthe glauca,(Schrad.) Lilja,Linnaea 15: 264. 1841 ,Portulacaceae,,Portulacaceae Calandrinia glauca Schrad.,(Schrad.)
wfo-1200117067,urn:lsid:ipni.org:names:77376448-1,Silene roemeri f. macrocarpa,Vandas,"Reliq. Forman. 69. 1909 , as 'macrocarpam'",Caryophyllaceae,,,
wfo-1200117004,urn:lsid:ipni.org:names:77376451-1,Silene tenuis var. dasyphylla,(Turcz.) F.N.Williams,"J. Linn. Soc., Bot. 32: 143. 1896 ",Caryophyllaceae,,Caryophyllaceae Silene dasyphylla Turcz.,(Turcz.)
wfo-1200117005,urn:lsid:ipni.org:names:77376452-1,Silene tenuis var. paucifolia,F.N.Williams,"J. Linn. Soc., Bot. 32: 143. 1896 ",Caryophyllaceae,,,
wfo-1200117006,urn:lsid:ipni.org:names:77376594-1,Silene jeniseensis var. dentata,Tsui & L.H.Zhou,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin 1980(9): 58. ",Caryophyllaceae,,,
wfo-1200117007,urn:lsid:ipni.org:names:77376595-1,Saponaria officinalis var. hortensis,H.Mart.,"Prodr. Fl. Mosq., ed. 2. 77. 1817 ",Caryophyllaceae,,,
wfo-1000088464,urn:lsid:ipni.org:names:77376624-1,Silene fimbriata,(M.Bieb.) Boiss.,Fl. Orient. [Boissier] 1: 629. 1867 [Apr-Jun 1867] ,Caryophyllaceae,nom. illeg. later homonym,Caryophyllaceae Cucubalus fimbriatus M.Bieb.,(M.Bieb.)
wfo-1200117068,urn:lsid:ipni.org:names:77376625-1,Silene viscosa var. multifida,(Edgew.) Krylov,Fl. Altai Gov. Tomsk 1: 146. 1901 ,Caryophyllaceae,,Caryophyllaceae Silene multifida Edgew.,(Edgew.)
wfo-1000088239,urn:lsid:ipni.org:names:77376641-1,Cereus bambuicola,"P.J.Braun, Larocca, Z.J.G.Miranda & Seringer",Kakteen And. Sukk. 77(2): 37. 2026 [Feb 2026] ,Cactaceae,,,
wfo-0000734608,urn:lsid:ipni.org:names:77376654-1,Silene italica var. cythnia,Halácsy,Consp. Fl. Graec. 1: 184. 1900 [Feb 1900] ,Caryophyllaceae,,,
wfo-1000088240,urn:lsid:ipni.org:names:77376670-1,Agrostemma chalcedonicum,(L.) Döll,"Rhein. Fl. 643. 1843 [Jun 1843] , as 'chalcedonica'",Caryophyllaceae,,Caryophyllaceae Lychnis chalcedonica L.,(L.)
wfo-1000088472,urn:lsid:ipni.org:names:77376831-1,Silene macrorhiza,J.Gay ex Samp.,Herb. Port. 84. 1913 ,Caryophyllaceae,nom. illeg. nom. superfl.,,
wfo-0000734649,urn:lsid:ipni.org:names:77376832-1,Silene foetida subsp. herminii,Welw. ex Rouy,"Naturaliste sér. 2, 2: 43. 1888 [15 Feb 1888] ",Caryophyllaceae,,,
wfo-1000088473,urn:lsid:ipni.org:names:77376845-1,Saponaria vulgaris,Bubani,Fl. Pyren. (Bubani) 3: 83. 1901 [Mar 1901] ,Caryophyllaceae,,,
wfo-1000088483,urn:lsid:ipni.org:names:77377019-1,Cerastium incanum,T.F.Grace,Bon Jard. 1788: 236. ,Caryophyllaceae,,,
wfo-1000088345,urn:lsid:ipni.org:names:77377118-1,Limonium × erbenii,"Mir.-Hern., Salmerón-Sánchez & Mota",Acta Bot. Malac. 51-22810: 4. 2026 [13 Feb 2026] ,Plumbaginaceae,,,
wfo-1000088495,urn:lsid:ipni.org:names:77377170-1,Silene pauciflora,Ledeb.,Fl. Ross. (Ledeb.) 1(2): 306. 1842 ,Caryophyllaceae,,,
wfo-1000088496,urn:lsid:ipni.org:names:77377208-1,Silene saponaria,Fr.,Bot. Not. 1842(10): 171. ,Caryophyllaceae,nom. illeg. nom. superfl.,,
wfo-1200117062,urn:lsid:ipni.org:names:77377210-1,Saponaria officinalis var. plena,Sweet,Hort. Suburb. Lond. 98. 1818 ,Caryophyllaceae,nom. inval. nom. nud.,,
wfo-0000440742,urn:lsid:ipni.org:names:77377216-1,Silene otites,(L.) Wibel,Prim. Fl. Werth. 241. 1799 ,Caryophyllaceae,,Caryophyllaceae Cucubalus otites L.,(L.)
wfo-0000643128,urn:lsid:ipni.org:names:77377258-1,Dianthus baldzhuanicus,Lincz.,Trudy Tadzhikistansk. Bazy 8: 629. 1940 ,Caryophyllaceae,,,
