WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200116555,urn:lsid:ipni.org:names:77374516-1,Vaccaria pyramidata subsp. parviflora,Hayek,Repert. Spec. Nov. Regni Veg. Beih. 30(1): 218. 1924 ,Caryophyllaceae,nom. inval.,,
wfo-0000734591,urn:lsid:ipni.org:names:77374533-1,Lychnis flos-cuculi subsp. subintegra,Hayek,Oesterr. Bot. Z. 70: 14. 1921 ,Caryophyllaceae,,,
wfo-1200116558,urn:lsid:ipni.org:names:77374707-1,Silene apetala var. glomerata,Godr.,Fl. Juvenalis 9. 1853 [Apr-May 1853] ,Caryophyllaceae,,,
wfo-1200116560,urn:lsid:ipni.org:names:77374733-1,Silene nocturna var. calva,Maire,Fl. Afrique N. 10: 67. 1963 ,Caryophyllaceae,"nom. inval.    Contrary to Art. 39.1., ICN (2025), description in French",,
wfo-1200116561,urn:lsid:ipni.org:names:77374734-1,Lychnis apetala var. pauciflora,Fisch. ex DC.,Prodr. [A. P. de Candolle] 1: 386. 1824 [mid-Jan 1824] ,Caryophyllaceae,,,
wfo-1200116562,urn:lsid:ipni.org:names:77374745-1,Silene kotschyi var. corinthiaca,(Boiss.) F.N.Williams,"J. Linn. Soc., Bot. 32: 121. 1896 [2 Nov 1896] ",Caryophyllaceae,,Caryophyllaceae Silene corinthiaca Boiss.,(Boiss.)
wfo-0001292005,urn:lsid:ipni.org:names:77374769-1,Eremogone pineticola,(Klokov) Klokov,Novosti Sist. Vyssh. Nizsh. Rast. 1974: 51. ,Caryophyllaceae,,Caryophyllaceae Arenaria pineticola Klokov,(Klokov)
wfo-1200116566,urn:lsid:ipni.org:names:77374972-1,Moehringia bavarica subsp. malyi,(Hayek) Kadereit,Willdenowia 55(1): 100. 2025 [27 May 2025] [epublished],Caryophyllaceae,,Caryophyllaceae Moehringia malyi Hayek,(Hayek)
wfo-4100006239,urn:lsid:ipni.org:names:77375365-1,trib. Atripliceae,Duby,Bot. Gall. 1: 394. 1828 [12-14 Apr 1828] ,Chenopodiaceae,,,
wfo-1000087681,urn:lsid:ipni.org:names:77375384-1,Portulaca eggliana,"J.R.Ferraz, Deble & J.M.A.Braga",Nordic J. Bot. 2026(x)-e05074: 2. 2025 [9 Dec 2025] [epublished],Portulacaceae,,,
wfo-1200116598,urn:lsid:ipni.org:names:77375430-1,Phytolacca acinosa f. rubriflora,(M.Kikuchi) Y.Ueno,J. Jap. Bot. 100(6): 587. 2025 [20 Dec 2025] ,Phytolaccaceae,,Phytolaccaceae Phytolacca esculenta Van Houtte f. rubriflora M.Kikuchi,(M.Kikuchi)
