WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200117770,urn:lsid:ipni.org:names:77377378-1,Silene nutans subsp. livida,(Willd.) Gremli,"Excursionsfl. Schweiz, Ed. 3. 97. 1878 ",Caryophyllaceae,,Caryophyllaceae Silene livida Willd.,(Willd.)
wfo-1200117709,urn:lsid:ipni.org:names:77377413-1,Saponaria officinalis var. puberula,Rouy & Foucaud,Fl. France [Rouy & Foucaud] 3: 151. 1896 ,Caryophyllaceae,,,
wfo-1200117711,urn:lsid:ipni.org:names:77377443-1,Sabulina verna subsp. insularis,(Trinajstić & Zi.Pavletić) F.Conti & Bogdanović,Glasn. Hrvatsk. Bot. Društva 13(2): 216. 2025 [Dec 2025] ,Caryophyllaceae,,Caryophyllaceae Minuartia verna (L.) Hiern subsp. insularis Trinajstić & Zi.Pavletić,(Trinajstić & Zi.Pavletić)
wfo-1200117779,urn:lsid:ipni.org:names:77377454-1,Silene foetida,Link,Neues J. Bot. 2(1): 99. 1807 ,Caryophyllaceae,,,
wfo-0000438189,urn:lsid:ipni.org:names:77377455-1,Saponaria perfoliata,Gilib.,Fl. Lit. Inch. 2: 163. 1782 ,Caryophyllaceae,nom. inval.    Contrary to Art. 34.1 ICN (2025). Name is in suppressed work (opera utique oppressa),,
wfo-1200117780,urn:lsid:ipni.org:names:77377456-1,Silene foetida var. herminii,(Welw. ex Rouy) Nyman,Consp. Fl. Eur. Suppl. 2: 54. 1889 ,Caryophyllaceae,,Caryophyllaceae Silene foetida Link subsp. herminii Welw. ex Rouy,(Welw. ex Rouy)
wfo-1200117712,urn:lsid:ipni.org:names:77377473-1,Silene niceensis var. ramosissima,(Desf.) Kunze,Flora 29(40): 629. 1846 [28 Oct 1846] ,Caryophyllaceae,,Caryophyllaceae Silene ramosissima Desf.,(Desf.)
wfo-1200117781,urn:lsid:ipni.org:names:77377492-1,Saponaria vaccaria var. grandiflora,Fisch. ex Ser.,Prodr. [A. P. de Candolle] 1: 365. 1824 [mid-Jan 1824] ,Caryophyllaceae,,,
wfo-0000713489,urn:lsid:ipni.org:names:77377594-1,Gypsophila dioica,Spreng.,"Syst. Veg., ed. 16. 4(2): 178. 1827 [Jan-Jun 1827] ",Caryophyllaceae,,,
wfo-1200117783,urn:lsid:ipni.org:names:77377630-1,Dianthus × calalpinus,W.Marshall bis,"J. Roy. Hort. Soc. 29: 786, lxxv. [1904-1905] , as 'Cal-alpinus' (lxxv) and 'call-alpinus' (786)",Caryophyllaceae,,,
