WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200118264,urn:lsid:ipni.org:names:77378262-1,Silene armeria var. angustifolia,Rchb. ex Zapał.,Consp. Fl. Galic. Crit. 3: 181. 1911 ,Caryophyllaceae,,,
wfo-1000089945,urn:lsid:ipni.org:names:77378271-1,Calandrinia discolor,Hook.,Bot. Mag. 61: t. 3357. 1834 ,Portulacaceae,nom. illeg. later homonym,,
wfo-1200118273,urn:lsid:ipni.org:names:77378423-1,Silene boryi var. ramburiana,(Webb) Pau,Bol. Soc. Aragonesa Ci. Nat. 8: 115. 1909 ,Caryophyllaceae,,Caryophyllaceae Silene ramburiana Webb,(Webb)
wfo-1200112769,urn:lsid:ipni.org:names:77378424-1,Silene lerchenfeldiana var. macedonica,(Formánek) Bornm.,Bot. Jahrb. Syst. 59(5): 409. 1925 ,Caryophyllaceae,,Caryophyllaceae Silene macedonica Formánek,(Formánek)
wfo-1200118274,urn:lsid:ipni.org:names:77378425-1,Silene boryi var. atlantica,Maire,Fl. Afrique N. 10: 141. 1963 ,Caryophyllaceae,nom. inval.    Contrary to Art. 39.1. ICN (2025). No Latin description; Contrary to Art. 40.1. ICN (2025). Type not indicated.,,
wfo-1200118275,urn:lsid:ipni.org:names:77378426-1,Silene boryi var. ouensae,Coss. ex Maire,Flore Afrique N. 10: 141. 1963 ,Caryophyllaceae,"nom. inval.    Published as a comb. & stat. nov. based on Silene ouensae Coss., which is not validly published. The authors also provide a full and direct reference to 'S.Boryi var. tejedensis J. et M.' (cited therein as S. boryi var. tejedensis (Boiss.) Willk.). Art. 41.8.(a) cannot be applied because of the indirect reference to S. tejedensis Boiss.",,
wfo-1000089403,urn:lsid:ipni.org:names:77378464-1,Atocion hypanicum,(Klokov) Tzvelev,Novosti Sist. Vyssh. Rast. 33: 97. 2001 ,Caryophyllaceae,,Caryophyllaceae Silene hypanica Klokov,(Klokov)
wfo-1200118276,urn:lsid:ipni.org:names:77378465-1,Silene mellifera var. rhodantha,Maire,Mém. Soc. Sci. Nat. Maroc 15: 17. 1926 ,Caryophyllaceae,,,
wfo-1000089948,urn:lsid:ipni.org:names:77378466-1,Silene patula,Lag. ex Dufour,Bull. Soc. Bot. France 7: 242. 1860 ,Caryophyllaceae,nom. inval.    pro syn.,,
wfo-1200112878,urn:lsid:ipni.org:names:77378468-1,Silene compacta,Fisch.,Cat. Jard. Pl. Gorenki ed. 2: 60. 1812 ,Caryophyllaceae,nom. inval. nom. nud.,,
wfo-1200118278,urn:lsid:ipni.org:names:77378571-1,Silene corrugata var. mogadorensis,(Coss. & Balansa) Maire,Cat. Pl. Maroc 2: 224. 1932 ,Caryophyllaceae,,Caryophyllaceae Silene mogadorensis Coss. & Balansa,(Coss. & Balansa)
wfo-1200118279,urn:lsid:ipni.org:names:77378572-1,Silene corrugata var. obtusifolia,(Coss.) Maire,Cat. Pl. Maroc 2: 224. 1932 ,Caryophyllaceae,,Caryophyllaceae Silene mogadorensis Coss. & Balansa var. obtusifolia Coss.,(Coss.)
wfo-1200118280,urn:lsid:ipni.org:names:77378573-1,Silene corrugata var. macrosperma,(Coss.) Maire,Cat. Pl. Maroc 2: 224. 1932 ,Caryophyllaceae,,Caryophyllaceae Silene mogadorensis Coss. & Balansa var. macrosperma Coss.,(Coss.)
wfo-1200118281,urn:lsid:ipni.org:names:77378574-1,Polycarpon tetraphyllum subsp. littorale,(J.Raynal & A.Raynal) Iamonico,Plants [Basel] 15(7)-1007: 2. 2026 [25 Mar 2026] ,Caryophyllaceae,,Caryophyllaceae Polycarpon prostratum (Forssk.) Asch. & Schweinf. var. littorale J.Raynal & A.Raynal,(J.Raynal & A.Raynal)
wfo-1200118282,urn:lsid:ipni.org:names:77378576-1,Silene boryi f. latifolia,Cuatrec.,Trab. Mus. Ci. Nat. Barcelona 12: 270. 1929 ,Caryophyllaceae,,,
wfo-1000089453,urn:lsid:ipni.org:names:77378634-1,Cistanthe spectabilis,(Otto & A.Dietr.) Hershk.,Int. J. Res. Publ. Rev. 7(3): 5001. 2026 [19 Mar 2026] ,Portulacaceae,,Portulacaceae Calandrinia spectabilis Otto & A.Dietr.,(Otto & A.Dietr.)
wfo-1200118287,urn:lsid:ipni.org:names:77378645-1,Silene italica var. rhodantha,(Maire) Maire,Cat. Pl. Maroc 2: 233. 1932 ,Caryophyllaceae,,Caryophyllaceae Silene mellifera Boiss. & Reut. var. rhodantha Maire,(Maire)
wfo-1000089471,urn:lsid:ipni.org:names:77378658-1,Discocactus viveirosii,P.J.Braun & Z.J.G.Miranda,Kakteen And. Sukk. 77(4): 110. 2026 [Apr 2026] ,Cactaceae,,,
wfo-1000089553,urn:lsid:ipni.org:names:77378866-1,Oehmea napina,(J.A.Purpus) P.B.Breslin & Majure,Haseltonia 33(1)-e331: 2. 2026 [13 Mar 2026] ,Cactaceae,,Cactaceae Mammillaria napina J.A.Purpus,(J.A.Purpus)
wfo-1000089554,urn:lsid:ipni.org:names:77378867-1,Oehmea zephyranthoides,(Scheidw.) P.B.Breslin & Majure,Haseltonia 33(1)-e331: 2. 2026 [13 Mar 2026] ,Cactaceae,,Cactaceae Mammillaria zephyranthoides Scheidw.,(Scheidw.)
wfo-1000089555,urn:lsid:ipni.org:names:77378868-1,Neobesseya alversonii,(J.M.Coult.) P.B.Breslin & Majure,Haseltonia 33(1)-e331: 2. 2026 [13 Mar 2026] ,Cactaceae,,Cactaceae Cactus radiosus J.M.Coult. var. alversonii J.M.Coult.,(J.M.Coult.)
wfo-1000089557,urn:lsid:ipni.org:names:77378870-1,Neobesseya chlorantha,(Engelm.) P.B.Breslin & Majure,Haseltonia 33(1)-e331: 2. 2026 [13 Mar 2026] ,Cactaceae,,Cactaceae Mammillaria chlorantha Engelm.,(Engelm.)
wfo-1000089558,urn:lsid:ipni.org:names:77378871-1,Neobesseya macromeris,(Engelm.) P.B.Breslin & Majure,Haseltonia 33(1)-e331: 2. 2026 [13 Mar 2026] ,Cactaceae,,Cactaceae Mammillaria macromeris Engelm.,(Engelm.)
wfo-1000089559,urn:lsid:ipni.org:names:77378872-1,Neobesseya vivipara,(Nutt.) P.B.Breslin & Majure,Haseltonia 33(1)-e331: 2. 2026 [13 Mar 2026] ,Cactaceae,,Cactaceae Cactus viviparus Nutt.,(Nutt.)
