WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089086,urn:lsid:ipni.org:names:77377813-1,Hieracium × altomijarense,Mateo & Gómiz,Fl. Montiber. 91: 131. 2025 [Apr 2025] ,Hieracium,,,
wfo-1000089087,urn:lsid:ipni.org:names:77377814-1,Hieracium × aranense,Mateo & Gómiz,Fl. Montiber. 91: 132. 2025 [Apr 2025] ,Hieracium,,,
wfo-1000089088,urn:lsid:ipni.org:names:77377815-1,Hieracium × canfranicum,Mateo & Gómiz,Fl. Montiber. 91: 132. 2025 [Apr 2025] ,Hieracium,,,
wfo-1200117731,urn:lsid:ipni.org:names:77377816-1,Hieracium cerinthoides subsp. ramondii,(Griseb.) Mateo & Gómiz,Fl. Montiber. 91: 132. 2025 [Apr 2025] ,Hieracium,,Asteraceae Hieracium ramondii Griseb.,(Griseb.)
wfo-1000089089,urn:lsid:ipni.org:names:77377817-1,Hieracium × estosense,Mateo & Gómiz,Fl. Montiber. 91: 132. 2025 [Apr 2025] ,Hieracium,,,
wfo-1200117732,urn:lsid:ipni.org:names:77377818-1,Hieracium glorioanum var. guemesii,"(Mateo, Egido & Gómiz) Mateo & Gómiz",Fl. Montiber. 91: 132. 2025 [Apr 2025] ,Hieracium,,"Asteraceae Hieracium lusitanicum Arv.-Touv. var. guemesii Mateo, Egido & Gómiz","(Mateo, Egido & Gómiz)"
wfo-1200117749,urn:lsid:ipni.org:names:77378077-1,Hieracium collinum subsp. stenocephalum,Nägeli & Peter,Hierac. Mitt.-Eur. 1: 312. 1885 ,Hieracium,,,
wfo-1200117750,urn:lsid:ipni.org:names:77378078-1,Hieracium caespitosum subsp. stenocephalum,(Nägeli & Peter) Gottschl.,Froelichia 24: 3. 2026 ,Hieracium,,Asteraceae Hieracium collinum Gochnat subsp. stenocephalum Nägeli & Peter,(Nägeli & Peter)
wfo-1200117751,urn:lsid:ipni.org:names:77378079-1,Hieracium macranthelum subsp. silvae-pici,(Drenckh. & Gottschl.) Gottschl.,Froelichia 24: 4. 2026 ,Hieracium,,Asteraceae Pilosella macranthela (Nägeli & Peter) Soják subsp. silvae-pici Drenckh. & Gottschl.,(Drenckh. & Gottschl.)
wfo-1000088936,urn:lsid:ipni.org:names:77378226-1,Hieracium bronae,Szeląg,Phytotaxa 749(2): 209. 2026 [26 Mar 2026] ,Hieracium,,,
wfo-1000088937,urn:lsid:ipni.org:names:77378227-1,Hieracium rohacsensiforme,Szeląg,Phytotaxa 749(2): 211. 2026 [26 Mar 2026] ,Hieracium,,,
wfo-1000088938,urn:lsid:ipni.org:names:77378228-1,Hieracium scituliforme,Chrtek f. & Szeląg,Phytotaxa 749(2): 215. 2026 [26 Mar 2026] ,Hieracium,,,
wfo-1000089219,urn:lsid:ipni.org:names:77378249-1,Hieracium hugoi,Szeląg,Phytotaxa 750(1): 43. 2026 [31 Mar 2026] ,Hieracium,,,
wfo-1000089220,urn:lsid:ipni.org:names:77378250-1,Hieracium ladislai,Szeląg,Phytotaxa 750(1): 45. 2026 [31 Mar 2026] ,Hieracium,,,
wfo-1000089222,urn:lsid:ipni.org:names:77378255-1,Hieracium napaeiforme,Szeląg,Phytotaxa 750(1): 65. 2026 [31 Mar 2026] ,Hieracium,,,
wfo-1000089223,urn:lsid:ipni.org:names:77378256-1,Hieracium pseudorohacsense,Szeląg,Phytotaxa 750(1): 68. 2026 [31 Mar 2026] ,Hieracium,,,
