WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0000091843,urn:lsid:ipni.org:names:77378428-1,Hieracium aquilonium,(Elfstr.) Norrl.,Hieracia Exsicc. 7: n. 37-39. 1906 ,Hieracium,,Asteraceae Hieracium praematurum Elfstr. subsp. aquilonium Elfstr.,(Elfstr.)
wfo-1200111033,urn:lsid:ipni.org:names:77378430-1,Hieracium alpinum var. fuliginosum,Laest.,Kongl. Vetensk. Acad. Handl. 1826: 170. 1827 ,Hieracium,,,
wfo-1000088944,urn:lsid:ipni.org:names:77378431-1,Hieracium fuliginosum,(Laest.) Andersson,Consp. Veg. Lapponiae 20. 1846 ,Hieracium,,Asteraceae Hieracium alpinum L. var. fuliginosum Laest.,(Laest.)
wfo-1200118285,urn:lsid:ipni.org:names:77378635-1,Hieracium laniferum subsp. devotarum,"(Mateo, Egido & Gómiz) Mateo & Gómiz",Fl. Montiber. 91: 133. 2025 [Apr 2025] ,Hieracium,,"Asteraceae Hieracium devotarum Mateo, Egido & Gómiz","(Mateo, Egido & Gómiz)"
wfo-1000089454,urn:lsid:ipni.org:names:77378636-1,Hieracium × leioarguisianum,Mateo & Gómiz,Fl. Montiber. 91: 133. 2025 [Apr 2025] ,Hieracium,,,
wfo-0000031308,urn:lsid:ipni.org:names:77378637-1,Hieracium hedypnoides,Arv.-Touv. & Gaut.,Hieracioth. Hisp. 20: No. 402. 1908 ,Hieracium,nom. illeg. later homonym,,
wfo-1000089455,urn:lsid:ipni.org:names:77378638-1,Hieracium × neoaragonense,Mateo & Gómiz,Fl. Montiber. 91: 133. 2025 [Apr 2025] ,Hieracium,,,
wfo-1000089456,urn:lsid:ipni.org:names:77378639-1,Hieracium × neolusitanicum,Mateo & Gómiz,Fl. Montiber. 91: 133. 2025 [Apr 2025] ,Hieracium,,,
wfo-1000089457,urn:lsid:ipni.org:names:77378640-1,Hieracium × montibericum,Mateo & Gómiz,Fl. Montiber. 91: 133. 2025 [Apr 2025] ,Hieracium,,,
wfo-1000089458,urn:lsid:ipni.org:names:77378641-1,Hieracium × neoscense,Mateo & Gómiz,Fl. Montiber. 91: 133. 2025 [Apr 2025] ,Hieracium,,,
wfo-1000089459,urn:lsid:ipni.org:names:77378642-1,Hieracium × sauense,Mateo & Gómiz,Fl. Montiber. 91: 134. 2025 [Apr 2025] ,Hieracium,,,
wfo-1000089851,urn:lsid:ipni.org:names:77379205-1,Hieracium todorovskii,Teof.,Phytotaxa 752(3): 236. 2026 [23 Apr 2026] ,Hieracium,,,
wfo-1000089944,urn:lsid:ipni.org:names:77379453-1,Melanoseris pendryi,D.Maity & Khuroo,Ann. Bot. Fenn. 63(1): 74. 2026 [20 Apr 2026] ,Melanoseris,,,
