WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000088257,urn:lsid:ipni.org:names:77376814-1,Convolvulus sect. Acanthocladi,Boiss.,Fl. Orient. [Boissier] 4(1): 84. 1875 [Sep-Oct 1875] ,,,
wfo-1000088258,urn:lsid:ipni.org:names:77376815-1,Convolvulus sect. Rigidiramea,Petrov,"Byull. Moskovsk. Obshch. Isp. Prir., Otd. Biol. 44(3): 135. 1935 ",,,
wfo-1000088259,urn:lsid:ipni.org:names:77376816-1,Convolvulus sect. Solutoracemosa,Petrov,"Byull. Moskovsk. Obshch. Isp. Prir., Otd. Biol. 44(3): 141. 1935 ",,,
wfo-1000088260,urn:lsid:ipni.org:names:77376817-1,Convolvulus sect. Inermia,Boiss. ex Petrov,"Byull. Moskovsk. Obshch. Isp. Prir., Otd. Biol. 44(3): 143. 1935 ",,,
wfo-1000088261,urn:lsid:ipni.org:names:77376818-1,Convolvulus sect. Pannosi,Boiss.,Fl. Orient. [Boissier] 4(1): 85. 1875 [Sep-Oct 1875] ,,,
wfo-1000088262,urn:lsid:ipni.org:names:77376819-1,Convolvulus sect. Volubiles,Boiss.,Fl. Orient. [Boissier] 4(1): 85. 1875 [Sep-Oct 1875] ,,,
wfo-1000088263,urn:lsid:ipni.org:names:77376820-1,Convolvulus sect. Scandentes,Boiss.,Fl. Orient. [Boissier] 4(1): 85. 1875 [Sep-Oct 1875] ,,,
wfo-1000088264,urn:lsid:ipni.org:names:77376821-1,Convolvulus sect. Floridi,Sa'ad,Meded. Bot. Mus. Herb. Rijks Univ. Utrecht 281(1): 46. 1967 ,,,
wfo-1200117020,urn:lsid:ipni.org:names:77376849-1,Convolvulus leptocladus subsp. glabrosepalus,Kandemir,Fl. Iraq 7(1): 40. 2025 [Dec 2025] ,,,
wfo-1000088488,urn:lsid:ipni.org:names:77377047-1,Convolvulus sect. Scammonia,Melnikov,Konspekt Fl. Vost. Evr. 2(1): 258. 2025 [30 Nov 2025] ,,,
wfo-1000088489,urn:lsid:ipni.org:names:77377048-1,Convolvulus spectabilis,(Brummitt) Melnikov,Konspekt Fl. Vost. Evr. 2(1): 257. 2025 [30 Nov 2025] ,,Convolvulaceae Calystegia sepium R.Br. subsp. spectabilis Brummitt,(Brummitt)
