WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200117761,urn:lsid:ipni.org:names:77378231-1,Convolvulus macrostegius subsp. aridus,(Greene) S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209(4): 375. 2025 [21 Apr 2025] ,nom. inval.    Contrary to Art. 41.5. ICN (2025). No full and direct reference to basionym was given (incorrect basionym cited),Convolvulaceae Convolvulus aridus Greene,(Greene)
wfo-1200117762,urn:lsid:ipni.org:names:77378232-1,Convolvulus macrostegius subsp. cyclostegius,(House) S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209(4): 375. 2025 [21 Apr 2025] ,nom. inval.    Contrary to Art. 41.5. ICN (2025). No full and direct reference to basionym was given (incorrect basionym cited),Convolvulaceae Convolvulus cyclostegius House,(House)
wfo-1200117763,urn:lsid:ipni.org:names:77378233-1,Convolvulus macrostegius subsp. intermedius,(Abrams) S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209(4): 375. 2025 [21 Apr 2025] ,nom. inval.    Contrary to Art. 41.5. ICN (2025). No full and direct reference to basionym was given (incorrect basionym cited),Convolvulaceae Convolvulus aridus Greene subsp. intermedius Abrams,(Abrams)
wfo-1200117764,urn:lsid:ipni.org:names:77378235-1,Convolvulus macrostegius subsp. tenuifolius,(Abrams) S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209(4): 375. 2025 [21 Apr 2025] ,nom. inval.    Contrary to Art. 41.5. ICN (2025). No full and direct reference to basionym was given (incorrect basionym cited),Convolvulaceae Convolvulus aridus Greene subsp. tenuifolius Abrams,(Abrams)
wfo-4100006486,urn:lsid:ipni.org:names:77349660-1,Muigaia,"Ngima, Kathambi & A.R.Simões",Kew Bull. 81(1): [7 of 22]. 2026 [18 Feb 2026] ,,,
wfo-1000089226,urn:lsid:ipni.org:names:77349796-1,Muigaia australiana,"Ngima, Kathambi & A.R.Simões",Kew Bull. 81(1): [13 of 22]. 2026 [18 Feb 2026] ,,,
wfo-1000089227,urn:lsid:ipni.org:names:77349797-1,Muigaia ticcopa,"(Verdc.) Ngima, Kathambi & Kagame",Kew Bull. 81(1): [9 of 22]. 2026 [18 Feb 2026] ,,Convolvulaceae Ipomoea ticcopa Verdc.,(Verdc.)
wfo-1000089228,urn:lsid:ipni.org:names:77349798-1,Muigaia palmatisecta,(Bojer ex Choisy) Ngima & Kathambi,Kew Bull. 81(1): [9 of 22]. 2026 [18 Feb 2026] ,,Convolvulaceae Ipomoea palmatisecta Bojer ex Choisy,(Bojer ex Choisy)
wfo-1000089229,urn:lsid:ipni.org:names:77349799-1,Muigaia coptica,"(L.) Ngima, Kathambi & A.R.Simões",Kew Bull. 81(1): 10 of 22. 2026 [18 Feb 2026] ,,Convolvulaceae Convolvulus copticus L.,(L.)
wfo-1000089230,urn:lsid:ipni.org:names:77349800-1,Muigaia shimpalei,A.R.Simões,Kew Bull. 81(1): [13 of 22]. 2026 [18 Feb 2026] ,,,
wfo-1000089231,urn:lsid:ipni.org:names:77349801-1,Muigaia laciniata,(Dalzell) A.R.Simões,Kew Bull. 81(1): [16 of 22]. 2026 [18 Feb 2026] ,,Convolvulaceae Pharbitis laciniata Dalzell,(Dalzell)
wfo-1000089232,urn:lsid:ipni.org:names:77349803-1,Muigaia diversifolia,"(R.Br.) Ngima, Kathambi & Kagame",Kew Bull. 81(1): [17 of 22]. 2026 [18 Feb 2026] ,,Convolvulaceae Ipomoea diversifolia R.Br.,(R.Br.)
