WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000087456,urn:lsid:ipni.org:names:77374716-1,Rhododendron mulunense,Y.S.Huang & X.X.Mao,PhytoKeys 269: 101. 2026 [8 Jan 2026] [epublished],,,
wfo-1200116658,urn:lsid:ipni.org:names:77374742-1,Rhododendron sect. Ledum,(L.) Val.N.Tikhom.,Novosti Sist. Vyssh. Rast. 55: 85. 2024 [31 Dec 2024] [epublished],,Ericaceae Ledum L.,(L.)
wfo-0000671300,urn:lsid:ipni.org:names:77374988-1,Erica acuta,Andrews,Col. Engr. Heaths 2: t. 73. [1805 publ. 1802-1805] ,,,
wfo-1000054987,urn:lsid:ipni.org:names:77374989-1,Erica archeria,Andrews,Col. Engr. Heaths 2: t. 74. [1805 publ. 1802-1805] ,,,
wfo-0000671404,urn:lsid:ipni.org:names:77374991-1,Erica ardens,Andrews,Col. Engr. Heaths 2: t. 75. [1805 publ. 1802-1805] ,,,
wfo-1200067531,urn:lsid:ipni.org:names:77374992-1,Erica barbata [infrasp.unranked] major,Andrews,"Col. Engr. Heaths 2: t. 77. [1805 publ. 1802-1805] , as 'Erica barbata major'",nom. inval.    Contrary to Art. 3 Note 1 (ICN 2025). Specific name not validly published.,,
wfo-1200116666,urn:lsid:ipni.org:names:77374993-1,Erica bicolor,Andrews,Col. Engr. Heaths 2: t. 79. 1804 [1805 publ. 1802-1805] ,nom. illeg. later homonym,,
wfo-0000671722,urn:lsid:ipni.org:names:77374995-1,Erica conferta,Andrews,Col. Engr. Heaths 2: t. 83. [1805 publ. 1802-1805] ,,,
wfo-1200116667,urn:lsid:ipni.org:names:77374996-1,Erica cylindrica,Andrews,Col. Engr. Heaths 2: t. 85. [1805 publ. 1802-1805] ,nom. illeg. later homonym,,
wfo-1200116668,urn:lsid:ipni.org:names:77374997-1,Erica depressa,Andrews,Col. Engr. Heaths 2: t. 86. [1805 publ. 1802-1805] ,nom. illeg. later homonym,,
wfo-0000671955,urn:lsid:ipni.org:names:77374998-1,Erica empetroides,Andrews,Col. Engr. Heaths 2: t. 88. [1805 publ. 1802-1805] ,,,
wfo-1200116669,urn:lsid:ipni.org:names:77374999-1,Erica eriocephala,Andrews,Col. Engr. Heaths 2: t. 89. [1805 publ. 1802-1805] ,nom. illeg. later homonym,,
wfo-1200116670,urn:lsid:ipni.org:names:77375000-1,Erica fastigiata,Andrews,Col. Engr. Heaths 2: t. 90. [1805 publ. 1802-1805] ,nom. illeg. later homonym,,
wfo-0000672034,urn:lsid:ipni.org:names:77375001-1,Erica filamentosa,Andrews,Col. Engr. Heaths 2: t. 91. [1805 publ. 1802-1805] ,,,
wfo-0000672051,urn:lsid:ipni.org:names:77375002-1,Erica flammea,Andrews,Col. Engr. Heaths 2: t. 92. [1805 publ. 1802-1805] ,,,
wfo-1200116671,urn:lsid:ipni.org:names:77375003-1,Erica flava,Andrews,Col. Engr. Heaths 2: t. 93. [1805 publ. 1802-1805] ,,,
wfo-1200116672,urn:lsid:ipni.org:names:77375004-1,Erica formosa,Andrews,Col. Engr. Heaths 2: t. 94. [1805 publ. 1802-1805] ,nom. illeg. later homonym,,
wfo-0000672122,urn:lsid:ipni.org:names:77375005-1,Erica gelida,Andrews,Col. Engr. Heaths 2: t. 96. [1805 publ. 1802-1805] ,,,
wfo-1200116673,urn:lsid:ipni.org:names:77375006-1,Erica hispida,Andrews,Col. Engr. Heaths 2: t. 100. [1805 publ. 1802-1805] ,nom. illeg. later homonym,,
wfo-0000672264,urn:lsid:ipni.org:names:77375007-1,Erica horizontalis,Andrews,Col. Engr. Heaths 2: t. 102. [1805 publ. 1802-1805] ,,,
wfo-0000672286,urn:lsid:ipni.org:names:77375008-1,Erica ignescens,Andrews,Col. Engr. Heaths 2: t. 103. [1805 publ. 1802-1805] ,,,
wfo-0000672433,urn:lsid:ipni.org:names:77375009-1,Erica latifolia,Andrews,Col. Engr. Heaths 2: t. 105. [1805 publ. 1802-1805] ,,,
wfo-1000057511,urn:lsid:ipni.org:names:77375010-1,Erica linnaea,Andrews,Col. Engr. Heaths 2: t. 106. [1805 publ. 1802-1805] ,,,
wfo-1200116674,urn:lsid:ipni.org:names:77375011-1,Erica leucanthera,Andrews,Col. Engr. Heaths 2: t. 108. [1805 publ. 1802-1805] ,nom. illeg. later homonym,,
wfo-0000672714,urn:lsid:ipni.org:names:77375012-1,Erica nivenia,Andrews,Col. Engr. Heaths 2: t. 112. [1805 publ. 1802-1805] ,,,
wfo-0000672735,urn:lsid:ipni.org:names:77375013-1,Erica obbata,Andrews,Col. Engr. Heaths 2: t. 113. [1805 publ. 1802-1805] ,,,
wfo-0000672815,urn:lsid:ipni.org:names:77375015-1,Erica palustris,Andrews,Col. Engr. Heaths 2: t. 114. [1805 publ. 1802-1805] ,,,
wfo-1200116675,urn:lsid:ipni.org:names:77375016-1,Erica plumosa,Andrews,Col. Engr. Heaths 2: t. 120. [1805 publ. 1802-1805] ,nom. illeg. later homonym,,
wfo-1200116676,urn:lsid:ipni.org:names:77375018-1,Erica quadriflora,Andrews,Col. Engr. Heaths 2: t. 125. [1805 publ. 1802-1805] ,nom. illeg. later homonym,,
wfo-1200116677,urn:lsid:ipni.org:names:77375020-1,Erica rosea,Andrews,Col. Engr. Heaths 2: t. 126. [1805 publ. 1802-1805] ,,,
wfo-1200116678,urn:lsid:ipni.org:names:77375023-1,Erica rubens,Andrews,Col. Engr. Heaths 2: t. 127. [1805 publ. 1802-1805] ,nom. illeg. later homonym,,
wfo-1200116679,urn:lsid:ipni.org:names:77375027-1,Erica sessiliflora,Andrews,Col. Engr. Heaths 2: t. 130. [1805 publ. 1802-1805] ,nom. illeg. later homonym,,
wfo-1000054997,urn:lsid:ipni.org:names:77375029-1,Erica solandra,Andrews,Col. Engr. Heaths 2: t. 132. [1805 publ. 1802-1805] ,,,
wfo-0000673375,urn:lsid:ipni.org:names:77375030-1,Erica tenella,Andrews,Col. Engr. Heaths 2: t. 135. [1805 publ. 1802-1805] ,,,
wfo-0000671299,urn:lsid:ipni.org:names:77375031-1,Erica acuminata,Andrews,Col. Engr. Heaths 3: t. 145. 1806 [1809 publ. 1805-1809] ,,,
wfo-0000671431,urn:lsid:ipni.org:names:77375032-1,Erica aspera,Andrews,Col. Engr. Heaths 3: t. 148. [1809 publ. 1805-1809] ,,,
wfo-1200116680,urn:lsid:ipni.org:names:77375033-1,Erica blanda,Andrews,Col. Engr. Heaths 3: t. 152. [1809 publ. 1805-1809] ,nom. illeg. later homonym,,
wfo-0000671941,urn:lsid:ipni.org:names:77375034-1,Erica elegans,Andrews,Col. Engr. Heaths 3: t. 165. [1809 publ. 1805-1809] ,,,
wfo-0000671979,urn:lsid:ipni.org:names:77375035-1,Erica erubescens,Andrews,Col. Engr. Heaths 3: t. 167. [1809 publ. 1805-1809] ,,,
wfo-1200116681,urn:lsid:ipni.org:names:77375038-1,Erica globosa,Andrews,Col. Engr. Heaths 3: t. 170. [1809 publ. 1805-1809] ,nom. illeg. later homonym,,
wfo-1000054992,urn:lsid:ipni.org:names:77375041-1,Erica hibbertia,Andrews,Col. Engr. Heaths 3: t. 172. 1805 [1809 publ. 1805-1809] ,,,
wfo-0000672394,urn:lsid:ipni.org:names:77375046-1,Erica lachnaea,Andrews,Col. Engr. Heaths 3: t. 177. [1809 publ. 1805-1809] ,,,
wfo-1200116682,urn:lsid:ipni.org:names:77375047-1,Erica lanata,Andrews,Col. Engr. Heaths 3: t. 179. [1809 publ. 1805-1809] ,nom. illeg. later homonym,,
wfo-0000672419,urn:lsid:ipni.org:names:77375048-1,Erica lanuginosa,Andrews,Col. Engr. Heaths 3: t. 180. [1809 publ. 1805-1809] ,,,
