WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor,distribution
wfo-1000089364,urn:lsid:ipni.org:names:77378265-1,Satureja musadaghensis,İlçim,Phytotaxa 750(2): 111. 2026 [1 Apr 2026] ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000089374,urn:lsid:ipni.org:names:77378287-1,Puschkinia seisumsiana,Vved.,"Int. Rock Gard. 194: 45, figs. 1-17, map 1. 2026 ",,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000089451,urn:lsid:ipni.org:names:77378632-1,Omphalodes turcica,Hamzaoğlu,Anatol. J. Bot. 10: 80. 2026 [27 Feb 2026] ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000089454,urn:lsid:ipni.org:names:77378636-1,Hieracium × leioarguisianum,Mateo & Gómiz,Fl. Montiber. 91: 133. 2025 [Apr 2025] ,,,,"Spain (Spain, Southwestern Europe, Europe)"
wfo-1000089456,urn:lsid:ipni.org:names:77378639-1,Hieracium × neolusitanicum,Mateo & Gómiz,Fl. Montiber. 91: 133. 2025 [Apr 2025] ,,,,"Spain (Spain, Southwestern Europe, Europe)"
wfo-1000089457,urn:lsid:ipni.org:names:77378640-1,Hieracium × montibericum,Mateo & Gómiz,Fl. Montiber. 91: 133. 2025 [Apr 2025] ,,,,"Spain (Spain, Southwestern Europe, Europe)"
wfo-1000089458,urn:lsid:ipni.org:names:77378641-1,Hieracium × neoscense,Mateo & Gómiz,Fl. Montiber. 91: 133. 2025 [Apr 2025] ,,,,"Spain (Spain, Southwestern Europe, Europe)"
wfo-1000089459,urn:lsid:ipni.org:names:77378642-1,Hieracium × sauense,Mateo & Gómiz,Fl. Montiber. 91: 134. 2025 [Apr 2025] ,,,,"Spain (Spain, Southwestern Europe, Europe)"
wfo-1200118286,urn:lsid:ipni.org:names:77378644-1,Teucrium ibnalbaytarii var. angustifolium,"R.Roselló, P.P.Ferrer, Riera, Gómez Nav. & Peris",Fl. Montiber. 91: 145. 2025 [Apr 2025] ,,,,"Morocco (Morocco, Northern Africa, Africa)"
wfo-1000089672,urn:lsid:ipni.org:names:77379006-1,Viola impostor,Burwell & H.E.Ballard,Castanea 90(2): 123. 2026 [16 Feb 2026] ,,,,"South Carolina (Southeastern U.S.A., Northern America);Georgia (Southeastern U.S.A., Northern America);North Carolina (Southeastern U.S.A., Northern America);Virginia (Southeastern U.S.A., Northern America);"
wfo-1200118299,urn:lsid:ipni.org:names:77379017-1,Erodium sibthorpianum subsp. akdagensis,Oskay & Yıldırım,Phytotaxa 752(1): 52. 2026 [17 Apr 2026] ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000089851,urn:lsid:ipni.org:names:77379205-1,Hieracium todorovskii,Teof.,Phytotaxa 752(3): 236. 2026 [23 Apr 2026] ,,,,"Macedonia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000089852,urn:lsid:ipni.org:names:77379212-1,Ranunculus kirschneri,Dunkel,Forum Geobot. 13: 12. 2026 [12 Mar 2026] ,,,,"Czech Republic (Czechoslovakia, Middle Europe, Europe)"
wfo-1000089853,urn:lsid:ipni.org:names:77379213-1,Ranunculus pseudorubricaulis,Dunkel,Forum Geobot. 13: 13. 2026 [12 Mar 2026] ,,,,"Czech Republic (Czechoslovakia, Middle Europe, Europe)"
wfo-0000745460,urn:lsid:ipni.org:names:77379357-1,Scabiosa cretica subsp. minoana,P.H.Davis,Notes Roy. Bot. Gard. Edinburgh 21: 126. 1953 ,,,,"Greece (Southeastern Europe, Europe)"
wfo-1000089357,urn:lsid:ipni.org:names:77379435-1,Bencomia sphaerocarpa,Svent.,Kew Bull. 81(1): 28. 2026 [31 Jan 2026] ,,,,"Canary Is. (Macaronesia, Africa)"
wfo-1000089358,urn:lsid:ipni.org:names:77379444-1,Bencomia brachystachya,Svent.,Kew Bull. 81(1): 29. 2026 [31 Jan 2026] ,,,,"Canary Is. (Macaronesia, Africa)"
wfo-1000089938,urn:lsid:ipni.org:names:77379445-1,Centaurea stadiae,Uysal,Phytotaxa 752(4): 284. 2026 [29 Apr 2026] ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000089359,urn:lsid:ipni.org:names:77379446-1,Bencomia exstipulata,Svent.,Kew Bull. 81(1): 29. 2026 [31 Jan 2026] ,,,,"Canary Is. (Macaronesia, Africa)"
