WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200116557,urn:lsid:ipni.org:names:77374534-1,Primulaceae,Lysimachia congestiflora f. santapaui,(Subba Rao & M.R.Halim) Deb,Bull. Bot. Surv. India 8(1): 96. 1966 ,Lysimachia,,Primulaceae Lysimachia santapaui Subba Rao & M.R.Halim,(Subba Rao & M.R.Halim)
wfo-1000087393,urn:lsid:ipni.org:names:77374535-1,Typhaceae,Sparganium × kolymense,"A.A.Bobrov, P.Volkova, Mochalova & Chemeris",Perspect. Pl. Ecol. Evol. Syst. 60-125746: 21. 2023 [1 Jun 2023] [epublished],Sparganium,,,
wfo-1000087394,urn:lsid:ipni.org:names:77374536-1,Typhaceae,Sparganium × komandorense,"A.A.Bobrov, P.Volkova, Mochalova & Chemeris",Perspect. Pl. Ecol. Evol. Syst. 60-125746: 20. 2023 [1 Jun 2023] [epublished],Sparganium,,,
wfo-1000087395,urn:lsid:ipni.org:names:77374537-1,Typhaceae,Sparganium × sachalinense,"A.A.Bobrov, P.Volkova, Mochalova & Chemeris",Perspect. Pl. Ecol. Evol. Syst. 60-125746: 21. 2023 [1 Jun 2023] [epublished],Sparganium,,,
wfo-1000087396,urn:lsid:ipni.org:names:77374538-1,Typhaceae,Sparganium × chankense,"A.A.Bobrov, P.Volkova, Mochalova & Chemeris",Perspect. Pl. Ecol. Evol. Syst. 60-125746: 21. 2023 [1 Jun 2023] [epublished],Sparganium,,,
wfo-1000087398,urn:lsid:ipni.org:names:77374540-1,Typhaceae,Sparganium × jacuticum,"A.A.Bobrov, P.Volkova, Mochalova & Chemeris",Perspect. Pl. Ecol. Evol. Syst. 60-125746: 22. 2023 [1 Jun 2023] [epublished],Sparganium,,,
wfo-1000087399,urn:lsid:ipni.org:names:77374541-1,Typhaceae,Sparganium × naganoense,"A.A.Bobrov, P.Volkova, Mochalova & Chemeris",Perspect. Pl. Ecol. Evol. Syst. 60-125746: 22. 2023 [1 Jun 2023] [epublished],Sparganium,,,
wfo-1000087400,urn:lsid:ipni.org:names:77374542-1,Typhaceae,Sparganium × obscurum,"A.A.Bobrov, P.Volkova, Mochalova & Chemeris",Perspect. Pl. Ecol. Evol. Syst. 60-125746: 22. 2023 [1 Jun 2023] [epublished],Sparganium,,,
wfo-1000087401,urn:lsid:ipni.org:names:77374543-1,Typhaceae,Sparganium × amurense,"A.A.Bobrov, P.Volkova, Mochalova & Chemeris",Perspect. Pl. Ecol. Evol. Syst. 60-125746: 22. 2023 [1 Jun 2023] [epublished],Sparganium,,,
wfo-1000087402,urn:lsid:ipni.org:names:77374648-1,Lamiaceae,Hyptis raymondii,Antar & A.Soares,Nordic J. Bot. 2025(12)-e04917: 2. [3 Sep 2025] [epublished],Hyptis,,,
wfo-1000087403,urn:lsid:ipni.org:names:77374649-1,Lamiaceae,Hypenia filicifolia,"Antar, Faria & A.Soares",Nordic J. Bot. 2025(12)-e04917: 7. [3 Sep 2025] [epublished],Hypenia,,,
wfo-1000087404,urn:lsid:ipni.org:names:77374650-1,Crassulaceae,Sedum diversiflorum,Takuro Ito,Nordic J. Bot. 2025(12)-e04877: 13. [9 Sep 2025] [epublished],Sedum,,,
wfo-1000087409,urn:lsid:ipni.org:names:77374655-1,Araceae,Philodendron alatigeniculum,Croat & Scherber.,Aroideana 48(2): 3. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087410,urn:lsid:ipni.org:names:77374656-1,Araceae,Philodendron altojordanense,Croat,Aroideana 48(2): 6. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087411,urn:lsid:ipni.org:names:77374657-1,Araceae,Philodendron apiaense,Croat,Aroideana 48(2): 9. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087412,urn:lsid:ipni.org:names:77374658-1,Araceae,Philodendron aquitanense,Croat,"Aroideana 48(2): 13. 2025 [1 Sep 2025] , as 'Philodenron aquitanense'",Philodendron,,,
wfo-1000087413,urn:lsid:ipni.org:names:77374659-1,Araceae,Philodendron barbosae,Croat & Mines,Aroideana 48(2): 18. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087414,urn:lsid:ipni.org:names:77374660-1,Araceae,Philodendron brucehoffmanii,Croat,Aroideana 48(2): 21. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087415,urn:lsid:ipni.org:names:77374661-1,Araceae,Philodendron cabrerae,Croat,Aroideana 48(2): 24. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087416,urn:lsid:ipni.org:names:77374662-1,Araceae,Philodendron caldasense,Croat & Mines,Aroideana 48(2): 27. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087417,urn:lsid:ipni.org:names:77374663-1,Araceae,Philodendron callejasii,Croat,Aroideana 48(2): 29. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-0001043662,urn:lsid:ipni.org:names:77374664-1,Araceae,Philodendron canutoense,Croat,Aroideana 48(2): 31. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087418,urn:lsid:ipni.org:names:77374665-1,Iridaceae,Junopsis sect. Staintonia,"M.B.Crespo, Mart.-Azorín & Mavrodiev",Phytotaxa 232(1): 55. 2015 [28 Oct 2015] [epublished],Junopsis,,,
wfo-1000087419,urn:lsid:ipni.org:names:77374666-1,Convallariaceae,Polygonatum dabieshanense,"B.X.Han, S.Y.Yi & X.W.Song","PhytoKeys 269: 36. 2026 [6 Jan 2026] , as 'dabieshanensis'",Polygonatum,,,
wfo-1000087420,urn:lsid:ipni.org:names:77374668-1,Araceae,Philodendron carmenense,Croat,Aroideana 48(2): 34. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087421,urn:lsid:ipni.org:names:77374669-1,Araceae,Philodendron chigorodoense,Croat,Aroideana 48(2): 38. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087422,urn:lsid:ipni.org:names:77374670-1,Araceae,Philodendron chiguindense,Croat,Aroideana 48(2): 43. 2025 [1 Sep 2025] [epublished],Philodendron,,,
