WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0000222336,urn:lsid:ipni.org:names:77377266-1,Lamiaceae,Lagochilus kschtutensis,Knorring,Trudy Tadzhikistansk. Bazy 8: 625. 1940 [dt. 1938; publ. 1940] ,Lagochilus,,,
wfo-1000088947,urn:lsid:ipni.org:names:77377268-1,Trilliaceae,Trillium freemanii,Lampley,Syst. Biogeogr. Study Trillium 65. 2021 [Dec 2021] ,Trillium,Contrary to Art. 29.1. ICN (2018). Not effectively published?,,
wfo-1000088948,urn:lsid:ipni.org:names:77377370-1,Araceae,Homalomena lingua-felis,"A.S.D.Irsyam, Raynalta & M.R.Hariri",PhytoKeys 271: 164. 2026 [2 Mar 2026] ,Homalomena,,,
wfo-1000088949,urn:lsid:ipni.org:names:77377371-1,Alliaceae,Allium pinifolium,"X.G.Ma, H.Sun & D.Q.Huang",Phytotaxa 744(1): 57. 2026 [2 Mar 2026] ,Allium,,,
wfo-1000088951,urn:lsid:ipni.org:names:77377373-1,Alliaceae,Allium wuzhengyii,"H.Sun, X.G.Ma & D.Q.Huang",Phytotaxa 744(1): 57. 2026 [2 Mar 2026] ,Allium,,,
wfo-1000088952,urn:lsid:ipni.org:names:77377374-1,Alliaceae,Allium subgen. Alpinoprasum,D.Q.Huang & N.Friesen,Phytotaxa 744(1): 56. 2026 [2 Mar 2026] ,Allium,,,
wfo-1000089225,urn:lsid:ipni.org:names:77377375-1,Alliaceae,Allium sect. Alpinoprasum,D.Q.Huang & N.Friesen,Phytotaxa 744(1): 50. 2026 [2 Mar 2026] ,Allium,,,
wfo-1000088953,urn:lsid:ipni.org:names:77377376-1,Bromeliaceae,Guzmania tapichalacaensis,Manzan. & N.Jaram.,Phytotaxa 744(1): 97. 2026 [2 Mar 2026] ,Guzmania,,,
wfo-1000089224,urn:lsid:ipni.org:names:77377377-1,Apiaceae,Phellandrium globulosum,(L.) Bertol.,Fl. Ital. [Bertoloni] 3: 231. 1837 [Nov 1837] ,Phellandrium,,Apiaceae Oenanthe globulosa L.,(L.)
wfo-1200117771,urn:lsid:ipni.org:names:77377404-1,Loranthaceae,Loranthus graciliflorus,Roxb. ex Schult. & Schult.f.,"Syst. Veg., ed. 15[bis]. 7(1): 99. 1829 (as 'gracilifolius')",Loranthus,,,
