WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-4100006508,urn:lsid:ipni.org:names:77378264-1,Polygalaceae,trib. Polygaleae,Fr.,"Fl. Scan. 35, 38. 1835 ",,,,
wfo-1000089369,urn:lsid:ipni.org:names:77378270-1,Saxifragaceae,Chrysosplenium ningqiangense,Hong Liu,PhytoKeys 272: 151. 2026 [1 Apr 2026] ,Chrysosplenium,,,
wfo-1200118265,urn:lsid:ipni.org:names:77378272-1,Lamiaceae,Micromeria serpyllifolia var. barbata,Boiss.,Fl. Orient. [Boissier] 4: 574. 1879 [Apr-May 1879] ,Micromeria,,,
wfo-1000089350,urn:lsid:ipni.org:names:77378273-1,Euphorbiaceae,Euphorbia yadavii,"Malpure, P.S.Raut, Sardesai & B.De Jong","Euphorbia World 20(2): 28, figs. 12-15. 2025 [Aug 2025] ",Euphorbia,,,
wfo-1000089351,urn:lsid:ipni.org:names:77378274-1,Euphorbiaceae,Euphorbia paschimia,"Malpure, P.S.Raut, Sardesai & B.De Jong","Euphorbia World 20(2): 40, figs. 62--66. 2025 [Aug 2025] ",Euphorbia,,,
wfo-1200118266,urn:lsid:ipni.org:names:77378285-1,Geraniaceae,Geranium transversale subsp. linearifolium,Rukšāns,"Int. Rock Gard. 194: 7, figs. A-C, Map A1. 2026 [Mar 2026] ",Geranium,,,
wfo-1200118267,urn:lsid:ipni.org:names:77378286-1,Geraniaceae,Geranium charlesii subsp. punctatum,Rukšāns,"Int. Rock Gard. 194: 12, figs. F-J, map B 2. 2026 [Mar 2026] ",Geranium,,,
wfo-1000089375,urn:lsid:ipni.org:names:77378389-1,Crassulaceae,Sedum xinchangense,"Z.Dan Wang, X.F.Jin & Y.F.Lu",PhytoKeys 272: 186. 2026 [7 Apr 2026] ,Sedum,,,
wfo-1000089376,urn:lsid:ipni.org:names:77378390-1,Dracaenaceae,Dracaena banggaensis,"Rugayah, Sulist., Sunarti & Damayanto",Folia Geobot. 60(2): 146. 2026 [26 Jan 2026] ,Dracaena,,,
wfo-1000089378,urn:lsid:ipni.org:names:77378393-1,Lecythidaceae,Scottmoria umbonata,S.A.Mori ex J.E.Bat.,Phytotaxa 750(3): 148. 2026 [7 Apr 2026] ,Scottmoria,,,
wfo-1000089379,urn:lsid:ipni.org:names:77378395-1,Araceae,Syngonium turipachense,"Diaz Jim., Pérez-Farr. & Croat",Phytotaxa 750(3): 209. 2026 [7 Apr 2026] ,Syngonium,,,
wfo-1000089380,urn:lsid:ipni.org:names:77378396-1,Euphorbiaceae,Euphorbia chalamensis,"Nagendra, K.Prasad & A.M.Reddy",Taiwania 71(2): 221. 2026 [18 Mar 2026] ,Euphorbia,,,
wfo-1000089381,urn:lsid:ipni.org:names:77378397-1,Campanulaceae,Lobelia janardhananii,K.M.P.Kumar & Sunil,Taiwania 71(2): 243. 2026 [21 Mar 2026] ,Lobelia,,,
wfo-1000089382,urn:lsid:ipni.org:names:77378398-1,Balsaminaceae,Impatiens pfutserensis,"S.Singh, B.Singh & M.Bhuyan",Taiwania 71(2): 264. 2026 [25 Mar 2026] ,Impatiens,,,
