WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000087407,urn:lsid:ipni.org:names:77374653-1,Oreocharis caotierui,"X.L.Yu, L.Wu & A.Liu",Nordic J. Bot. 2025(12)-e04889: 2. [18 Sep 2025] [epublished],,,
wfo-1000087613,urn:lsid:ipni.org:names:77375075-1,Kohleria pulchra-chloroneura,S.S.Ying,New Taxa New Names 8: 328. 2025 [30 Nov 2025] [epublished],nom. inval.    Basionym not validly published,,
wfo-1000087673,urn:lsid:ipni.org:names:77375376-1,Primulina marmorata,"F.Wen, W.C.Chou & Y.G.Wei",Nordic J. Bot. 2026(1)-e05016: 2. 2025 [14 Nov 2025] [epublished],,,
wfo-1000087705,urn:lsid:ipni.org:names:77375419-1,Primulina chouweichuenii,F.Wen,J. Jap. Bot. 100(6): 573. 2025 [20 Dec 2025] ,,,
wfo-1000087707,urn:lsid:ipni.org:names:77375421-1,Primulina gemma,F.Wen,J. Jap. Bot. 100(6): 576. 2025 [20 Dec 2025] ,,,
wfo-1000087776,urn:lsid:ipni.org:names:77375704-1,Henckelia multiflora,N.V.Page,Edinburgh J. Bot. 82-2095: 3. 2025 [18 Dec 2025] [epublished],,,
wfo-4100006392,urn:lsid:ipni.org:names:77375784-1,× Eucongia,Z.H.Feng,Plant 14(1): 2. 2026 [27 Jan 2026] [epublished],,,
wfo-1000087908,urn:lsid:ipni.org:names:77375900-1,× Eucongia multiflora,(Veitch ex J.Dix) Z.H.Feng,Plant 14(1): 6. 2026 [27 Jan 2026] [epublished],,Gesneriaceae Stenogastra × multiflora Veitch ex J.Dix,(Veitch ex J.Dix)
wfo-1000087909,urn:lsid:ipni.org:names:77375901-1,Ramonda × jurasekii,(Halda) Z.H.Feng,Plant 14(1): 6. 2026 [27 Jan 2026] [epublished],,Gesneriaceae Jankaemonda × jurasekii Halda,(Halda)
wfo-1000087910,urn:lsid:ipni.org:names:77375902-1,Ramonda × stibicii,(Halda) Z.H.Feng,Plant 14(1): 6. 2026 [27 Jan 2026] [epublished],,Gesneriaceae × Jankaemonda stibicii Halda,(Halda)
wfo-1000087911,urn:lsid:ipni.org:names:77375903-1,Ramonda × vandedemii,(Beauverd) Z.H.Feng,Plant 14: 6. 2026 [27 Jan 2026] [epublished],"nom. inval.    Contrary to Art. 60.10., ICN (2025): a basionym does not itself have a basionym",Gesneriaceae Ramonda × vandedemii Beauverd,(Beauverd)
