WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000088955,urn:lsid:ipni.org:names:77377380-1,Glossoloma jostii,J.L.Clark,PhytoKeys 271: 176. 2026 [4 Mar 2026] ,,,
wfo-1000088956,urn:lsid:ipni.org:names:77377381-1,Glossoloma puroanum,J.L.Clark,"PhytoKeys 271: 179. 2026 [4 Mar 2026] , as 'puroana'",Termination of specific epithet amended as per Art. 23.5. ICN (2025).,,
wfo-1000088957,urn:lsid:ipni.org:names:77377382-1,Glossoloma recaldeorum,J.L.Clark,PhytoKeys 271: 181. 2026 [4 Mar 2026] ,,,
wfo-1000089071,urn:lsid:ipni.org:names:77377793-1,Drymonia crassolobulata,R.Rojas & Vásquez,Darwiniana 14(1): 67. 2026 [9 Jan 2026] ,,,
wfo-1000089079,urn:lsid:ipni.org:names:77377802-1,Cyrtandra intermedia,R.P.P.Ahmad & Karton.,Phytotaxa 747(2): 216. 2026 [17 Mar 2026] ,,,
wfo-1000089082,urn:lsid:ipni.org:names:77377805-1,Columnea magentotricha,Parra-Lizc. & Solano-C.,Darwiniana 14(1): 27. 2026 [9 Jan 2026] ,,,
wfo-1200074592,urn:lsid:ipni.org:names:77377807-1,Petrocosmea shilinensis var. changhuensis,T.F.Lü & Yin Z.Wang,J. Syst. Evol. 58(2): 155. 2019 [2020 publ. 4 Sep 2019] ,,,
wfo-1200074590,urn:lsid:ipni.org:names:77377808-1,Petrocosmea purpureoglandulosa,Y.Dong & Yin Z.Wang,J. Syst. Evol. 58(2): 155. 2019 [2020 publ. 4 Sep 2019] ,,,
wfo-1200074589,urn:lsid:ipni.org:names:77377809-1,Petrocosmea longituba,M.Q.Han & Yan Liu,J. Syst. Evol. 58(2): 156. 2019 [2020 publ. 4 Sep 2019] ,,,
wfo-1200074591,urn:lsid:ipni.org:names:77377811-1,Petrocosmea qionglaiensis,C.Q.Li & Yin Z.Wang,J. Syst. Evol. 58(2): 156. 2019 [2020 publ. 4 Sep 2019] ,,,
wfo-1000089085,urn:lsid:ipni.org:names:77377812-1,Primulina acutiloba,"C.Xiong, J.X.Fu & F.Wen",PhytoKeys 272: 12. 2026 [18 Mar 2026] ,,,
wfo-1000089143,urn:lsid:ipni.org:names:77377892-1,Palmatiboea curvituba,"G.L.Xu, S.C.Zeng & Z.L.Li",Taiwania 71(1): 78. 2026 [11 Jan 2026] ,,,
wfo-1000089144,urn:lsid:ipni.org:names:77377893-1,Palmatiboea recurva,"G.L.Xu, H.W.Zhang & Z.L.Li",Taiwania 71(1): 79. 2026 [11 Jan 2026] ,,,
wfo-1000089148,urn:lsid:ipni.org:names:77377903-1,Lysionotus purpureopunctatus,"F.Wen, W.B.Xu & K.S.Nguyen",PhytoKeys 272: 42. 2026 [23 Mar 2026] ,,,
wfo-1000089149,urn:lsid:ipni.org:names:77377904-1,Lysionotus guiliangii,"Lei Cai, W.B.Xu & Jie Huang bis",PhytoKeys 272: 44. 2026 [23 Mar 2026] ,,,
wfo-1000089186,urn:lsid:ipni.org:names:77378063-1,Kaisupeea larsenii,"Triboun, Pansomb. & Bannajit",Thai J. Bot. 17(1): 32. 2025 ,,,
wfo-1200117760,urn:lsid:ipni.org:names:77378222-1,Petrocodon dealbatus var. minimus,X.X.Bai & K.Tan,Phytotaxa 749(2): 178. 2026 [26 Mar 2026] ,,,
wfo-1000089207,urn:lsid:ipni.org:names:77378223-1,Raphiocarpus tonkinensis,T.V.Do,Phytotaxa 749(2): 187. 2026 [26 Mar 2026] ,,,
wfo-1000089216,urn:lsid:ipni.org:names:77378241-1,Petrocodon dahuaensis,"M.L.Mo, Chen Feng & Z.C.Lu",PhytoKeys 272: 127. 2026 [31 Mar 2026] ,,,
wfo-1200117767,urn:lsid:ipni.org:names:77378252-1,Aeschynanthus micranthus var. liae,Y.K.Wei & J.Q.Qin,Phytotaxa 750(1): 59. 2026 [31 Mar 2026] ,,,
wfo-1000089251,urn:lsid:ipni.org:names:77371915-1,Primulina taishanensis,F.Wen & Yu Q.Chen,Kew Bull. 81(1): 2 of 8. 2026 [23 Feb 2026] ,,,
