WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000087381,urn:lsid:ipni.org:names:77374517-1,Lotus frailensis,A.A.Weller,Phytotaxa 736(3): 214. 2025 [31 Dec 2025] [epublished],Leguminosae,,,
wfo-1000087382,urn:lsid:ipni.org:names:77374518-1,Lotus pseudodumetorum,A.A.Weller,Phytotaxa 736(3): 217. 2025 [31 Dec 2025] [epublished],Leguminosae,,,
wfo-1000087383,urn:lsid:ipni.org:names:77374519-1,Lotus reyes-betancortii,A.A.Weller,"Phytotaxa 736(3): 220. 2025 [31 Dec 2025] , as 'reyes-betancorti' [epublished]",Leguminosae,,,
wfo-1000087384,urn:lsid:ipni.org:names:77374520-1,Lotus brezalis,A.A.Weller,Phytotaxa 736(3): 223. 2025 [31 Dec 2025] [epublished],Leguminosae,,,
wfo-1000087385,urn:lsid:ipni.org:names:77374521-1,Lotus dunkelii,A.A.Weller,Phytotaxa 736(3): 226. 2025 [31 Dec 2025] [epublished],Leguminosae,,,
wfo-1200116556,urn:lsid:ipni.org:names:77374522-1,Lotus campylocladus subsp. hierrensis,A.A.Weller,Phytotaxa 736(3): 229. 2025 [31 Dec 2025] [epublished],Leguminosae,,,
wfo-1000087471,urn:lsid:ipni.org:names:77374747-1,Plagiosiphon intermedius,"Burgt, Ngansop & Tchiengué","J. Pl. Taxon. & Geogr. (Webbia) 80(2), Suppl.: 176. 2025 [17 Nov 2025] , as 'intermedium' [epublished]",Leguminosae,Termination of specific epithet amended as per Art. 23.5. ICN (2025). Generic name is masculine.,,
wfo-1000087574,urn:lsid:ipni.org:names:77374962-1,Acacia longinqua,G.J.Leach & Maslin,Gard. Bull. Singapore 77(2): 211. 2025 [Nov 2025] [epublished],Mimosaceae,,,
wfo-1000087580,urn:lsid:ipni.org:names:77374970-1,Dimorphandra pectinata,(Humb. & Bonpl. ex Willd.) H.C.Hopkins & G.S.da Silva,Willdenowia 55(1): 60. 2025 [7 Apr 2025] [epublished],Leguminosae,,Leguminosae Inga pectinata Humb. & Bonpl. ex Willd.,(Humb. & Bonpl. ex Willd.)
wfo-1200116584,urn:lsid:ipni.org:names:77375114-1,Trigonella coerulescens subsp. harputensis,"M.Keskin, Sonay & Balos",Ann. Bot. Fenn. 62(1): 258. 2025 [25 Sep 2025] [epublished],Leguminosae,,,
wfo-1000087727,urn:lsid:ipni.org:names:77375460-1,Astragalus ketmentubensis,Lazkov,Turczaninowia 28(4): 28. 2025 [30 Dec 2025] [epublished],Leguminosae,,,
wfo-1200116701,urn:lsid:ipni.org:names:77375462-1,Cassia grandiflora,Laun.,Bon Jard. Suppl: 60. 1809 ,Leguminosae,nom. superfl.,,
wfo-1200116723,urn:lsid:ipni.org:names:77375529-1,Crotalaria elegans,Laun.,Bon Jard. 1811: 539. ,Leguminosae,,,
wfo-4000035730,urn:lsid:ipni.org:names:77375542-1,Solenotus,Steven,Bull. Soc. Imp. Naturalistes Moscou 29(2): 143. 1856 ,Leguminosae,,,
wfo-0000502474,urn:lsid:ipni.org:names:77375543-1,Solenotus vesicarius,(L.) Steven,Bull. Soc. Imp. Naturalistes Moscou 29(2): 144. 1856 ,Leguminosae,,Leguminosae Astragalus vesicarius L.,(L.)
wfo-0000502484,urn:lsid:ipni.org:names:77375563-1,Solenotus virgatus,Steven,Bull. Soc. Imp. Naturalistes Moscou 29(2): 144. 1856 ,Leguminosae,nom. inval.    Steven assigned Astragalus virgatus to Solenotus but did not make the new combination 'S. virgatus',,
wfo-0000502452,urn:lsid:ipni.org:names:77375564-1,Solenotus pallescens,Steven,Bull. Soc. Imp. Naturalistes Moscou 29(2): 144. 1856 ,Leguminosae,nom. inval.    Steven assigned Astragalus pallescens to Solenotus but did not make the new combination 'S. pallescens'.,,
wfo-0000502457,urn:lsid:ipni.org:names:77375565-1,Solenotus lasioglottis,Steven,Bull. Soc. Imp. Naturalistes Moscou 29(2): 144. 1856 ,Leguminosae,nom. inval.    Steven assigned Astragalus lasioglottis to Solenotus but did not make the new combination 'S. lasioglottis',,
wfo-0000502465,urn:lsid:ipni.org:names:77375566-1,Solenotus fruticosus,Steven,Bull. Soc. Imp. Naturalistes Moscou 29(2): 144. 1856 ,Leguminosae,nom. inval.    Steven assigned Astragalus fruticosus to Solenotus but did not make the new combination 'S. fruticosus'.,,
wfo-0000502495,urn:lsid:ipni.org:names:77375567-1,Solenotus adsurgens,Steven,Bull. Soc. Imp. Naturalistes Moscou 29(2): 144. 1856 ,Leguminosae,nom. inval.    Steven assigned Astragalus adsurgens to Solenotus but did not make the new combination 'S. adsurgens'.,,
wfo-0000502476,urn:lsid:ipni.org:names:77375568-1,Solenotus uliginosus,Steven,Bull. Soc. Imp. Naturalistes Moscou 29(2): 144. 1856 ,Leguminosae,nom. inval.    Steven assigned Astragalus uliginosus to Solenotus but did not make the new combination 'S. uliginosus'.,,
wfo-0000502453,urn:lsid:ipni.org:names:77375569-1,Solenotus odoratus,Steven,Bull. Soc. Imp. Naturalistes Moscou 29(2): 144. 1856 ,Leguminosae,nom. inval.    Steven assigned Astragalus odoratus to Solenotus but did not make the new combination 'S. odoratus'.,,
