WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089121,urn:lsid:ipni.org:names:77377862-1,Heterotis kupensis,Sv. & Cheek,"J. Pl. Taxon. & Geogr. (Webbia) 80(2, Suppl.): 124. 2025 [17 Nov 2025] ",,,
wfo-1000089122,urn:lsid:ipni.org:names:77377863-1,Heterotis welwitschii,(Cogn.) Sv. & Cheek,"J. Pl. Taxon. & Geogr. (Webbia) 80(2, Suppl.): 127. 2025 [17 Nov 2025] ",,Melastomataceae Osbeckia welwitschii Cogn.,(Cogn.)
wfo-1000089138,urn:lsid:ipni.org:names:77377887-1,Quipuanthus calcaratus,J.S.Murillo & Michelang.,Brittonia 77(4): 450. 2025 [2 Sep 2025] ,,,
wfo-1000089151,urn:lsid:ipni.org:names:77377906-1,Chaetogastra adpressa,F.S.Mey.,Phytotaxa 748(1): 3. 2026 [19 Mar 2026] ,,,
wfo-1000089152,urn:lsid:ipni.org:names:77377907-1,Chaetogastra foliosa,F.S.Mey.,Phytotaxa 748(1): 8. 2026 [19 Mar 2026] ,,,
wfo-1000089153,urn:lsid:ipni.org:names:77377908-1,Chaetogastra macrosepala,F.S.Mey.,Phytotaxa 748(1): 12. 2026 [19 Mar 2026] ,,,
wfo-1000089154,urn:lsid:ipni.org:names:77377910-1,Chaetogastra nana,F.S.Mey. & R.Goldenb.,Phytotaxa 748(1): 16. 2026 [19 Mar 2026] ,,,
wfo-1000089155,urn:lsid:ipni.org:names:77377911-1,Chaetogastra odilioana,F.S.Mey.,Phytotaxa 748(1): 19. 2026 [19 Mar 2026] ,,,
wfo-1000089156,urn:lsid:ipni.org:names:77377912-1,Chaetogastra urubiciensis,F.S.Mey. & R.Goldenb.,Phytotaxa 748(1): 24. 2026 [19 Mar 2026] ,,,
wfo-1000089161,urn:lsid:ipni.org:names:77377919-1,Blakea alatibracteata,"Penneys, Almeda & Urrea",Phytotaxa 748(2): 212. 2026 [20 Mar 2026] ,,,
wfo-1000089164,urn:lsid:ipni.org:names:77377923-1,Sonerila periyarensis,"Deepthikum., A.K.Sreekala, Usha & Ramas.",Asian J. Biol. Life Sci. 13(1): 68. 2024 [10 Apr 2024] ,,,
wfo-1000089255,urn:lsid:ipni.org:names:77373167-1,Osbeckia zubeengargiana,Barn.Das & N.Nath,Phytotaxa 747(1): 2. 2026 [13 Mar 2026] ,,,
wfo-1000089270,urn:lsid:ipni.org:names:77353297-1,Henriettea colanensis,"R.Goldenb., Rob.Fern. & Michelang.",Bot. Lett. 173(1): 128. 2025 [3 Dec 2025] ,,,
wfo-1000089271,urn:lsid:ipni.org:names:77353299-1,Henriettea pedunculata,"R.Goldenb., Rob.Fern. & Michelang.",Bot. Lett. 173(1): 134. 2025 [3 Dec 2025] ,,,
