WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200117710,urn:lsid:ipni.org:names:77377417-1,× Anacamptorchis paschae nothosubsp. cretensis,J.M.H.Shaw & Z.H.Feng,Plant 14(1): 10. 2026 ,nom. inval.    Contrary to Art. 3 Note 1 (ICN 2025). Specific name not validly published.,,
wfo-1200117777,urn:lsid:ipni.org:names:77377442-1,Orchis × haussknechtii nothosubsp. kisslingii,(Beck) Hennigs & L.Lewis,Ber. Arbeitskreis. Heimische Orchid. 42(1): 274. 2025 [3 Sep 2025] ,,Orchidaceae Orchis × kisslingii Beck,(Beck)
wfo-1000089006,urn:lsid:ipni.org:names:77377596-1,Ophrys × spampinatoi,Laface & Torino,"Conservation (Basel) 5(4)-85: 12. 2025 [16 Dec 2025] , as 'spampinatii'","nom. inval.    Contrary to Art. 40.6., ICN (2025): on or after 1 Jan 2007, the type indicated in accordance with Art. 40 may not be an illustration. The authors cite an 'Iconotype' (photograph) in place of a holotype specimen. The term 'illustration' in the ICN designates a work of art or a photograph (see Art. 6.1.)",,
wfo-1000089007,urn:lsid:ipni.org:names:77377597-1,Ophrys × stilarensis,Laface & Torino,Conservation (Basel) 5(4)-85: 15. 2025 [16 Dec 2025] ,"nom. inval.    Contrary to Art. 40.6., ICN (2025): on or after 1 Jan 2007, the type indicated in accordance with Art. 40 may not be an illustration. The authors cite an 'Iconotype' (photograph) in place of a holotype specimen. The term 'illustration' in the ICN designates a work of art or a photograph (see Art. 6.1.)",,
wfo-1000089008,urn:lsid:ipni.org:names:77377598-1,Ophrys × montis-stellae,Laface & Torino,Conservation (Basel) 5(4)-85: 9. 2025 [16 Dec 2025] ,"nom. inval.    Contrary to Art. 40.6., ICN (2025): on or after 1 Jan 2007, the type indicated in accordance with Art. 40 may not be an illustration. The authors cite an 'Iconotype' (photograph) in place of a holotype specimen. The term 'illustration' in the ICN designates a work of art or a photograph (see Art. 6.1.)",,
wfo-1000089009,urn:lsid:ipni.org:names:77377599-1,Dactylorhiza × aspromontana,Laface & Torino,Conservation (Basel) 5(4)-85: 6. 2025 [16 Dec 2025] ,"nom. inval.    Contrary to Art. 40.6., ICN (2025): on or after 1 Jan 2007, the type indicated in accordance with Art. 40 may not be an illustration. The authors cite an 'Iconotype' (photograph) in place of a holotype specimen. The term 'illustration' in the ICN designates a work of art or a photograph (see Art. 6.1.)",,
wfo-1000089055,urn:lsid:ipni.org:names:77377667-1,Dendrobium nakhonsiense,"Rujich., H.A.Pedersen & Suddee",Phytotaxa 747(1): 82. 2026 [13 Mar 2026] ,,,
wfo-1000089073,urn:lsid:ipni.org:names:77377796-1,Scaphosepalum lesterlapoi,Lapo-Gonzalez & M.M.Jiménez,Biodivers. Data J. 14(e76579): 4. 2026 [17 Mar 2026] ,,,
wfo-1000089076,urn:lsid:ipni.org:names:77377799-1,Bulbophyllum sect. Desmosanthes,(Blume) J.J.Sm.,"Bull. Jard. Bot. Buitenzorg sér. 2, 13: 34. 1914 ",,Orchidaceae Diphyes sect. Desmosanthes Blume,(Blume)
wfo-1000089091,urn:lsid:ipni.org:names:77377820-1,Ophrys × vernolensis,"Lumare, Medagli, De Giorgi & Ricchiuto",Thalassia Salentina 47: 53. 2025 [1 Dec 2025] ,,,
