WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089368,urn:lsid:ipni.org:names:77378269-1,Zeuxine seetharamii,Betageri & Katrah.,Asian J. Res. Bot. 8(1): 153. 2025 [25 Mar 20025] ,"NOTE: it is unclear whether this name is effectively published, see note in publication record",,
wfo-1200118268,urn:lsid:ipni.org:names:77378394-1,Acriopsis densiflora var. subpandurata,"Jabar, Besi & Rusea",Phytotaxa 750(3): 165. 2026 [7 Apr 2026] ,,,
wfo-1200118277,urn:lsid:ipni.org:names:77378469-1,Thunia × veitchiana var. inversa,Othmer,Gartenwelt 6(48): 568. 1902 [30 Aug 1902] ,,,
wfo-1000089550,urn:lsid:ipni.org:names:77378753-1,Lepanthes jeorgincarrilloi,"Ocupa, Deza-C. & E.Restrepo",Phytotaxa 751(3): 270. 2026 [16 Apr 2026] ,,,
wfo-1000089551,urn:lsid:ipni.org:names:77378754-1,Lepanthes pravata,"Ocupa, E.Restrepo & J.S.Moreno",Phytotaxa 751(3): 276. 2026 [16 Apr 2026] ,,,
wfo-1000089629,urn:lsid:ipni.org:names:77378951-1,Hemipilia huanglongensis,D.J.Xie & R.B.Zhang,PhytoKeys 273: 229. 2026 [22 Apr 2026] ,,,
wfo-1000089668,urn:lsid:ipni.org:names:77379002-1,Dracula aguilarii,"Baquero, M.M.Jiménez & Iturralde",PhytoKeys 273: 283. 2026 [23 Apr 2026] ,,,
wfo-1000089685,urn:lsid:ipni.org:names:77379025-1,Habenaria alaschanica,"(Maxim.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 165. 2026 [22 Apr 2026] ,,Orchidaceae Herminium alaschanicum Maxim.,(Maxim.)
wfo-1000089688,urn:lsid:ipni.org:names:77379028-1,Habenaria albosanguinea,"(Renz) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 165. 2026 [22 Apr 2026] ,,Orchidaceae Bhutanthera albosanguinea Renz,(Renz)
wfo-1000089690,urn:lsid:ipni.org:names:77379030-1,Habenaria albovirens,"(Renz) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 165. 2026 [22 Apr 2026] ,,Orchidaceae Bhutanthera albovirens Renz,(Renz)
wfo-1000089693,urn:lsid:ipni.org:names:77379033-1,Habenaria alpinipaludosa,"(P.Royen) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 165. 2026 [22 Apr 2026] ,,Orchidaceae Platanthera alpinipaludosa P.Royen,(P.Royen)
wfo-1000089695,urn:lsid:ipni.org:names:77379035-1,Habenaria balaenolabium,"(Ormerod) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 166. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus balaenolabium Ormerod,(Ormerod)
wfo-1000089698,urn:lsid:ipni.org:names:77379038-1,Habenaria balakrishnanii,"(Karthig., Sumathi & Jayanthi) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 166. 2026 [22 Apr 2026] ,,"Orchidaceae Peristylus balakrishnanii Karthig., Sumathi & Jayanthi","(Karthig., Sumathi & Jayanthi)"
wfo-1000089700,urn:lsid:ipni.org:names:77379040-1,Habenaria biporosa,"(Maxim.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 166. 2026 [22 Apr 2026] ,,Orchidaceae Herminium biporosum Maxim.,(Maxim.)
wfo-1000089704,urn:lsid:ipni.org:names:77379044-1,Habenaria boxalii,"(Rolfe) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 166. 2026 [22 Apr 2026] ,,Orchidaceae Diplomeris boxallii Rolfe,(Rolfe)
wfo-1000089706,urn:lsid:ipni.org:names:77379046-1,Habenaria brassii,"(Ormerod) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 166. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus brassii Ormerod,(Ormerod)
wfo-1000089711,urn:lsid:ipni.org:names:77379051-1,Habenaria cambodiana,"(Gagnep.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 166. 2026 [22 Apr 2026] ,,Orchidaceae Parhabenaria cambodiana Gagnep.,(Gagnep.)
wfo-1000089713,urn:lsid:ipni.org:names:77379053-1,Habenaria carnosipetala,"(Kurzweil) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 166. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus carnosipetalus Kurzweil,(Kurzweil)
wfo-1000089715,urn:lsid:ipni.org:names:77379055-1,Habenaria chlorandrella,"(D.L.Jones & M.A.Clem.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 166. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus chlorandrellus D.L.Jones & M.A.Clem.,(D.L.Jones & M.A.Clem.)
wfo-1000089717,urn:lsid:ipni.org:names:77379057-1,Habenaria ciliolata,"(J.J.Sm.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 166. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus ciliolatus J.J.Sm.,(J.J.Sm.)
wfo-1000089718,urn:lsid:ipni.org:names:77379058-1,Habenaria cochinchinensis,"(Gagnep.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 166. 2026 [22 Apr 2026] ,,Orchidaceae Parhabenaria cochinchinensis Gagnep.,(Gagnep.)
wfo-1000089719,urn:lsid:ipni.org:names:77379059-1,Habenaria coeloceras,"(Finet) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 166. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus coeloceras Finet,(Finet)
wfo-1000089720,urn:lsid:ipni.org:names:77379060-1,Habenaria coiloglossa,"(Schltr.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 167. 2026 [22 Apr 2026] ,,Orchidaceae Herminium coiloglossum Schltr.,(Schltr.)
wfo-1000089721,urn:lsid:ipni.org:names:77379062-1,Habenaria cymbochila,"(Renz) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 167. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus cymbochilus Renz,(Renz)
wfo-1000089722,urn:lsid:ipni.org:names:77379063-1,Habenaria daltoniana,"M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 167. 2026 [22 Apr 2026] ,,,
wfo-1000089723,urn:lsid:ipni.org:names:77379064-1,Habenaria djampangensis,"(J.J.Sm.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 167. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus djampangensis J.J.Sm.,(J.J.Sm.)
wfo-1000089724,urn:lsid:ipni.org:names:77379065-1,Habenaria doniana,"M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 167. 2026 [22 Apr 2026] ,,,
wfo-1000089725,urn:lsid:ipni.org:names:77379066-1,Habenaria duthiei,"(Hook.f.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 167. 2026 [22 Apr 2026] ,,Orchidaceae Herminium duthiei Hook.f.,(Hook.f.)
wfo-1000089726,urn:lsid:ipni.org:names:77379067-1,Habenaria ecalcarata,"(Finet) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 167. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus ecalcaratus Finet,(Finet)
wfo-1000089727,urn:lsid:ipni.org:names:77379068-1,Habenaria elbertii,"(J.J.Sm.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 168. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus elbertii J.J.Sm.,(J.J.Sm.)
wfo-1000089728,urn:lsid:ipni.org:names:77379069-1,Habenaria esquirolii,"(X.H.Jin, Schuit., Raskoti & Lu Q.Huang) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 168. 2026 [22 Apr 2026] ,,"Orchidaceae Herminium esquirolii X.H.Jin, Schuit., Raskoti & Lu Q.Huang","(X.H.Jin, Schuit., Raskoti & Lu Q.Huang)"
wfo-1000089729,urn:lsid:ipni.org:names:77379070-1,Habenaria exigua,"M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 168. 2026 [22 Apr 2026] ,,,
wfo-1000089730,urn:lsid:ipni.org:names:77379071-1,Habenaria fasciculata,"(J.D.Ya, Schuit. & X.H.Jin) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 168. 2026 [22 Apr 2026] ,,"Orchidaceae Peristylus fasciculatus J.D.Ya, Schuit. & X.H.Jin","(J.D.Ya, Schuit. & X.H.Jin)"
wfo-1000089731,urn:lsid:ipni.org:names:77379072-1,Habenaria floscula,"M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 168. 2026 [22 Apr 2026] ,,,
wfo-1000089732,urn:lsid:ipni.org:names:77379073-1,Habenaria glossophylla,"(Tang & F.T.Wang) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 168. 2026 [22 Apr 2026] ,,Orchidaceae Herminium glossophyllum Tang & F.T.Wang,(Tang & F.T.Wang)
wfo-1000089733,urn:lsid:ipni.org:names:77379074-1,Habenaria gongshanensis,"(X.H.Jin, Schuit. & C.Ye) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 168. 2026 [22 Apr 2026] ,,"Orchidaceae Herminium gongshanense X.H.Jin, Schuit. & C.Ye","(X.H.Jin, Schuit. & C.Ye)"
wfo-1000089734,urn:lsid:ipni.org:names:77379075-1,Habenaria hatusimana,"(T.Hashim.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 169. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus hatusimanus T.Hashim.,(T.Hashim.)
wfo-1000089735,urn:lsid:ipni.org:names:77379076-1,Habenaria hastifolia,"M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 169. 2026 [22 Apr 2026] ,,,
wfo-1000089736,urn:lsid:ipni.org:names:77379077-1,Habenaria himalayana,"(Renz) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 169. 2026 [22 Apr 2026] ,,Orchidaceae Bhutanthera himalayana Renz,(Renz)
wfo-1000089738,urn:lsid:ipni.org:names:77379079-1,Habenaria hirsuta,"(Lindl.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 169. 2026 [22 Apr 2026] ,,Orchidaceae Diplochilos hirsutus Lindl.,(Lindl.)
wfo-1000089742,urn:lsid:ipni.org:names:77379083-1,Habenaria holttumiana,"(Seidenf. ex Aver.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 169. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus holttumianus Seidenf. ex Aver.,(Seidenf. ex Aver.)
wfo-1000089744,urn:lsid:ipni.org:names:77379085-1,Habenaria holttumii,"(Seidenf.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 169. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus holttumii Seidenf.,(Seidenf.)
wfo-1000089747,urn:lsid:ipni.org:names:77379088-1,Habenaria hongdeyuanii,"(Raskoti) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 169. 2026 [22 Apr 2026] ,,Orchidaceae Herminium hongdeyuanii Raskoti,(Raskoti)
wfo-1000089751,urn:lsid:ipni.org:names:77379092-1,Habenaria humidiphila,"M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 169. 2026 [22 Apr 2026] ,,,
wfo-1000089754,urn:lsid:ipni.org:names:77379095-1,Habenaria hylophiloides,"(Ormerod) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 170. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus hylophiloides Ormerod,(Ormerod)
wfo-1000089757,urn:lsid:ipni.org:names:77379098-1,Habenaria jaffreyana,"(King & Pantl.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 170. 2026 [22 Apr 2026] ,,Orchidaceae Herminium jaffreyanum King & Pantl.,(King & Pantl.)
wfo-1000089758,urn:lsid:ipni.org:names:77379099-1,Habenaria japonensis,"(F.Maek.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 170. 2026 [22 Apr 2026] ,,Orchidaceae Androcorys japonensis F.Maek.,(F.Maek.)
wfo-1000089759,urn:lsid:ipni.org:names:77379100-1,Habenaria jejuna,"M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 170. 2026 [22 Apr 2026] ,,,
wfo-1000089760,urn:lsid:ipni.org:names:77379101-1,Habenaria jinchuanica,"(K.Y.Lang) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 170. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus jinchuanicus K.Y.Lang,(K.Y.Lang)
wfo-1000089761,urn:lsid:ipni.org:names:77379102-1,Habenaria kalimpongensis,"(Pradhan) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 170. 2026 [22 Apr 2026] ,,Orchidaceae Herminium kalimpongense Pradhan,(Pradhan)
wfo-1000089762,urn:lsid:ipni.org:names:77379103-1,Habenaria kamengensis,"(A.N.Rao) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 170. 2026 [22 Apr 2026] ,,Orchidaceae Herminium kamengense A.N.Rao,(A.N.Rao)
wfo-1000089763,urn:lsid:ipni.org:names:77379104-1,Habenaria kerrii,"(Seidenf.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 170. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus kerrii Seidenf.,(Seidenf.)
wfo-1000089764,urn:lsid:ipni.org:names:77379105-1,Habenaria korigadensis,"(Jalal & Jayanthi) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 170. 2026 [22 Apr 2026] ,,Orchidaceae Pecteilis korigadensis Jalal & Jayanthi,(Jalal & Jayanthi)
wfo-1000089765,urn:lsid:ipni.org:names:77379106-1,Habenaria kumaunensis,"(Deva & H.B.Naithani) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 170. 2026 [22 Apr 2026] ,,Orchidaceae Herminium kumaunense Deva & H.B.Naithani,(Deva & H.B.Naithani)
wfo-1000089766,urn:lsid:ipni.org:names:77379107-1,Habenaria lancea,"(Thunb. ex Sw.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 171. 2026 [22 Apr 2026] ,,Orchidaceae Ophrys lancea Thunb. ex Sw.,(Thunb. ex Sw.)
wfo-1000089767,urn:lsid:ipni.org:names:77379108-1,Habenaria latiloba,"(J.J.Sm.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 171. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus latilobus J.J.Sm.,(J.J.Sm.)
wfo-1000089768,urn:lsid:ipni.org:names:77379109-1,Habenaria lijiangensis,"(J.D.Ya & C.Liu) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 171. 2026 [22 Apr 2026] ,,Orchidaceae Herminium lijiangense J.D.Ya & C.Liu,(J.D.Ya & C.Liu)
wfo-1000089769,urn:lsid:ipni.org:names:77379110-1,Habenaria lombokensis,"(J.J.Sm.) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 171. 2026 [22 Apr 2026] ,,Orchidaceae Peristylus lombokensis J.J.Sm.,(J.J.Sm.)
wfo-1000089770,urn:lsid:ipni.org:names:77379111-1,Habenaria longilobata,"(S.N.Hegde & A.N.Rao) M.W.Chase, X.H.Jin & Schuit.",Phytotaxa 752(2): 171. 2026 [22 Apr 2026] ,,Orchidaceae Herminium longilobatum S.N.Hegde & A.N.Rao,(S.N.Hegde & A.N.Rao)
wfo-1000089771,urn:lsid:ipni.org:names:77379112-1,Habenaria mackinonii,"(Duthie) M.W.Chase, X.H.Jin & Schuit.","Phytotaxa 752(2): 171. 2026 [22 Apr 2026] , as 'mackinoii'",,Orchidaceae Herminium mackinnonii Duthie,(Duthie)
wfo-1000089772,urn:lsid:ipni.org:names:77379114-1,Habenaria monorchis,"(L.) M.W.Chase, X.H.Jin, Christenh. & Schuit.",Phytotaxa 752(2): 171. 2026 [22 Apr 2026] ,,Orchidaceae Ophrys monorchis L.,(L.)
