WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000087386,urn:lsid:ipni.org:names:77374523-1,Polystichum caucasicum,Ekrt & S.Jess.,Phytotaxa 736(3): 280. 2025 [31 Dec 2025] [epublished],Dryopteridaceae,,,
wfo-1000087472,urn:lsid:ipni.org:names:77374748-1,Abrodictyum polynesicum,Dubuisson & Ebihara,Phytotaxa 737(2): 73. 2026 [9 Jan 2026] [epublished],Hymenophyllaceae,,,
wfo-1000087609,urn:lsid:ipni.org:names:77375066-1,Dryopteris ningqiangensis,Z.Y.Zuo & J.Q.Tang,PhytoKeys 269: 178. 2026 [15 Jan 2026] [epublished],Dryopteridaceae,,,
wfo-1000087612,urn:lsid:ipni.org:names:77375070-1,Plagiogyria longipinnata,Coritico & Amoroso,Phytotaxa 737(3): 192. 2026 [14 Jan 2026] [epublished],Plagiogyriaceae,,,
wfo-1000087619,urn:lsid:ipni.org:names:77375094-1,Arachniodes × tohtomiensis,Shimura & K.Hori,PhytoKeys 269: 201. 2026 [16 Jan 2026] [epublished],Dryopteridaceae,,,
wfo-1200116594,urn:lsid:ipni.org:names:77375423-1,Anisocampium niponicum f. metallicum,(Makino) Y.Ueno,J. Jap. Bot. 100(6): 586. 2025 [20 Dec 2025] ,Woodsiaceae,,Woodsiaceae Athyrium niponicum (Mett.) Hance var. metallicum Makino,(Makino)
wfo-1000087777,urn:lsid:ipni.org:names:77375707-1,Woodsia shennongensis,D.S.Jiang & D.M.Chen,J. Hunan Agric. Univ. 26(2): 88. 2000 ,Woodsiaceae,,,
wfo-1000087778,urn:lsid:ipni.org:names:77375708-1,Polystichum neoliui,D.S.Jiang,J. Hunan Agric. Univ. 26(2): 89. 2000 ,Dryopteridaceae,,,
wfo-1000087900,urn:lsid:ipni.org:names:77375891-1,Equisetum × nipponicum,(Lubienski) Z.H.Feng,Plant 14(1): 6. 2026 [27 Jan 2026] [epublished],Equisetaceae,,Equisetaceae Equisetum moorei Newman nothosubsp. nipponicum Lubienski,(Lubienski)
wfo-1000087996,urn:lsid:ipni.org:names:77376003-1,Pleopeltis × haitiensis,Z.H.Feng,Plant 14(1): 9. 2026 [27 Jan 2026] [epublished],Polypodiaceae,,,
