WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089362,urn:lsid:ipni.org:names:77378261-1,Asplenium paucipinnatum,"K.W.Xu, Li Bing Zhang & Pollawatn",PhytoKeys 272: 164. 2026 [2 Apr 2026] ,Aspleniaceae,,,
wfo-1200103968,urn:lsid:ipni.org:names:77378280-1,Notholaena nivea var. dealbata,(Pursh) Davenp.,Cat. Davenport Herb. Suppl. 44. 1883 ,Adiantaceae,,Adiantaceae Cheilanthes dealbata Pursh,(Pursh)
wfo-1000089505,urn:lsid:ipni.org:names:77378700-1,Selaginella magna,H.J.Wei,PhytoKeys 273: 129. 2026 [16 Apr 2026] ,Selaginellaceae,,,
wfo-0001111739,urn:lsid:ipni.org:names:77378876-1,Lycopodium staudtii,(Nessel) C.D.Adams & Alston,"Bull. Brit. Mus. (Nat. Hist.), Bot. 1(6): 183. 1955 [Aug 1955] ",Lycopodiaceae,,Lycopodiaceae Urostachys staudtii Nessel,(Nessel)
wfo-1000069058,urn:lsid:ipni.org:names:77378954-1,Lycopodium warneckei,(Herter ex Nessel) Alston,Bol. Soc. Brot. 30(Series 2A): 20. 1956 ,Lycopodiaceae,nom. inval.    Contrary to Art. 6.10. ICN (2025). Basionym not validly published.,Lycopodiaceae Urostachys warneckei Herter ex Nessel,(Herter ex Nessel)
wfo-4100006532,urn:lsid:ipni.org:names:77379158-1,Neoschizaea,"D.V.S.Silva, A.C.P.Santiago & T.E.Almeida",Phytotaxa 752(3): 202. 2026 [23 Apr 2026] ,Schizaeaceae,,,
wfo-1000089809,urn:lsid:ipni.org:names:77379159-1,Neoschizaea pusilla,"(Pursh) D.V.S.Silva, A.C.P.Santiago & T.E.Almeida",Phytotaxa 752(3): 203. 2026 [23 Apr 2026] ,Schizaeaceae,,Schizaeaceae Schizaea pusilla Pursh,(Pursh)
wfo-1200103982,urn:lsid:ipni.org:names:77379219-1,Onychium japonicum var. intermedium,C.B.Clarke,"Trans. Linn. Soc. London, Bot. 1: 459. 1880 (as 'var. intermedia')",Adiantaceae,,,
wfo-1200118322,urn:lsid:ipni.org:names:77379220-1,Onychium multisectum,F.Hend.,"Trans. Linn. Soc. London, Bot. 1(pt. 7): 459. 1880 [Feb 1880] ",Adiantaceae,"nom. illeg. nom. superfl.    The article author C.B. Clarke (p. 425) mentioned; 'After the different tribes have been written out, Major Henderson has gone over the whole material at Kew with me; he has corrected several slips that I had made; and in the body of the paper I have in all cases mentioned particularly any point wherein he differs from what I have written. The present paper is therefore virtually a paper by Major Henderson and myself; but, as I have done all the writing, he declined to have it so entitled, and on p. 459, Clarke published 'Onychium japonicum var. multisecta (sp.) F. Henderson, Ms.', cited Leptostegia lucida D.Don as a synonym, and remarked '[After going through the Kew material with me, F. Henderson would still prefer to make O. multisectum a species]'",,
wfo-4100006533,urn:lsid:ipni.org:names:77379344-1,Phaneroloma,G.S.Armstr. & D.J.Ohlsen,Austral. Syst. Bot. 39(2): 9. 2026 [11 Mar 2026] ,Polypodiaceae,,,
