WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000087474,urn:lsid:ipni.org:names:77374750-1,Phyllostachys stellata,(T.H.Wen) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Gelidocalamus stellatus T.H.Wen,(T.H.Wen)
wfo-1000087475,urn:lsid:ipni.org:names:77374751-1,Phyllostachys stenoclada,(T.P.Yi) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Fargesia stenoclada T.P.Yi,(T.P.Yi)
wfo-1000087476,urn:lsid:ipni.org:names:77374753-1,Phyllostachys straminea,(T.P.Yi) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Yushania straminea T.P.Yi,(T.P.Yi)
wfo-1000087477,urn:lsid:ipni.org:names:77374754-1,Phyllostachys stricta,(Hsueh & P.J.Keng) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Ferrocalamus strictus Hsueh & P.J.Keng,(Hsueh & P.J.Keng)
wfo-1000087478,urn:lsid:ipni.org:names:77374755-1,Phyllostachys strigosa,(T.H.Wen) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Shibataea strigosa T.H.Wen,(T.H.Wen)
wfo-1000087479,urn:lsid:ipni.org:names:77374756-1,Phyllostachys subflexuosa,(T.P.Yi) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Fargesia subflexuosa T.P.Yi,(T.P.Yi)
wfo-1000087480,urn:lsid:ipni.org:names:77374757-1,Phyllostachys subglabra,(McClure) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Sasa subglabra McClure,(McClure)
wfo-1000087481,urn:lsid:ipni.org:names:77374758-1,Phyllostachys subsolida,(S.L.Chen & G.Y.Sheng) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Pseudosasa subsolida S.L.Chen & G.Y.Sheng,(S.L.Chen & G.Y.Sheng)
wfo-1000087482,urn:lsid:ipni.org:names:77374759-1,Phyllostachys subvillosa,(Sad.Suzuki) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Sasa subvillosa Sad.Suzuki,(Sad.Suzuki)
wfo-1000087483,urn:lsid:ipni.org:names:77374760-1,Phyllostachys suichuanensis,(T.P.Yi & Yuan H.Guo) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Indocalamus suichuanensis T.P.Yi & Yuan H.Guo,(T.P.Yi & Yuan H.Guo)
wfo-1000083240,urn:lsid:ipni.org:names:77374761-1,Phyllostachys stoloniformis,(S.H.Chen & Zhen Z.Wang) D.L.Fu,"Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] , as 'stoloniforma' [epublished]",,Poaceae Drepanostachyum stoloniforme S.H.Chen & Zhen Z.Wang,(S.H.Chen & Zhen Z.Wang)
wfo-1000087485,urn:lsid:ipni.org:names:77374763-1,Phyllostachys suijiangensis,(T.P.Yi) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Yushania suijiangensis T.P.Yi,(T.P.Yi)
wfo-1000087486,urn:lsid:ipni.org:names:77374764-1,Phyllostachys sulcata,(Z.P.Wang & G.H.Ye) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Oligostachyum sulcatum Z.P.Wang & G.H.Ye,(Z.P.Wang & G.H.Ye)
wfo-1000087487,urn:lsid:ipni.org:names:77374765-1,Phyllostachys suzukii,(Nakai) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Sasa suzukii Nakai,(Nakai)
wfo-1000087488,urn:lsid:ipni.org:names:77374766-1,Phyllostachys sylvestris,(T.P.Yi) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Fargesia sylvestris T.P.Yi,(T.P.Yi)
wfo-1000087489,urn:lsid:ipni.org:names:77374767-1,Phyllostachys syrinx,(Stapleton) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Tongpeia syrinx Stapleton,(Stapleton)
wfo-1000087490,urn:lsid:ipni.org:names:77374768-1,Phyllostachys szechuanensis,(Rendle) D.L.Fu,Amer. J. Agric. Forest. 12(2): 102. 2024 [2 Apr 2024] [epublished],,Poaceae Arundinaria szechuanensis Rendle,(Rendle)
