WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089040,urn:lsid:ipni.org:names:77377639-1,Dendrocalamus melanotrichus,C.M.Hui & J.Wei Li,Phytotaxa 744(3): 289. 2026 [10 Mar 2026] ,,,
wfo-1000089054,urn:lsid:ipni.org:names:77377664-1,Festuca ankarica,Hamzaoğlu,Anatol. J. Bot. 9(2): 136. 2025 [26 Aug 2025] ,,,
wfo-1000089083,urn:lsid:ipni.org:names:77377806-1,Chusquea bicentenaria,I.Jiménez & M.Zárate,Darwiniana 14(1): 15. 2026 [9 Jan 2026] ,,,
wfo-1200117790,urn:lsid:ipni.org:names:77377877-1,Avena trisperma,Vilm.,Bon Jard. 1819: 221. ,,,
wfo-1200117794,urn:lsid:ipni.org:names:77377883-1,Panicum altissimum,Vilm.,Bon Jard. 1821: 214. ,nom. illeg. nom. superfl.,,
wfo-0000852423,urn:lsid:ipni.org:names:77377909-1,Avena trisperma,Schübl.,Descr. Pl. Nov. (Tubingae) 8. 1825 ,,,
wfo-4100006483,urn:lsid:ipni.org:names:77378046-1,× Haynatricum,Zhuk.,Trudy Moskovsk. Sel'skokhoz. Akad. 6(Genet.): 10. 1944 ,nom. inval.    Contrary to Art. H.6.2. ICN (2025). Incorrect condensed formula.,,
wfo-1200117743,urn:lsid:ipni.org:names:77378048-1,Triticum sphaerococcum var. pusillum,Zhuk.,Trudy Moskovsk. Sel'skokhoz. Akad. 6(Genet.): 27. 1944 ,,,
wfo-1000089179,urn:lsid:ipni.org:names:77378055-1,Cochinchinochloa salta,V.T.Tran,PhytoKeys 272: 74. 2026 [24 Mar 2026] ,,,
wfo-1200118010,urn:lsid:ipni.org:names:77376245-1,Hordeum vulgare nothosubsp. lagunculciforme,(Bachteev) Z.H.Feng,Plant 14(1): 20. 2026 [27 Jan 2026] ,,Poaceae Hordeum spontaneum K.Koch var. lagunculciforme Bachteev,(Bachteev)
