WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089383,urn:lsid:ipni.org:names:77378399-1,Elymus magnispicatus,Lei Liu,Taiwania 71(2): 269. 2026 [26 Mar 2026] ,,,
wfo-1000089442,urn:lsid:ipni.org:names:77378620-1,Vietnamosasa sakonnakhonensis,"D.Z.Li, M.Y.Zhou & X.Feng",PhytoKeys 273: 84. 2026 [14 Apr 2026] ,,,
wfo-1000089636,urn:lsid:ipni.org:names:77378961-1,Dinochloa timak,S.Dransf.,Sandakania 27: 202. 2025 [31 Dec 2025] ,,,
wfo-1000089637,urn:lsid:ipni.org:names:77378963-1,Dinochloa santotomasii,S.Dransf.,Sandakania 27: 204. 2025 [31 Dec 2025] ,,,
wfo-1000089640,urn:lsid:ipni.org:names:77378967-1,Ferrocalamus petelotii,"(A.Camus) N.H.Xia, Z.Y.Cai & Y.H.Tong",Sandakania 27: 224. 2025 [31 Dec 2025] ,,Poaceae Arundinaria petelotii A.Camus,(A.Camus)
wfo-1200118317,urn:lsid:ipni.org:names:77379113-1,Poa rehmannii,(K.Richt.) Woł.,Exsicc. (Fl. Polon.) 10-11: 1020. 1904 ,,Poaceae Poa caesia Sm. subsp. rehmannii K.Richt.,(K.Richt.)
wfo-1000089855,urn:lsid:ipni.org:names:77379215-1,Aulonemia antioquensis,Gir.-Cañas,Revista Acad. Colomb. Ci. Exact. 49(191): 380. 2025 [25 Jun 2025] ,,,
wfo-1000089874,urn:lsid:ipni.org:names:77379349-1,Thamnocalamus damuniu,"(T.P.Yi & J.Y.Shi) D.Z.Li, M.Y.Zhou & Mei Chen",J. Syst. Evol. 64(1): 117. 2026 [27 Jan 2026] ,,Poaceae Fargesia daminiu T.P.Yi & J.Y.Shi,(T.P.Yi & J.Y.Shi)
wfo-1000089891,urn:lsid:ipni.org:names:77379374-1,Bouteloua steinmannii,Ruiz-Sanchez,Syst. Bot. 50(3): 214. 2025 [18 Dec 2025] ,,,
wfo-1000089892,urn:lsid:ipni.org:names:77379375-1,Bouteloua ibarrae,Ruiz-Sanchez,Syst. Bot. 50(3): 213. 2025 [18 Dec 2025] ,,,
