WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000087406,urn:lsid:ipni.org:names:77374652-1,Ophiorrhiza echinata,"Joy, Sr.S.Nair & Joby",Nordic J. Bot. 2025(12)-e04979: 2. [18 Sep 2025] [epublished],,,
wfo-1000087602,urn:lsid:ipni.org:names:77375042-1,Coprosma ptotopetra,T.S.Brook & Papadop.,Bot. J. Linn. Soc. XX: [5 of 12]. 2025 [28 Dec 2025] [epublished],,,
wfo-1000087603,urn:lsid:ipni.org:names:77375043-1,Coprosma savolainenii,I.Hutton,Bot. J. Linn. Soc. XX: [2 of 12]. 2025 [28 Dec 2025] [epublished],,,
wfo-1000087674,urn:lsid:ipni.org:names:77375377-1,Psychotria caraballoensis,"Pajar., Ordas & C.B.Moran",Nordic J. Bot. 2026(x)-e05026: 2. 2025 [14 Nov 2025] [epublished],,,
wfo-1200116601,urn:lsid:ipni.org:names:77375435-1,Paederia foetida f. maritima,(Koidz.) Y.Ueno,J. Jap. Bot. 100(6): 587. 2025 [20 Dec 2025] ,,Rubiaceae Paederia chinensis Hance var. maritima Koidz.,(Koidz.)
wfo-1000087724,urn:lsid:ipni.org:names:77375454-1,Coutaportla campanilla,(DC.) Delprete,J. Bot. Res. Inst. Texas 19(4): 528. 2025 [16 Dec 2025] [epublished],,Rubiaceae Coutarea campanilla DC.,(DC.)
wfo-1200116697,urn:lsid:ipni.org:names:77375455-1,Scolosanthus crucifer subsp. microphyllus,(Borhidi) Delprete,J. Bot. Res. Inst. Texas 19(4): 575. 2025 [16 Dec 2025] [epublished],,Rubiaceae Scolosanthus crucifer C.Wright var. microphyllus Borhidi,(Borhidi)
wfo-1000087725,urn:lsid:ipni.org:names:77375456-1,Scolosanthus nipensis,Borhidi ex Delprete,J. Bot. Res. Inst. Texas 19(4): 578. 2025 [16 Dec 2025] [epublished],,,
wfo-1000087726,urn:lsid:ipni.org:names:77375457-1,Solenandra coriacea,(Poir.) Delprete,J. Bot. Res. Inst. Texas 19(4): 585. 2025 [16 Dec 2025] [epublished],,Rubiaceae Cinchona coriacea Poir.,(Poir.)
wfo-1200116698,urn:lsid:ipni.org:names:77375458-1,Solenandra parviflora,(Rich.) Delprete,J. Bot. Res. Inst. Texas 19(4): 589. 2025 [16 Dec 2025] [epublished],,Rubiaceae Exostema parviflorum Rich.,(Rich.)
wfo-1200116615,urn:lsid:ipni.org:names:77375548-1,Hedyotis acuminata f. isae,Fosberg,Brittonia 20(4): 289. 1968 [Oct 1968] ,,,
wfo-1200116616,urn:lsid:ipni.org:names:77375549-1,Hedyotis acuminata f. calycosa,Fosberg,Brittonia 20(4): 289. 1968 [Oct 1968] ,,,
wfo-1200116617,urn:lsid:ipni.org:names:77375550-1,Hedyotis acuminata f. basipuba,Fosberg,Brittonia 20(4): 290. 1968 [Oct 1968] ,,,
wfo-1200116618,urn:lsid:ipni.org:names:77375551-1,Gouldia terminalis var. pubistipula,Fosberg,Brittonia 20(4): 291. 1968 [Oct 1968] ,,,
wfo-1000087788,urn:lsid:ipni.org:names:77375725-1,Psydrax minoriflorus,W.J.de Wilde & Duyfjes,"Thai Forest Bull., Bot. 53(2): 70. 2025 [18 Aug 2025] [epublished]",,,
wfo-1000087789,urn:lsid:ipni.org:names:77375726-1,Psydrax pilosus,W.J.de Wilde & Duyfjes,"Thai Forest Bull., Bot. 53(2): 72. 2025 [18 Aug 2025] [epublished]",,,
wfo-1000087794,urn:lsid:ipni.org:names:77375731-1,Greenea laotica,"Soulad., Souvann. & Tagane","Thai Forest Bull., Bot. 54(1): 1. 2026 [6 Jan 2026] [epublished]",,,
wfo-4000033898,urn:lsid:ipni.org:names:77375745-1,Samama,Rumph. ex Kuntze,Revis. Gen. Pl. 1: 296. 1891 ,,,
