WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089367,urn:lsid:ipni.org:names:77378268-1,Ophiorrhiza wulingensis,"Z.L.Zhang bis, W.Q.Qin & D.G.Zhang",Phytotaxa 750(2): 138. 2026 [1 Apr 2026] ,,,
wfo-1000089371,urn:lsid:ipni.org:names:77378276-1,Oldenlandia bahiana,Nuñez Florentin,Pl. Ecol. Evol. 159(2): 235. 2026 [21 Apr 2026] ,,,
wfo-1000088167,urn:lsid:ipni.org:names:77378392-1,Mouretia hainanensis,(H.S.Lo) Z.Q.Song & D.X.Xu,PhytoKeys 272: 283. 2026 [8 Apr 2026] ,,Rubiaceae Mycetia hainanensis H.S.Lo,(H.S.Lo)
wfo-1000089387,urn:lsid:ipni.org:names:77378406-1,Manettia amethystina,A.Carvajal & Fonseca-Cortés,Phytotaxa 750(4): 270. 2026 [9 Apr 2026] ,,,
wfo-1000089391,urn:lsid:ipni.org:names:77378410-1,Mycetia arunachalensis,"M.Khanal, D.Borah & Dev.Kumar",Taiwania 71(2): 315. 2026 [3 Apr 2026] ,,,
wfo-1000089393,urn:lsid:ipni.org:names:77378412-1,Ophiorrhiza himadrica,"M.Khanal, Dev.Kumar & S.Sarkar",Taiwania 71(2): 326. 2026 [6 Apr 2026] ,,,
wfo-1000089394,urn:lsid:ipni.org:names:77378413-1,Ophiorrhiza bharat,"M.Khanal, Dev.Kumar & S.Sarkar",Taiwania 71(2): 330. 2026 [6 Apr 2026] ,,,
wfo-4100006516,urn:lsid:ipni.org:names:77378447-1,subtrib. Galiinae,Ehrend. ex Kadereit & Schneew.,Taxon 75(2)-e70119: 8. 2026 [30 Mar 2026] ,,,
wfo-4100006517,urn:lsid:ipni.org:names:77378448-1,Altaiogalium,Kadereit & Schneew.,Taxon 75(2)-e70119: 11. 2026 [30 Mar 2026] ,,,
wfo-4100006518,urn:lsid:ipni.org:names:77378449-1,Hamogalium,Kadereit & Schneew.,Taxon 75(2)-e70119: 12. 2026 [30 Mar 2026] ,,,
wfo-4100006519,urn:lsid:ipni.org:names:77378450-1,Hydrogalium,Kadereit & Schneew.,Taxon 75(2)-e70119: 13. 2026 [30 Mar 2026] ,,,
wfo-1000089441,urn:lsid:ipni.org:names:77378619-1,Arcytophyllum leymebambense,"Montesin., Borsch & Torr.-Montúfar",Pl. Ecol. Evol. 159(2): 248. 2026 [23 Apr 2026] ,,,
wfo-1000089443,urn:lsid:ipni.org:names:77378621-1,Peponidium calciphilum,De Block,Pl. Ecol. Evol. 159(2): 258. 2026 [27 Apr 2026] ,,,
wfo-1000089444,urn:lsid:ipni.org:names:77378622-1,Pyrostria multilocellata,De Block,Pl. Ecol. Evol. 159(2): 262. 2026 [27 Apr 2026] ,,,
wfo-1000089481,urn:lsid:ipni.org:names:77378672-1,Asperula sect. Cruciana,Griseb.,Spic. Fl. Rumel. 2: 166. 1846 ,,,
wfo-4100006527,urn:lsid:ipni.org:names:77378674-1,Cruciana,(Griseb.) Kadereit & Schneew.,Taxon 75(2)-e70119: 10. 2026 [30 Mar 2026] ,,Rubiaceae Asperula sect. Cruciana Griseb.,(Griseb.)
wfo-1000089486,urn:lsid:ipni.org:names:77378678-1,Galium sect. Jubogalium,Ehrend.,"Oesterr. Bot. Z. 105: 212. 1958 , as 'Jubo-Galium'",,,
wfo-4100006528,urn:lsid:ipni.org:names:77378679-1,Jubogalium,(Ehrend.) Kadereit & Schneew.,Taxon 75(2)-e70119: 14. 2026 [30 Mar 2026] ,,Rubiaceae Galium sect. Jubogalium Ehrend.,(Ehrend.)
wfo-1000089488,urn:lsid:ipni.org:names:77378681-1,Cruciana anatolica,(M.Öztürk) Kadereit & Schneew.,Taxon 75(2)-e70119: 21. 2026 [30 Mar 2026] ,,Rubiaceae Asperula anatolica M.Öztürk,(M.Öztürk)
wfo-1000089489,urn:lsid:ipni.org:names:77378682-1,Cruciana asterocephala,(Bornm.) Kadereit & Schneew.,Taxon 75(2)-e70119: 21. 2026 [30 Mar 2026] ,,Rubiaceae Asperula asterocephala Bornm.,(Bornm.)
wfo-1000089490,urn:lsid:ipni.org:names:77378683-1,Cruciana comosa,(Schönb.-Tem.) Kadereit & Schneew.,Taxon 75(2)-e70119: 21. 2026 [30 Mar 2026] ,,Rubiaceae Asperula comosa Schönb.-Tem.,(Schönb.-Tem.)
wfo-1000089492,urn:lsid:ipni.org:names:77378685-1,Cruciana glomerata,(M.Bieb.) Kadereit & Schneew.,Taxon 75(2)-e70119: 21. 2026 [30 Mar 2026] ,,Rubiaceae Crucianella glomerata M.Bieb.,(M.Bieb.)
wfo-1000089493,urn:lsid:ipni.org:names:77378686-1,Cruciana kotschyana,(Boiss. & Hohen.) Kadereit & Schneew.,Taxon 75(2)-e70119: 21. 2026 [30 Mar 2026] ,,Rubiaceae Crucianella kotschyana Boiss. & Hohen.,(Boiss. & Hohen.)
wfo-1000089494,urn:lsid:ipni.org:names:77378687-1,Cruciana laxiflora,(Boiss.) Kadereit & Schneew.,Taxon 75(2)-e70119: 21. 2026 [30 Mar 2026] ,,Rubiaceae Asperula laxiflora Boiss.,(Boiss.)
wfo-1000089495,urn:lsid:ipni.org:names:77378688-1,Cruciana molluginoides,(M.Bieb.) Kadereit & Schneew.,Taxon 75(2)-e70119: 21. 2026 [30 Mar 2026] ,,Rubiaceae Crucianella molluginoides M.Bieb.,(M.Bieb.)
wfo-1000089496,urn:lsid:ipni.org:names:77378689-1,Cruciana prostrata,(Adams) Kadereit & Schneew.,Taxon 75(2)-e70119: 21. 2026 [30 Mar 2026] ,,Rubiaceae Crucianella prostrata Adams,(Adams)
wfo-1000089497,urn:lsid:ipni.org:names:77378690-1,Cruciana szovitsii,(Ehrend. & Schönb.-Tem.) Kadereit & Schneew.,Taxon 75(2)-e70119: 21. 2026 [30 Mar 2026] ,,Rubiaceae Asperula szovitsii Ehrend. & Schönb.-Tem.,(Ehrend. & Schönb.-Tem.)
