WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089898,urn:lsid:ipni.org:names:77379387-1,Archiboehmeria nivea,"(L.) Z.Y.Wu, X.G.Fu & D.Z.Li",Pl. Diversity 48(2): 300. 2025 [17 Dec 2025] ,,Urticaceae Urtica nivea L.,(L.)
wfo-1200118307,urn:lsid:ipni.org:names:77379388-1,Archiboehmeria nivea var. tenacissima,"(Gaudich.) Z.Y.Wu, X.G.Fu & D.Z.Li",Pl. Diversity 48(2): 300. 2025 [17 Dec 2025] ,,Urticaceae Boehmeria tenacissima Gaudich.,(Gaudich.)
wfo-1200118308,urn:lsid:ipni.org:names:77379389-1,Archiboehmeria nivea var. strigosa,"(Z.Y.Wu & Ying Zhao) Z.Y.Wu, X.G.Fu & D.Z.Li",Pl. Diversity 48(2): 300. 2025 [17 Dec 2025] ,,Urticaceae Boehmeria nivea (L.) Gaudich. var. strigosa Z.Y.Wu & Ying Zhao,(Z.Y.Wu & Ying Zhao)
wfo-1000089899,urn:lsid:ipni.org:names:77379390-1,Pouzolzia madagascariensis,"(Leandri) Z.Y.Wu, X.G.Fu & D.Z.Li",Pl. Diversity 48(2): 301. 2025 [17 Dec 2025] ,,Urticaceae Phenax madagascariensis Leandri,(Leandri)
wfo-4100006534,urn:lsid:ipni.org:names:77379391-1,Chiajuia,"Z.Y.Wu, X.G.Fu & D.Z.Li",Pl. Diversity 48(2): 301. 2025 [17 Dec 2025] ,,,
wfo-1000089900,urn:lsid:ipni.org:names:77379392-1,Chiajuia wallichiana,"(Wedd.) Z.Y.Wu, X.G.Fu & D.Z.Li",Pl. Diversity 48(2): 301. 2025 [17 Dec 2025] ,,Urticaceae Debregeasia wallichiana Wedd.,(Wedd.)
wfo-4100006535,urn:lsid:ipni.org:names:77379393-1,subtrib. Sarcochlamydinae,Wedd.,"Ann. Sci. Nat., Bot. sér. 4, 1: 175. 1854 , as 'Sarcochlamideae'",,,
wfo-4100006536,urn:lsid:ipni.org:names:77379394-1,trib. Sarcochlamydeae,"(Wedd.) Z.Y.Wu, X.G.Fu & D.Z.Li",Pl. Diversity 48(2): 302. 2025 [17 Dec 2025] ,,Urticaceae subtrib. Sarcochlamydinae Wedd.,(Wedd.)
wfo-1000089901,urn:lsid:ipni.org:names:77379395-1,Dendrocnide decumana,"(Wedd.) Z.Y.Wu, X.G.Fu & D.Z.Li",Pl. Diversity 48(2): 303. 2025 [17 Dec 2025] ,,Urticaceae Laportea decumana Wedd.,(Wedd.)
wfo-1000089902,urn:lsid:ipni.org:names:77379396-1,Obetia oligoloba,"(Baker) Z.Y.Wu, X.G.Fu & D.Z.Li",Pl. Diversity 48(2): 303. 2025 [17 Dec 2025] ,,Urticaceae Urera oligoloba Baker,(Baker)
wfo-1000089903,urn:lsid:ipni.org:names:77379397-1,Sceptrocnide cuspidata,"(Wedd.) Z.Y.Wu, X.G.Fu & D.Z.Li",Pl. Diversity 48(2): 304. 2025 [17 Dec 2025] ,,Urticaceae Girardinia cuspidata Wedd.,(Wedd.)
wfo-1000089904,urn:lsid:ipni.org:names:77379398-1,Urtica tenella,"(Torr.) Z.Y.Wu, X.G.Fu & D.Z.Li",Pl. Diversity 48(2): 304. 2025 [17 Dec 2025] ,,Urticaceae Hesperocnide tenella Torr.,(Torr.)
