WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200117027,urn:lsid:ipni.org:names:77376874-1,Vitis sylvestris var. gayeri,Terpó ex D.Bartha,"Tilia 21: 25. 2026 [18 Feb 2026] , as 'gayerii'",,,
wfo-1200117028,urn:lsid:ipni.org:names:77376875-1,Vitis sylvestris subsp. pontii,(Kov.) Terpó,Tilia 21: 25. 2026 [18 Feb 2026] ,,Vitaceae Vitis pontii Kov.,(Kov.)
wfo-1200117029,urn:lsid:ipni.org:names:77376876-1,Vitis sylvestris var. javorkae,Terpó ex D.Bartha,Tilia 21: 26. 2026 [18 Feb 2026] ,,,
wfo-1200117077,urn:lsid:ipni.org:names:77376877-1,Vitis vulpina subsp. riparia,(Michx.) Terpó,Tilia 21: 27. 2026 [18 Feb 2026] ,,Vitaceae Vitis riparia Michx.,(Michx.)
wfo-1200117030,urn:lsid:ipni.org:names:77376878-1,Vitis vulpina var. pannonica,Terpó ex D.Bartha,Tilia 21: 28. 2026 [18 Feb 2026] ,,,
wfo-1200117031,urn:lsid:ipni.org:names:77376879-1,Vitis vulpina f. danubialis,Terpó ex D.Bartha,Tilia 21: 28-29. 2026 [18 Feb 2026] ,,,
wfo-1200117032,urn:lsid:ipni.org:names:77376880-1,Vitis vulpina var. andreanszkyana,Terpó ex D.Bartha,Tilia 21: 29. 2026 [18 Feb 2026] ,,,
wfo-1000088475,urn:lsid:ipni.org:names:77376881-1,Vitis × rathayana,Terpó ex D.Bartha,Tilia 21: 29. 2026 [18 Feb 2026] ,,,
wfo-1200117078,urn:lsid:ipni.org:names:77376882-1,Vitis × rathayana var. karpatiana,Terpó ex D.Bartha,"Tilia 21: 30. 2026 [18 Feb 2026] , as 'kárpátiana'",,,
wfo-1000088476,urn:lsid:ipni.org:names:77376883-1,Vitis × kozmae,Terpó ex D.Bartha,Tilia 21: 31. 2026 [18 Feb 2026] ,,,
wfo-1200117079,urn:lsid:ipni.org:names:77376884-1,Vitis × kozmae var. zemplenica,Terpó ex D.Bartha,Tilia 21: 32. 2026 [18 Feb 2026] ,,,
wfo-1000088477,urn:lsid:ipni.org:names:77376885-1,Vitis × andrasovszkyana,Terpó ex D.Bartha,Tilia 21: 32. 2026 [18 Feb 2026] ,,,
